date,open,high,low,close,volume
2025-11-15,15200,15200,15200,15200,1000
2025-11-16,15276,15276,15276,15276,100
2025-11-17,15200,15347,14900,14900,16071000
2025-11-18,15290,15290,14872,14872,99933
2025-11-19,14819,14968,14819,14968,23650
2025-11-22,15226,15226,15200,15226,657480
2025-11-23,15681,15681,15681,15681,200
2025-11-25,15524,15825,15524,15524,800508
2025-11-26,15528,15790,15528,15790,102625
2025-11-29,15825,15825,15825,15825,100
2025-11-30,15511,15825,15430,15430,17826664
2025-12-01,15650,15900,15650,15900,8586
2025-12-02,16000,16000,16000,16000,603165
2025-12-03,15900,16349,15900,16349,1484
2025-12-06,16470,16625,16145,16625,12201218
2025-12-07,16171,16580,16007,16580,2002070
2025-12-08,16169,16620,16169,16620,300
2025-12-09,16388,16798,16388,16798,13600
2025-12-10,16882,16882,16882,16882,1400
2025-12-13,16960,17388,16882,17388,9166
2025-12-14,17058,17403,16886,17403,1958
2025-12-15,17211,17725,17211,17725,472000
2025-12-16,17760,17760,17071,17387,204842
2025-12-17,17389,17674,17388,17670,934583
2025-12-20,17561,18083,17561,18070,1444170
2025-12-21,18152,18152,17702,18100,1526
2025-12-22,18370,18370,18100,18100,106512
2025-12-23,18150,18445,18013,18445,33204
2025-12-24,18430,18841,18430,18840,5910215
2025-12-27,19240,19240,18900,19200,5748607
2025-12-28,19808,19811,19234,19811,41058
2025-12-29,19311,19330,19256,19256,5219715
2025-12-30,18754,18757,18751,18751,5740054
2025-12-31,19129,19000,19000,19000,40769
2026-01-04,19285,19285,18620,19190,2888654
2026-01-05,19224,19224,18900,18900,5820266
2026-01-06,19800,19800,19227,19790,4864327
2026-01-07,19685,20271,19681,19790,221547
2026-01-10,19460,19600,19266,19600,239467
2026-01-11,19986,19986,19404,19985,20732
2026-01-12,19498,20070,19498,20069,175581
2026-01-13,19778,20368,19778,20280,3965
2026-01-14,19732,19732,19436,19729,131039
2026-01-18,19729,20000,19729,20000,19612
2026-01-19,20000,20375,19889,20375,6648622
2026-01-20,19844,20300,19645,20045,2508044
2026-01-21,19813,20312,19813,20000,624695
2026-01-24,19713,19840,19614,19840,300589
