date,open,high,low,close,volume
2025-11-15,14800,14800,14630,14630,16000
2025-11-16,14700,14780,14680,14780,27001
2025-11-17,14850,14900,14850,14870,6999
2025-11-18,14950,14950,14790,14890,10355
2025-11-19,14900,14930,14890,14930,9850
2025-11-22,14890,15170,14890,14920,4500
2025-11-23,15010,15160,15010,15160,44000
2025-11-25,15270,15350,15270,15350,29500
2025-11-26,15250,15400,15250,15350,14951
2025-11-29,15260,15340,15180,15340,7999
2025-11-30,15310,15420,15310,15420,4600
2025-12-01,15500,15500,15500,15500,7000
2025-12-02,15600,15600,15550,15600,10215
2025-12-03,15730,15730,15600,15600,201820
2025-12-06,16110,16110,15790,16110,625955
2025-12-07,16280,16280,15990,15990,50028
2025-12-08,16050,16150,16030,16070,212785
2025-12-09,16210,16300,16090,16100,368000
2025-12-10,16290,16300,16150,16200,262000
2025-12-13,16650,16650,16360,16400,791000
2025-12-14,16560,16790,16520,16570,285354
2025-12-15,16750,16910,16660,16660,260938
2025-12-16,17230,17230,16240,16240,1882496
2025-12-17,16620,16620,16300,16520,197761
2025-12-20,16660,16990,16620,16990,397961
2025-12-21,17220,17460,17180,17430,148382
2025-12-22,17440,17790,17400,17400,109965
2025-12-23,17660,17890,17620,17630,202057
2025-12-24,18160,18160,18160,18160,127751
2025-12-27,18470,18600,18210,18210,818594
2025-12-28,18470,18840,18380,18480,1023128
2025-12-29,18500,18500,18180,18180,131828
2025-12-30,17760,17760,17750,17750,216400
2025-12-31,17700,18230,17700,17910,352500
2026-01-04,17780,17780,17660,17780,71189
2026-01-05,18100,18260,18100,18260,717000
2026-01-06,18250,18710,18250,18600,236658
2026-01-07,18950,18950,18700,18700,64043
2026-01-10,18590,18590,18590,18590,1000
2026-01-11,18200,18400,18200,18400,2000
2026-01-12,18730,18840,18470,18500,336504
2026-01-13,18460,18570,18220,18570,40674
2026-01-14,18270,18270,18270,18270,4868
2026-01-18,18340,18440,18340,18440,33691
2026-01-19,18920,18920,18350,18350,32109
2026-01-20,18710,18710,18530,18710,1940000
2026-01-21,18800,18800,18800,18800,20382
2026-01-24,18560,18560,18240,18240,1520
2026-01-25,17840,17840,17750,17810,752424
2026-01-26,17680,17680,17680,17680,101
2026-01-27,17410,17410,17320,17320,100000
2026-01-28,17020,17330,16970,17330,150943
2026-01-31,17110,17110,16590,16590,628615
2026-02-01,16690,17150,16690,17150,7556
2026-02-02,17430,17430,17080,17080,21291
2026-02-03,17000,17010,16850,17010,107000
2026-02-07,17350,17400,17020,17400,185346
2026-02-08,17220,17300,17220,17300,13000
2026-02-09,17110,17110,17110,17110,2000
2026-02-10,17000,17120,17000,17120,3300
2026-02-14,17080,17370,16640,16640,144785
2026-02-15,16590,16590,16590,16590,200
2026-02-16,16420,16460,16400,16400,41595
2026-02-17,16670,16670,16420,16420,4001
2026-02-21,16010,16010,16010,16010,2000
2026-02-22,15530,15840,15530,15840,11999
2026-02-23,15700,16010,15700,15730,15400
2026-02-24,15980,16030,15700,15700,6090
2026-02-25,16060,16060,15920,15920,6316
2026-05-19,15476,15476,15476,15476,1000
