date,open,high,low,close,volume
2025-11-16,11580,11940,11340,11940,114064062
2025-11-17,12000,12160,11650,11750,99616332
2025-11-18,11720,11970,11520,11600,73549495
2025-11-19,11830,12050,11700,12000,87032318
2025-11-22,12120,12300,11870,11990,63429309
2025-11-23,12100,12590,12100,12590,97827730
2025-11-25,12980,12980,12750,12980,142485391
2025-11-26,13010,13140,12440,12660,194720416
2025-11-29,12590,13020,12370,12500,109732824
2025-11-30,12500,12950,12350,12840,97064158
2025-12-01,13110,13200,13020,13200,150227545
2025-12-02,13200,13590,13070,13240,110156514
2025-12-03,13300,13560,13230,13480,105368037
2025-12-06,13680,13940,13680,13940,86727640
2025-12-07,14380,14450,13660,14020,282338654
2025-12-08,14290,14700,14240,14660,221165534
2025-12-09,14740,14850,14100,14180,193586022
2025-12-10,14240,14880,14030,14620,175868748
2025-12-13,14700,15190,14620,15120,117161220
2025-12-14,15000,15440,14670,15190,133255632
2025-12-15,15280,15710,15180,15710,57811357
2025-12-16,16000,16210,14980,15180,168140260
2025-12-17,15390,15810,15250,15580,76682319
2025-12-20,15970,16210,15960,16210,33616108
2025-12-21,16800,16810,16310,16810,141285912
2025-12-22,17000,17330,16210,16810,103458473
2025-12-23,16850,17520,16810,17520,101096147
2025-12-24,17930,17950,17770,17950,14623152
2025-12-27,18640,18640,18640,18640,19610503
2025-12-28,19380,19380,19380,19380,5221405
2025-12-29,20150,20150,19120,19700,557123712
2025-12-30,19210,19630,19190,19190,50256886
2025-12-31,18470,19990,18470,19930,259347770
2026-01-04,19820,19890,18420,19080,216661582
2026-01-05,19660,19660,19660,19660,15552161
2026-01-06,20440,20440,20440,20440,4676212
2026-01-07,21250,21250,20820,21250,252493536
2026-01-10,20390,21340,20390,20390,240807886
2026-01-11,20460,21470,20230,21380,237554877
2026-01-12,21850,21890,21520,21890,95395349
2026-01-13,22230,22660,21010,21010,173109390
2026-01-14,20700,20700,20700,20700,12443015
2026-01-18,21080,21520,20900,21520,145399900
2026-01-19,21590,22240,20540,20910,194381734
2026-01-20,21000,21250,20470,20470,167274332
2026-01-21,20560,20880,19800,20700,99696309
2026-01-24,19590,20010,19590,19590,31667219
2026-01-25,18830,18830,18830,18830,1345017
2026-01-26,18080,18080,18080,18080,283395
2026-01-27,17360,17360,17360,17360,756421
2026-01-28,16670,16670,16670,16670,56494540
2026-01-31,16050,16530,16010,16010,150707873
2026-02-01,15610,16390,15500,16200,349855868
2026-02-02,16300,16420,16210,16420,50751987
2026-02-03,17020,17020,15950,16550,125552609
