date,open,high,low,close,volume
2025-11-16,10300,10530,10210,10500,23583160
2025-11-17,10520,10560,10250,10270,27141274
2025-11-18,10270,10350,10170,10190,14122667
2025-11-19,10200,10340,10200,10290,10288331
2025-11-22,10360,10390,10230,10230,11874814
2025-11-23,10280,10650,10260,10650,42560939
2025-11-25,10680,10860,10600,10760,22591456
2025-11-26,10700,10740,10470,10470,39216993
2025-11-29,10480,10550,10260,10260,17182119
2025-11-30,10270,10330,10150,10290,9333841
2025-12-01,10350,10510,10300,10330,18530394
2025-12-02,10370,10690,10310,10550,32138592
2025-12-03,10630,10660,10540,10580,14618972
2025-12-06,10660,10910,10650,10890,21135845
2025-12-07,10950,10990,10600,10620,24808488
2025-12-08,10620,11030,10620,10980,26654430
2025-12-09,11020,11220,11020,11220,31499759
2025-12-10,11360,11530,11130,11530,25820947
2025-12-13,11630,11780,11550,11680,18701670
2025-12-14,11610,11720,11400,11690,16424556
2025-12-15,11570,11970,11570,11970,18599184
2025-12-16,12050,12240,11750,11760,27610351
2025-12-17,11860,12070,11840,11920,10293959
2025-12-20,11990,12290,11990,12290,16862915
2025-12-21,12350,12520,12160,12240,20851265
2025-12-22,12350,12600,12150,12260,29107492
2025-12-23,12330,12560,12240,12510,17533987
2025-12-24,12640,12820,12600,12820,26254979
2025-12-27,12970,13170,12760,12870,35704346
2025-12-28,12920,13210,12760,12960,38073143
2025-12-29,12990,12990,12610,12610,26987074
2025-12-30,12350,12370,12350,12350,2593751
2025-12-31,11980,12540,11980,12380,34541903
2026-01-04,12080,12400,11890,11890,17093506
2026-01-05,12080,12310,12080,12310,22351196
2026-01-06,12520,12650,12520,12650,23500015
2026-01-07,12700,12700,12260,12260,33820443
2026-01-10,11960,12080,11960,11960,18736393
2026-01-11,11610,12000,11610,11630,32745268
2026-01-12,11870,12020,11700,12020,40708241
2026-01-13,12130,12270,12100,12270,119398493
2026-01-14,12060,12070,11890,11890,7614335
2026-01-18,12000,12270,11880,12120,44106908
2026-01-19,12030,12330,11720,11720,58628061
2026-01-20,11760,12330,11630,12120,59854049
2026-01-21,12390,12390,12270,12390,57203080
2026-01-24,12020,12240,12020,12020,8373932
2026-01-25,11670,11670,11670,11670,2101614
2026-01-26,11320,11320,11320,11320,1820714
2026-01-27,10990,10990,10990,10990,8729314
2026-01-28,10710,11010,10670,10670,64114878
2026-01-31,10780,10780,10410,10410,19094346
2026-02-01,10200,10450,10140,10340,11468092
2026-02-02,10430,10540,10370,10540,4789590
2026-02-03,10580,10710,10190,10370,10095846
