date,open,high,low,close,volume
2025-11-16,17967,17967,17707,17956,1571877
2025-11-17,18060,18060,17772,18025,348467
2025-11-18,18089,18089,17740,17749,948090
2025-11-19,17751,17939,17751,17910,745161
2025-11-22,17930,17980,17861,17976,922907
2025-11-23,17950,18050,17907,18041,1727325
2025-11-25,18099,18253,18003,18230,3478907
2025-11-26,18560,18560,18100,18229,1399241
2025-11-29,18298,18400,18218,18335,3504437
2025-11-30,18450,18540,18330,18540,5246633
2025-12-01,18650,18790,18550,18790,4604113
2025-12-02,18849,18850,18699,18750,5339910
2025-12-03,18800,18979,18700,18968,22956758
2025-12-06,18996,19230,18906,19230,7391095
2025-12-07,19150,19190,19060,19130,6748201
2025-12-08,19250,19299,19065,19220,4668970
2025-12-09,19268,19268,19102,19105,7069960
2025-12-10,19120,19228,18957,19225,5219709
2025-12-13,19260,19703,19260,19702,88093336
2025-12-14,19950,19950,19610,19779,34659951
2025-12-15,20000,20217,19723,19997,68641794
2025-12-16,20000,20090,19330,19330,37931797
2025-12-17,19301,19989,19301,19902,30700954
2025-12-20,20080,20405,19931,20300,21724373
2025-12-21,20400,20400,20203,20346,5099295
2025-12-22,20251,20698,20251,20573,4708796
2025-12-23,20451,20950,20451,20950,8251177
2025-12-24,21000,21379,21000,21379,41644319
2025-12-27,21400,21864,21400,21864,25663076
2025-12-28,22100,22377,21850,22368,33483548
2025-12-29,22380,22380,21491,21491,27835111
2025-12-30,20956,21379,20956,21319,15026948
2025-12-31,21001,21459,21000,21389,20401593
2026-01-04,21180,21349,20820,21293,8991258
2026-01-05,21490,21701,21270,21701,12038848
2026-01-06,22341,22341,22341,22341,6474937
2026-01-07,23011,23011,22210,22516,44351526
2026-01-10,21980,22290,21980,21980,11489720
2026-01-11,21339,22631,21339,22458,28777815
2026-01-12,22581,22582,22145,22582,7219527
2026-01-13,22780,23149,22202,22570,6008901
2026-01-14,22729,22729,21974,22170,8831570
2026-01-18,22209,22740,22209,22650,7714892
2026-01-19,22537,22904,22400,22701,10708686
2026-01-20,22682,22950,22400,22537,3590586
2026-01-21,22739,22934,22610,22934,5261595
2026-01-24,22970,22970,22600,22915,16627905
2026-01-25,22798,22798,22300,22302,6807894
2026-01-26,22449,22449,21761,22062,11870207
2026-01-27,22101,22661,22101,22661,7267635
2026-01-28,23000,23190,22750,23129,172787394
2026-01-31,22431,22888,22431,22431,9817838
2026-02-01,22472,23096,22472,22870,18863437
2026-02-02,22898,22898,22460,22507,4591234
2026-02-03,22420,22740,22370,22644,15696351
2026-02-07,22720,23170,22700,23170,6430837
2026-02-08,23199,23519,22961,23160,5608137
2026-02-09,23106,23567,23106,23336,10757918
2026-02-10,23505,23505,23153,23294,3382675
2026-02-14,23202,23569,22951,22953,8087350
2026-02-15,22950,23250,22940,23011,1339730
2026-02-16,22990,23235,22990,23000,3002335
2026-02-17,23218,23218,22920,23122,1247533
2026-02-18,23000,23214,22904,22932,2182291
2026-02-21,22985,22985,22531,22934,3502690
2026-02-22,23000,23000,22633,22748,2277783
2026-02-23,22940,22940,22672,22780,6002989
2026-02-24,22540,22740,22433,22723,30411491
2026-02-25,22501,22837,22501,22721,13911856
2026-05-19,21984,23342,21984,23190,15147441
2026-05-20,23227,23227,23000,23227,5420965
2026-05-23,23918,23918,23918,23918,16967595
2026-05-24,24595,24595,23510,24100,21326841
2026-05-25,24270,24484,23920,23931,21664741
2026-05-26,23851,24299,23851,23981,9513796
2026-05-30,24098,24200,23711,24091,9310528
2026-05-31,24388,24699,24200,24599,7497893
2026-06-01,24700,24700,24306,24645,9576187
2026-06-02,24800,24900,24550,24649,9178868
2026-06-03,24612,24921,24556,24762,9166011
2026-06-06,24700,25000,24700,24770,3315870
2026-06-07,24990,25005,24701,24999,7189619
2026-06-08,24130,24900,24130,24439,14414385
2026-06-09,24760,25219,24760,25219,20164300
2026-06-10,25447,25447,24863,25212,12787137
2026-06-13,25495,25799,25200,25799,26316893
2026-06-14,26437,26437,25764,25764,19847003
2026-06-15,26200,26854,26200,26854,16685607
2026-06-16,27070,27333,25995,25995,34784470
2026-06-17,25550,25800,25382,25578,12872931
2026-06-20,25109,25700,25109,25277,9005547
2026-06-21,25399,25399,24733,24830,7192036
2026-06-22,24801,24990,24557,24919,8208944
2026-06-23,25000,25000,24754,24899,3036888
2026-06-27,25126,25126,24722,25000,3814640
2026-06-28,24900,25169,24700,25143,2662202
2026-06-29,25140,25308,25040,25139,4418615
2026-06-30,25290,25300,25040,25255,2870321
2026-07-01,25307,25800,25014,25789,3565764
2026-07-07,25477,26214,25477,26214,8730798
2026-07-08,26003,26474,25328,25580,10853241
2026-07-11,26070,26292,25700,25797,4669132
2026-07-12,25200,25530,25140,25200,6667037
2026-07-13,25250,25350,25100,25348,1221172
2026-07-14,25000,25463,25000,25341,12276824
2026-07-15,25110,25779,25110,25659,9890257
2026-07-18,25000,25656,24900,25401,5358009
2026-07-19,25300,25795,25300,25557,1739415
2026-07-20,25740,25860,25320,25409,2972601
2026-07-21,25432,25900,25432,25779,2113062
