date,open,high,low,close,volume
2025-11-12,316657,320703,314226,316329,12973342
2025-11-15,318899,324289,314844,319208,7491008
2025-11-16,319318,328743,315831,328743,8336834
2025-11-17,333764,334611,323173,324269,10737215
2025-11-18,321609,329938,321609,322506,5859050
2025-11-19,328783,330775,320812,324309,7506319
2025-11-22,325794,330177,323901,323931,6073549
2025-11-23,324299,333515,324299,332957,9977098
2025-11-25,336753,340728,333764,340728,10867106
2025-11-26,343229,344216,329659,334213,8530727
2025-11-29,327288,336484,326372,326372,5553693
2025-11-30,324797,329032,320663,327288,4787214
2025-12-01,331323,335687,329679,330984,6676873
2025-12-02,332748,338048,329978,333794,7533003
2025-12-03,335478,344574,335478,341735,7996826
2025-12-06,349845,349934,347723,349934,2747065
2025-12-07,360406,360406,352196,354786,18267193
2025-12-08,360256,369024,358174,369024,15968184
2025-12-09,369631,372142,360465,363514,11521195
2025-12-10,366453,377433,362757,375809,14531694
2025-12-13,377104,382454,374394,376088,10413301
2025-12-14,376596,382583,366941,379096,15640669
2025-12-15,377203,387436,376705,387436,12177830
2025-12-16,391550,396034,374533,375609,15662513
2025-12-17,378548,388302,377602,383580,8738622
2025-12-20,389548,394310,389548,394310,8070762
2025-12-21,397528,405399,392995,397857,12410752
2025-12-22,398724,405568,387097,387176,12303449
2025-12-23,387565,401414,384128,396741,12864932
2025-12-24,401513,406276,401513,406276,13192160
2025-12-27,417803,417843,411008,417843,17033205
2025-12-28,422536,429380,415462,429380,15186118
2025-12-29,429410,429410,412842,412842,18026354
2025-12-30,402500,402500,402500,402500,1786275
2025-12-31,390434,412373,390434,407043,18370174
2026-01-04,398515,407740,389368,391022,17732480
2026-01-05,404203,404203,402609,404203,5415633
2026-01-06,416319,416319,416319,416319,1726983
2026-01-07,428743,428743,409295,412483,26601082
2026-01-10,407501,407501,407501,407501,5352150
2026-01-11,395277,406495,395277,399521,27680413
2026-01-12,407491,409833,403227,409833,22572714
2026-01-13,410490,415342,395675,395675,17141173
2026-01-14,388711,388711,388711,388711,998235
2026-01-18,396532,400019,386120,396293,12139290
2026-01-19,395635,400916,381966,382733,14253705
2026-01-20,382175,391052,376386,376715,17147702
2026-01-21,379614,389906,375111,382723,12548305
2026-01-24,372122,372122,372122,372122,1614835
2026-01-25,360964,360964,360964,360964,824121
2026-01-26,350144,350144,350144,350144,782030
2026-01-27,339642,339642,339642,339642,881940
2026-01-28,329460,329460,329460,329460,1993400
2026-01-31,319577,322705,319577,319577,8656720
2026-02-01,310142,316827,310142,311935,26341781
2026-02-02,315711,320234,308757,319816,13413166
2026-02-03,319726,319816,306983,306983,12698844
2026-02-07,318132,318132,318132,318132,2074642
2026-02-08,327667,327667,309653,311357,16345296
2026-02-09,311347,313788,310869,310869,1421662
2026-02-10,301623,309355,301623,301922,9445269
2026-02-14,308866,311676,297787,299093,9942674
2026-02-15,299391,302181,297658,297658,5252673
2026-02-16,291919,304453,289129,303277,7993945
2026-02-17,307760,307760,298893,307173,4999556
2026-02-18,310361,311845,296153,300657,6236158
2026-02-21,293692,293692,293692,293692,1639668
2026-02-22,284882,284882,284882,284882,2311518
2026-02-23,286041,293428,285035,293428,4685391
2026-02-24,285961,288342,282037,282037,5255705
2026-02-25,279166,291132,278968,288931,3858782
2026-05-19,278845,296094,278845,296094,37818354
2026-05-20,297824,297824,296103,297824,3219418
2026-05-23,306620,306620,306620,306620,1559054
2026-05-24,315818,315818,315818,315818,821095
2026-05-25,325292,325292,325292,325292,1015521
2026-05-26,335049,335049,335049,335049,1608482
2026-05-30,345100,345100,345100,345100,789038
2026-05-31,355453,355453,355453,355453,781419
2026-06-01,366116,366116,366116,366116,1441637
2026-06-02,377100,377100,377100,377100,1931996
2026-06-03,388412,388412,384676,388412,22606017
2026-06-06,399867,399956,392248,399956,8994874
2026-06-07,410497,410497,410497,410497,857087
2026-06-08,398183,419646,398183,398183,21285881
2026-06-09,413339,413339,413339,413339,1112476
2026-06-10,425739,425739,425739,425739,1698905
2026-06-13,438511,438511,438511,438511,1445298
2026-06-16,532000,546000,516040,520091,29048454
2026-06-17,523000,540086,508626,540086,24215370
2026-06-20,545765,545765,513973,537000,39019253
2026-06-21,533333,533333,516064,516064,11353263
2026-06-22,505818,516000,505818,506900,19199686
2026-06-23,520000,523020,509281,523020,19245453
2026-06-27,521000,524390,504019,504019,15848231
2026-06-28,492166,492166,492166,492166,1244167
2026-06-29,477402,492999,477402,485601,23264867
2026-06-30,486666,496000,472800,484500,20836706
2026-07-01,479000,490409,469697,479900,21673632
2026-07-07,487600,493417,485021,493417,8926517
2026-07-08,476532,486741,476532,476532,18347892
2026-07-11,463505,463505,463505,463505,1393638
2026-07-12,449600,449600,449600,449600,770160
2026-07-13,436112,436112,436112,436112,924086
2026-07-14,423029,423029,423029,423029,4984761
2026-07-15,414883,422500,410339,410339,12565800
2026-07-18,400263,400263,400263,400263,852301
2026-07-19,388256,391317,388256,389505,14413204
2026-07-20,390050,400259,382000,400259,13328464
2026-07-21,403010,407963,401010,407963,4543462
2026-07-22,419350,419350,394936,394936,16992346
2026-07-25,400900,408990,389225,394300,10218924
2026-07-26,406262,406262,406262,406262,2796050
2026-07-27,418449,418449,411555,418449,21349762
2026-07-28,418500,429341,411555,422389,9544285
2026-07-29,409609,411994,409609,409609,11626056
2026-08-01,397482,408990,397482,397482,10175866
2026-08-02,412548,412548,410000,412548,6099690
2026-08-03,424818,424818,424818,424818,2102983
2026-08-05,437562,437562,437562,437562,1240076
2026-08-08,450688,450688,450688,450688,922973
2026-08-09,464208,464208,451004,464199,30654382
2026-08-10,462000,475813,457610,475813,13175894
2026-08-11,479965,485250,467896,478630,10975127
2026-08-15,474990,474990,464316,464316,8708148
2026-08-16,452620,479144,452620,479144,16224038
2026-08-17,487188,487188,484012,487188,6974440
2026-08-18,489399,492239,472542,473050,16755142
2026-08-19,476995,493090,469000,482112,11946600
2026-08-22,496460,498858,491001,498858,11430997
2026-08-23,511870,511870,493134,511870,22989979
2026-08-24,509000,523656,502890,523656,21805899
2026-08-25,524500,537012,524500,537012,11480751
2026-08-26,551365,551365,551365,551365,2726572
2026-08-29,567905,567905,567905,567905,1233970
2026-08-31,579000,584942,567000,584942,19016033
2026-09-01,598853,598853,563969,563969,19225675
2026-09-02,569089,569089,569089,569089,1875297
2026-09-05,570000,586147,552017,556380,27908660
2026-09-06,559100,565000,543671,554003,17131945
2026-09-07,569510,569510,565001,569510,14017113
2026-09-08,575050,583000,564822,575826,24047348
2026-09-09,560000,573300,557878,557878,14192872
2026-09-12,571990,578942,552037,578942,17527602
2026-09-13,589779,589779,577809,589730,17035904
2026-09-14,573972,584998,569552,569552,16383019
2026-09-15,585000,591617,576000,591617,10812197
2026-09-16,600011,607181,581780,594990,14919973
2026-09-19,600375,608000,578112,578112,3835562
2026-09-20,567838,567838,567838,567838,1372752
