date,open,high,low,close,volume
2025-11-16,12280,12460,12280,12450,17557641
2025-11-17,12470,12620,12450,12450,11623013
2025-11-18,12520,12600,12470,12500,12317018
2025-11-19,12300,12790,12300,12680,49148733
2025-11-22,12790,12830,12640,12830,10944088
2025-11-23,12870,12940,12610,12710,4598970
2025-11-25,12720,12940,12720,12820,9617908
2025-11-26,12940,12940,12540,12550,6802801
2025-11-29,12500,12620,12390,12560,9974326
2025-11-30,12470,12700,12470,12660,3145711
2025-12-01,12720,12890,12690,12690,4616592
2025-12-02,12680,13100,12680,13100,76417748
2025-12-03,13100,13370,13100,13370,36324856
2025-12-06,13580,13610,13500,13610,28762067
2025-12-07,13920,13920,13370,13440,10798205
2025-12-08,13620,13700,13500,13550,5912978
2025-12-09,13510,13810,13450,13720,5950117
2025-12-10,13750,14090,13750,14090,25206194
2025-12-13,14390,14480,14220,14430,18074853
2025-12-14,14450,14690,14430,14590,17920563
2025-12-15,14610,14970,14610,14960,13857728
2025-12-16,14970,15210,14510,14540,19364780
2025-12-17,14520,14940,14520,14900,4812719
2025-12-20,14970,15250,14900,15250,7822412
2025-12-21,15330,15500,15170,15230,19951610
2025-12-22,15400,15700,15160,15350,7743700
2025-12-23,15660,15740,15360,15730,7516391
2025-12-24,16030,16030,16030,16030,10674295
2025-12-27,16510,16510,16510,16510,5169770
2025-12-28,17000,17000,16780,17000,66352723
2025-12-29,17510,17510,16830,17150,60910611
2025-12-30,16890,16890,16790,16790,7127776
2025-12-31,16310,16830,16310,16780,51504245
2026-01-04,16700,17000,16050,16880,32818461
2026-01-05,16890,17160,16230,16350,74533686
2026-01-06,16390,17060,16390,16890,37999065
2026-01-07,17000,17000,16290,16290,37972918
2026-01-10,15870,15970,15870,15870,14518044
2026-01-11,15400,15630,15400,15420,47869378
2026-01-12,15520,15860,15520,15700,14462432
2026-01-13,15840,16000,15280,15430,15990015
2026-01-14,15220,15220,15220,15220,4262713
2026-01-18,15220,15670,15220,15550,14692351
2026-01-19,15650,15990,15570,15900,14703578
2026-01-20,15830,16310,15800,16310,27593467
2026-01-21,16680,16680,16680,16680,18357100
2026-01-24,17180,17180,16260,16650,54503329
2026-01-25,16400,16500,16350,16350,4803817
2026-01-26,15870,15870,15870,15870,3571489
2026-01-27,15400,15500,15400,15400,19768287
2026-01-28,15100,15660,15100,15360,10107718
2026-01-31,15740,15740,14840,14840,16197280
2026-02-01,14440,14840,14440,14550,6642379
2026-02-02,14890,14890,14560,14700,4327732
2026-02-03,14990,14990,14340,14480,5893114
2026-02-07,14870,14950,14710,14950,6336595
2026-02-08,15170,15290,14490,14500,14147995
2026-02-09,14900,14900,14210,14210,7949372
2026-02-10,14110,14200,13840,14080,2552903
2026-02-14,13880,14430,13680,13680,6752398
2026-02-15,13730,13820,13540,13590,8254194
2026-02-16,13490,13670,13220,13480,10865584
2026-02-17,13440,13700,13440,13640,14773492
2026-02-18,13620,13770,13420,13500,2610454
2026-02-21,13300,13300,13250,13250,3501686
2026-02-22,12853,13000,12853,12853,9974930
2026-02-23,12855,13129,12668,13049,21259082
2026-02-24,12905,12990,12561,12846,6818985
2026-02-25,12700,13199,12700,13170,4373967
2026-05-19,13534,13534,13534,13534,9283889
2026-05-20,13940,13940,13940,13940,3620125
