date,open,high,low,close,volume
2025-12-03,9003,9033,9003,9007,9429999
2025-12-06,9024,9073,9021,9041,17817876
2025-12-07,9059,9059,8976,8986,6652097
2025-12-08,9015,9046,8976,8980,5743281
2025-12-09,8983,9262,8963,9262,23354301
2025-12-10,9427,9427,9427,9427,2407109
2025-12-13,9710,9710,9710,9710,23355765
2025-12-14,9920,10000,9676,10000,26875705
2025-12-15,10008,10233,10008,10233,6446743
2025-12-16,10489,10489,10184,10444,39694425
2025-12-17,10521,10733,10443,10733,5596626
2025-12-20,11037,11037,11037,11037,350483
2025-12-21,11368,11368,11368,11368,3276132
2025-12-22,11709,11709,11369,11709,44190834
2025-12-23,11744,11994,11670,11896,26080767
2025-12-24,12005,12192,11942,12009,55632101
2025-12-27,12091,12212,11706,11706,56943785
2025-12-28,11706,11775,11577,11577,46909395
2025-12-29,11572,11572,11253,11253,17306684
2025-12-30,10960,10960,10960,10960,673261
2025-12-31,10631,11115,10631,10896,46199630
2026-01-04,10852,10852,10542,10542,16920266
2026-01-05,10658,10898,10580,10898,32158082
2026-01-06,11115,11156,10940,11156,22304281
2026-01-07,11196,11244,10789,10789,27267946
2026-01-10,10541,10571,10541,10541,4971725
2026-01-11,10232,10474,10226,10265,23544560
2026-01-12,10446,10500,10297,10421,30085176
2026-01-13,10448,10492,10113,10113,15751838
2026-01-14,9943,9956,9943,9943,1976444
2026-01-18,10092,10242,9947,10153,25002157
2026-01-19,10115,10263,9789,9978,17955042
2026-01-20,10174,10174,9907,10007,18045747
2026-01-21,10014,10297,10007,10297,20391025
2026-01-24,10268,10268,9906,9906,8598766
2026-01-25,9623,9912,9623,9623,22346713
2026-01-26,9472,9569,9351,9351,15005250
2026-01-27,9204,9655,9170,9553,29230200
2026-01-28,9618,9654,9394,9403,13025943
2026-01-31,9595,9595,9244,9244,8812859
2026-02-01,9332,9524,9112,9400,14362408
2026-02-02,9480,9586,9400,9586,25145235
2026-02-03,9594,9745,9358,9483,18722337
2026-02-07,9746,9806,9746,9806,3139443
2026-02-08,9973,10006,9502,9507,33410329
2026-02-09,9446,9557,9369,9400,8527564
2026-02-10,9499,9551,9325,9411,21064166
2026-02-14,9566,9677,9336,9547,29145228
2026-02-15,9652,9819,9499,9819,16741959
2026-02-16,10038,10038,9886,10038,9511466
2026-02-17,10335,10335,10229,10312,11936951
2026-02-18,10643,10643,10024,10062,51424621
2026-02-21,9992,9992,9992,9992,457498
2026-02-22,9692,9797,9692,9692,8572550
2026-02-23,9507,9866,9402,9482,34857389
2026-02-24,9404,9420,9249,9249,10633970
2026-02-25,9185,9357,9185,9256,15072509
2026-05-02,9569,9569,9569,9569,2402324
2026-05-03,9855,9855,9855,9855,37133
2026-05-04,10151,10151,10151,10151,1282336
2026-05-05,10455,10455,10455,10455,1829510
2026-05-06,10768,10768,10768,10768,487855
2026-05-09,11090,11090,11090,11090,253299
2026-05-10,11422,11422,11422,11422,1086736
2026-05-11,11764,11764,11764,11764,2180251
2026-05-12,12116,12116,12116,12116,1463105
2026-05-13,12479,12479,12258,12479,89583504
2026-05-16,12846,12846,12742,12846,28060818
2026-05-17,13229,13229,13229,13229,620523
2026-05-18,13625,13625,12833,12833,84958198
2026-05-19,12850,12850,12850,12850,1826104
2026-05-20,12465,12465,12465,12465,1444407
2026-05-23,12092,12839,12092,12752,63121480
2026-05-24,12839,12944,12190,12196,55556962
2026-05-25,12126,12327,12016,12016,13650710
2026-05-26,11717,12337,11717,12205,57759935
2026-05-30,12390,12442,12284,12442,13646685
