date,open,high,low,close,volume
2026-07-26,13965,14383,13965,13974,21165811
2026-07-27,13547,14170,13547,14079,528793
2026-07-28,13800,14063,13778,13921,31613286
2026-07-29,13919,13919,13739,13750,35341060
2026-08-01,13845,13878,13701,13828,27007178
2026-08-02,13846,13911,13770,13910,1811757
2026-08-03,13910,13991,13852,13991,18254001
2026-08-05,13990,14084,13990,14083,5056327
2026-08-08,14086,14391,14037,14391,30024216
2026-08-09,14162,14286,14028,14159,17491352
2026-08-10,14170,14428,14087,14354,5947219
2026-08-11,14373,14445,14161,14295,3980601
2026-08-15,14288,14368,13993,14141,506283
2026-08-16,14142,14366,13962,14336,14270981
2026-08-17,14339,14532,14237,14431,497061
2026-08-18,14451,14523,14216,14368,9093923
2026-08-19,14407,14570,14285,14504,3028599
2026-08-22,14496,14697,14422,14682,4376351
2026-08-23,14657,14834,14502,14674,164975
2026-08-24,14700,14744,14530,14606,57978
2026-08-25,14622,14978,14622,14870,370976
2026-08-26,14889,15261,14889,15240,11949
2026-08-29,15275,15497,15275,15450,108161
2026-08-31,15409,15724,15409,15671,557231
2026-09-01,15736,16051,15285,15287,859029
2026-09-02,15255,15575,15255,15391,92825
2026-09-05,15457,15457,14935,15270,20110
2026-09-06,15085,15281,14903,15038,144873
2026-09-07,15042,15490,15042,15340,358363
2026-09-08,15332,15753,15320,15437,4210288
2026-09-09,15462,15462,15149,15151,341974
2026-09-12,15089,15524,14836,15427,449585
2026-09-13,15403,15600,15403,15584,941393
2026-09-14,15702,15775,15386,15476,248433
2026-09-15,15617,16033,15617,16015,499258
2026-09-16,15865,16282,15723,15910,1139603
2026-09-19,16231,16231,15488,15495,144217
2026-09-20,15193,15309,15185,15258,11605
