date,open,high,low,close,volume
2025-11-16,7649,7949,7349,7948,135230997
2025-11-17,7914,8036,7747,7810,83689017
2025-11-18,7838,7888,7623,7623,30935841
2025-11-19,7680,7856,7622,7746,59258241
2025-11-22,7850,7950,7705,7748,33605297
2025-11-23,7760,8139,7760,8139,43255100
2025-11-25,8388,8388,8321,8388,52299676
2025-11-26,8456,8685,8299,8620,91803117
2025-11-29,8532,8850,8529,8641,117876340
2025-11-30,8750,9050,8529,9050,106179274
2025-12-01,9222,9222,9179,9222,41042960
2025-12-02,9492,9587,9327,9587,80174763
2025-12-03,9680,9884,9622,9884,71395857
2025-12-06,10185,10211,10111,10211,39961608
2025-12-07,10612,10614,9798,9798,170802150
2025-12-08,9843,10224,9700,10079,179401567
2025-12-09,10090,10380,9805,9830,83755584
2025-12-10,9930,10346,9826,10067,98696470
2025-12-13,10175,10552,10175,10427,190544871
2025-12-14,10470,10585,10040,10399,168455422
2025-12-15,10450,10783,10399,10783,204735125
2025-12-16,10814,11109,10260,10299,186400280
2025-12-17,10315,10646,10300,10534,94869104
2025-12-20,10800,10926,10625,10926,67985678
2025-12-21,11150,11334,10950,11210,147308875
2025-12-22,11334,11560,10776,11045,74295640
2025-12-23,11190,11555,10900,11530,119124888
2025-12-24,11785,11794,11650,11794,35497833
2025-12-27,12253,12253,12135,12253,118394076
2025-12-28,12730,12731,12380,12731,38468650
2025-12-29,13190,13190,12176,12460,133511578
2025-12-30,12152,12152,12152,12152,8362404
2025-12-31,11666,12638,11666,12638,139098390
2026-01-04,12686,12686,11950,12686,159570390
2026-01-05,13114,13114,13114,13114,3471002
2026-01-06,13638,13638,13638,13638,4208684
2026-01-07,14183,14183,14183,14183,30004501
2026-01-10,13616,14750,13616,13729,334033950
2026-01-11,14580,14707,14500,14707,123646879
2026-01-12,15267,15267,15267,15267,4762744
2026-01-13,15877,15877,15622,15877,209323816
2026-01-14,15980,16400,15242,16060,298259830
2026-01-18,16477,16477,16477,16477,76422320
2026-01-19,17136,17136,16920,17136,188423617
2026-01-20,17500,17803,16510,17800,249618997
2026-01-21,17935,18298,17595,17927,273423518
2026-01-24,17650,17800,17333,17333,32840323
2026-01-25,16749,16749,16749,16749,1139149
2026-01-26,16080,16080,16080,16080,585988
2026-01-27,15437,15437,15437,15437,2832289
2026-01-28,14820,14820,14820,14820,15728404
2026-01-31,14228,14228,14228,14228,6182376
2026-02-01,13659,13950,13659,13698,335285097
2026-02-02,14000,14264,13800,14264,178115722
2026-02-03,14341,14490,13554,13554,198802035
2026-02-07,14316,14316,14316,14316,54008182
2026-02-08,14888,14888,13744,13744,318572539
2026-02-09,13708,13708,13708,13708,2611308
2026-02-10,13160,13299,13160,13160,163625554
2026-02-14,13500,13630,12652,12652,159988270
2026-02-15,12606,12606,12606,12606,988633
2026-02-16,12102,12257,12102,12102,135887309
2026-02-17,12000,12157,11629,11770,147499554
2026-02-18,11896,11990,11322,11322,46421661
2026-02-21,11060,11060,11060,11060,352150
2026-02-22,10618,10618,10618,10618,3884196
2026-02-23,10620,10950,10256,10760,158641007
2026-02-24,10512,10512,10234,10234,14479587
2026-02-25,9940,10490,9940,10320,140036855
2026-05-19,9855,10080,9855,9855,253302160
2026-05-20,9904,10278,9904,10278,108221714
2026-05-23,10614,10614,10614,10614,30258076
2026-05-24,11038,11038,11038,11038,1012869
2026-05-25,11479,11479,11101,11479,71369816
2026-05-26,11490,11925,11274,11925,82574812
2026-05-30,12250,12250,12250,12250,2017391
2026-05-31,12740,12740,12740,12740,1255927
2026-06-01,13249,13249,13122,13249,136972030
2026-06-02,13370,13773,13240,13772,107278935
2026-06-03,13649,14194,13244,13696,154393625
2026-06-06,13900,14357,13600,14357,76832169
2026-06-07,14746,14746,14746,14746,6709666
2026-06-08,14157,14696,14157,14157,114905386
2026-06-09,14758,14758,14758,14758,4817596
2026-06-10,15348,15348,15089,15348,68125014
2026-06-13,15960,15960,15960,15960,1034230
2026-06-14,16598,16598,16598,16598,1979986
