date,open,high,low,close,volume
2025-11-16,11026,11026,10806,10980,9200572
2025-11-17,11134,11135,11029,11029,693870
2025-11-18,10988,11306,10988,11200,3444286
2025-11-19,11244,11328,11193,11239,30028217
2025-11-22,11530,11530,11220,11230,795
2025-11-23,11398,11608,11327,11363,16274
2025-11-25,11568,11608,11409,11480,36792
2025-11-26,11481,11715,11479,11635,22984
2025-11-29,11447,11502,11352,11390,22534
2025-11-30,11257,11600,11255,11452,252049
2025-12-01,11430,11682,11430,11682,11785
2025-12-02,11908,11908,11793,11907,37941
2025-12-03,12018,12018,11779,11802,17054
2025-12-06,11957,12170,11957,12170,14767478
2025-12-07,12145,12478,12001,12090,18334400
2025-12-08,12102,12480,12098,12444,1193603
2025-12-09,12499,12539,12274,12309,1116532
2025-12-10,12295,12710,12280,12455,1063816
2025-12-13,12740,12844,12702,12843,582825
2025-12-14,13013,13222,12758,13027,443021
2025-12-15,13263,13326,13099,13326,2835739
2025-12-16,13544,13604,13200,13200,2267480
2025-12-17,13247,13660,13247,13646,555112
2025-12-20,13913,14055,13913,14055,3636850
2025-12-21,14230,14230,13912,14060,2274556
2025-12-22,13995,14410,13995,14248,1271845
2025-12-23,14480,14480,14227,14480,896286
2025-12-24,14393,14762,14393,14762,3173427
2025-12-27,14990,15178,14605,14713,3185536
2025-12-28,14636,15000,14636,14806,93733
2025-12-29,15091,15091,14518,14809,271155
2025-12-30,14416,14416,14241,14241,1771701
2025-12-31,14493,14660,14015,14660,23876
2026-01-04,14399,14674,14018,14200,38501
2026-01-05,14284,14709,14284,14708,619764
2026-01-06,14815,14898,14811,14898,3945029
2026-01-07,15133,15300,15018,15147,2367040
2026-01-10,14788,15167,14788,14788,1120283
2026-01-11,14796,15177,14796,15177,22705
2026-01-12,14800,15557,14651,15405,107097
2026-01-13,15667,15850,15489,15534,1090190
2026-01-14,15562,15562,15145,15450,174336
2026-01-18,15626,15626,15392,15626,151902
2026-01-19,15892,15972,15490,15490,71358
2026-01-20,15585,15832,15482,15832,25346
2026-01-21,15760,15760,15330,15550,19330
2026-01-24,15674,15674,15006,15118,155315
2026-01-25,14818,14818,14755,14755,3919994
2026-01-26,14313,14313,14313,14313,3910847
2026-01-27,13884,14215,13884,13884,2165015
2026-01-28,13481,13481,13468,13468,37243868
2026-01-31,13225,13392,13064,13065,436141
2026-02-01,13076,13535,13076,13535,1418
2026-02-02,13511,13822,13498,13745,40522
2026-02-03,13747,13747,13253,13410,8160
2026-02-07,13481,13755,13350,13449,12342421
2026-02-08,13650,13867,13112,13239,6150631
2026-02-09,13403,13586,13222,13584,3915276
2026-02-10,13334,13366,13136,13290,48272
