date,open,high,low,close,volume
2025-11-15,13200,13252,13150,13252,2057647
2025-11-16,13250,13250,13250,13250,28000
2025-11-17,13550,13550,13280,13280,45398
2025-11-18,13250,13450,13240,13240,7550246
2025-11-19,13200,13450,13200,13203,2449
2025-11-22,13399,13616,13399,13549,11323
2025-11-23,13607,13848,13607,13690,7479645
2025-11-25,13748,13969,13748,13860,3671604
2025-11-26,13999,13999,13625,13784,126837
2025-11-29,13725,13849,13620,13630,12875
2025-11-30,13700,13909,13700,13909,18012151
2025-12-01,13750,14290,13750,14050,11800592
2025-12-02,14210,14399,14210,14338,14946132
2025-12-03,14500,14580,14385,14580,87223
2025-12-06,14750,14978,14750,14915,79248
2025-12-07,14730,14730,14730,14730,17400
2025-12-08,15164,15171,15150,15171,50604
2025-12-09,15201,15300,15101,15161,82135
2025-12-10,15340,15499,15340,15499,50397
2025-12-13,15816,15816,15700,15700,2126494
2025-12-14,15775,16040,15700,16040,11665708
2025-12-15,16200,16402,16200,16402,10734524
2025-12-16,16645,16645,16101,16101,11100831
2025-12-17,16250,16500,16100,16100,2253866
2025-12-20,16200,16600,16200,16535,1483708
2025-12-21,16601,17000,16601,16800,310827
2025-12-22,16900,16900,16600,16749,763954
2025-12-23,16580,16974,16500,16780,1176984
2025-12-24,16960,17224,16850,17150,3105855
2025-12-27,17560,17560,17000,17125,3484171
2025-12-28,17250,17638,17201,17630,4455173
2025-12-29,17785,17953,17501,17600,3834651
2025-12-30,17240,17480,17240,17300,208860
2025-12-31,17400,17914,17400,17914,453942
2026-01-04,17840,18200,17700,17740,798410
2026-01-05,18110,18380,18110,18380,5717781
2026-01-06,18931,18931,18900,18931,3579941
2026-01-07,19200,19498,19200,19444,2402331
2026-01-10,18895,19970,18881,19100,561392
2026-01-11,19690,19690,19510,19510,320700
2026-01-12,20150,20218,19950,20050,7241636
2026-01-13,20449,20449,19800,19825,1306596
2026-01-14,19600,19998,19400,19400,773906
2026-01-18,19999,20021,19675,19710,3032595
2026-01-19,20100,20100,19450,19795,903640
2026-01-20,19400,19650,19400,19640,566109
2026-01-21,19300,19597,19250,19250,5061173
2026-01-24,19200,19200,18914,19030,618446
2026-01-25,18492,18492,18492,18492,700000
2026-01-26,18000,18000,17938,18000,423019
2026-01-27,17998,17998,17998,17998,3882
2026-01-28,17511,17700,17463,17696,24425
2026-01-31,17401,17500,17250,17250,69063
2026-02-01,17450,17450,17250,17250,3000060
2026-02-02,17600,17699,17600,17670,5655132
2026-02-03,17400,17400,17300,17300,249769
2026-02-07,17850,17895,17848,17895,21946855
2026-02-08,18000,18387,17500,17727,17921485
2026-02-09,17560,17560,17560,17560,10000
2026-02-10,17880,17880,17560,17560,5060
2026-02-14,17600,17600,17300,17330,1400778
2026-02-15,17060,17620,16930,17300,26519
2026-02-16,17001,17001,17001,17001,150
2026-02-17,17315,17315,17315,17315,30
2026-02-18,16915,17000,16796,16796,64820
2026-02-21,16400,16400,16375,16375,110000
2026-02-22,15920,16055,15920,16055,2505000
2026-02-23,15699,16380,15699,16380,53621
2026-02-25,16439,16440,16400,16400,5066417
2026-05-19,16892,16892,15908,15908,258813
2026-05-20,15454,15454,15454,15454,6009919
2026-05-23,14994,15079,14991,14995,4635107
2026-05-24,15390,15448,15200,15448,3820689
2026-05-25,14985,15909,14984,15500,7110100
2026-05-26,15760,16231,15759,16086,9400545
2026-05-30,16080,16563,16050,16563,5368450
2026-05-31,16995,16996,16995,16996,1283107
2026-06-01,17200,17469,16827,17004,2602866
2026-06-02,17199,17560,17199,17400,871580
2026-06-03,17930,17930,17300,17600,2021376
2026-06-06,17989,18030,17787,18030,1212551
2026-06-07,18529,18536,18529,18536,181929
2026-06-08,19087,19087,17990,18100,360109
2026-06-09,18120,18611,18120,18500,1044480
2026-06-10,18890,18890,18799,18799,4200
2026-06-13,19367,19367,19050,19367,11603569
2026-06-14,19501,19876,19301,19430,3900665
2026-06-15,19792,20033,19792,20033,6587814
2026-06-16,20017,20200,19520,20050,11147908
2026-06-17,19950,20200,19500,19980,945650
2026-06-20,19910,20176,19298,19298,1572918
2026-06-21,19648,19840,19300,19300,17481966
2026-06-22,19629,19736,19629,19736,112999
2026-06-23,19281,19647,19195,19195,975818
2026-06-27,19773,19773,19001,19001,1568
2026-06-28,18580,19130,18569,18596,14363365
2026-06-29,18572,19100,18500,19100,59990
2026-06-30,18503,19058,18503,19057,523803
2026-07-01,19468,19468,19467,19467,3260
2026-07-07,19468,19952,19467,19917,276521
2026-07-08,19567,19914,19567,19567,67688
2026-07-11,19569,19770,19568,19770,3381
2026-07-12,18998,18998,18997,18997,1000437
2026-07-13,18997,18997,18834,18834,137195
2026-07-14,18842,19131,18842,19130,50734
2026-07-15,18846,19100,18845,19100,38231
2026-07-18,18540,18800,18540,18700,28991
2026-07-19,18170,18700,18152,18700,159822
2026-07-20,18893,18893,18500,18500,303265
2026-07-21,18973,19200,18950,18950,1065772
2026-07-22,18833,18990,18833,18990,51028
2026-07-25,19524,19524,19524,19524,1000
2026-07-26,19524,19808,19524,19808,352
2026-07-27,20219,20219,20219,20219,4901
2026-07-28,20558,20820,20300,20485,8069
2026-07-29,20800,20800,19923,19924,12914
2026-08-01,20544,20544,19967,19967,20435
