date,open,high,low,close,volume
2026-01-14,15003,15110,14900,14970,358598362
2026-01-18,14850,14900,14700,14819,155804600
2026-01-19,15042,15042,14751,14789,227927175
2026-01-20,14800,14970,14700,14930,182965273
2026-01-21,15203,15348,15200,15310,387619934
2026-01-24,15852,15940,15700,15739,285335425
2026-01-25,15770,15970,15700,15911,795310433
2026-01-26,16250,16690,16250,16680,366829666
2026-01-27,17213,17749,17150,17600,586105120
2026-01-28,19250,19250,18100,18210,1124703270
2026-01-31,16950,18060,16950,17900,811019341
2026-02-01,17511,17970,17150,17408,470686101
2026-02-02,16750,16930,15900,16291,540986433
2026-02-03,17000,17248,16900,17052,355954148
2026-02-07,16708,17180,16680,17029,275600600
2026-02-08,17201,17810,17201,17758,292986629
2026-02-09,18320,18500,18050,18215,301253040
2026-02-10,18447,18490,18220,18326,267281670
2026-02-14,18010,18099,17850,17960,478147667
2026-02-15,18052,18410,18011,18242,248457807
2026-02-16,18090,18198,17940,17981,154744130
2026-02-17,17942,18258,17541,17880,342561599
2026-02-18,18210,18297,18040,18161,219984350
2026-02-21,18680,18680,18460,18469,269207530
2026-02-22,18480,18500,18350,18492,151151360
2026-02-23,18400,18401,18200,18230,178727620
2026-02-24,18380,18380,18131,18169,151490992
2026-02-25,18301,18400,17890,17910,204735824
2026-03-15,16330,16330,16330,16330,37895246
2026-03-16,14697,15170,14697,15151,306078813
2026-03-17,15154,16200,15154,16200,157285301
2026-03-18,16750,17150,16556,17099,108206750
2026-03-25,16200,16500,16001,16500,100081035
2026-03-28,16529,16686,16400,16609,110225808
2026-03-29,16500,16500,15902,16220,78956642
2026-03-30,16238,16250,16003,16150,77588596
2026-03-31,16206,16310,16150,16310,55223419
2026-04-04,16300,17110,16300,17001,121442184
2026-04-05,16900,16940,16700,16800,104603546
2026-04-06,16900,16900,16750,16900,73540244
2026-04-07,17050,17509,17050,17370,114846550
2026-04-08,17000,17198,16780,17101,118926270
2026-04-11,16499,16800,16499,16550,76356172
2026-04-12,17100,17170,16910,16958,88698683
2026-04-13,17120,17270,17120,17200,110635757
2026-04-15,16902,17000,16780,16789,108312585
2026-04-18,16220,16599,16200,16590,103443979
2026-04-19,16700,16700,16350,16490,73973205
2026-04-20,16400,16420,16261,16300,55220315
2026-04-21,16280,16280,16125,16200,45281824
2026-04-22,16450,16540,16363,16480,62605989
2026-04-25,16410,16500,16402,16460,49257356
2026-04-26,16550,16639,16444,16534,144555008
2026-04-27,16670,17380,16670,17370,256069058
2026-04-28,17830,18269,17811,18182,694247875
2026-04-29,19720,19860,18802,18970,857125159
2026-05-02,19700,19798,19500,19760,524887955
2026-05-03,20002,20111,19878,20083,311444284
2026-05-04,20010,20011,19551,19601,294366172
2026-05-05,19200,19250,18710,18800,355589169
2026-05-06,19244,19244,18208,18700,422954763
2026-05-09,19140,19140,18850,18940,301794213
2026-05-10,18950,18950,18800,18911,268877267
2026-05-11,19250,19560,19250,19550,420434904
2026-05-12,19550,19570,19300,19310,216037107
2026-05-13,19260,19260,19010,19059,147909436
2026-05-16,18730,18880,18700,18781,120661705
2026-05-17,18750,18780,18651,18710,287638511
2026-05-18,18526,18526,18150,18260,195002188
2026-05-19,18320,18320,18199,18249,156175370
2026-05-20,18151,18539,18150,18439,519235812
2026-05-23,18120,18264,17850,18010,139641739
2026-05-24,17170,17321,17025,17291,219047774
2026-05-25,18000,18028,17220,17410,180585334
2026-05-26,17293,17400,17230,17340,89159318
2026-05-30,17260,17260,17000,17119,128489633
2026-05-31,17019,17289,17019,17289,130334204
2026-06-01,17599,17920,17450,17911,132974110
2026-06-02,17950,17950,17608,17671,133530580
2026-06-03,17600,17770,17558,17710,74938640
2026-06-06,17300,17399,17180,17209,81774224
2026-06-07,17271,17640,17271,17629,156218795
2026-06-08,17500,17501,17170,17341,114276045
2026-06-09,17299,17330,17180,17181,107341196
2026-06-10,16900,17130,16900,17080,120437137
2026-06-13,16601,16601,16012,16091,190319337
2026-06-14,16000,16460,15800,16460,159786788
2026-06-15,16100,16100,15600,15909,116183775
2026-06-16,15750,15750,15150,15250,131117049
2026-06-17,15400,15699,15251,15450,210891174
2026-06-20,15810,15850,15450,15657,134646324
2026-06-21,15490,15490,15150,15200,80238592
2026-06-22,15161,15349,15150,15159,90452212
2026-06-23,15200,15220,15100,15129,65427453
2026-06-27,15450,15550,15380,15409,82923988
2026-06-28,15750,16229,15730,16190,211945029
2026-06-29,16000,16010,15711,15739,141477341
2026-06-30,15780,16069,15780,15970,130061656
2026-07-01,16200,16498,16200,16390,163451592
2026-07-07,16619,16810,16599,16770,139345921
2026-07-08,16990,17249,16990,17109,141923828
2026-07-11,16899,16899,16610,16762,69255248
2026-07-12,16890,16990,16851,16879,106127856
2026-07-13,16700,16951,16700,16858,314563907
2026-07-14,17020,17191,17020,17150,105706699
2026-07-15,17600,17740,17590,17672,329401309
2026-07-18,18260,18260,17904,18090,220862316
2026-07-19,18008,18009,17631,17670,198150170
2026-07-20,17340,17340,17006,17099,195552001
2026-07-21,17151,17459,17151,17422,98596897
2026-07-22,17700,17795,17641,17717,139283969
2026-07-25,17300,17420,17200,17410,111278549
2026-07-26,17010,17240,17010,17180,105912001
2026-07-27,17300,17569,17300,17569,100375747
2026-07-28,17617,17617,17366,17390,87885946
2026-07-29,17750,17828,17671,17735,144259026
2026-08-01,17848,17920,17750,17820,151072207
2026-08-02,17301,17550,17301,17545,155430584
2026-08-03,17545,17574,17424,17510,71929260
2026-08-05,17500,17500,17360,17365,75003392
2026-08-08,18000,18012,17710,17770,135075651
2026-08-09,17685,17900,17685,17819,123396830
2026-08-10,17700,17750,17625,17645,63744945
2026-08-11,17885,18011,17813,17995,110578973
2026-08-15,18080,18257,18031,18250,118457606
2026-08-16,18200,18230,18050,18130,91034545
2026-08-17,18130,18330,18130,18320,82373097
2026-08-18,18404,18490,18403,18490,104975819
2026-08-19,18750,19000,18680,19000,345902454
2026-08-22,19900,20103,19520,19990,349751099
2026-08-23,20670,20889,20444,20542,359391122
2026-08-24,21300,21300,20700,20720,329892790
2026-08-25,20950,20950,19900,20200,257752951
2026-08-26,19700,20530,19699,20529,163586648
2026-08-29,20500,20990,20497,20918,200139775
2026-08-31,21100,21490,21080,21410,326652302
2026-09-01,21137,21360,20900,21110,274640084
2026-09-02,21500,21700,21271,21501,403969954
2026-09-05,21819,22169,21819,22139,288032550
2026-09-06,21900,21900,21550,21669,155902524
2026-09-07,21488,21789,21300,21789,99925491
2026-09-08,21900,22144,21880,22070,100776914
2026-09-09,22450,22830,22450,22592,292695952
2026-09-12,22550,22697,22241,22620,176718573
2026-09-13,22380,22380,21931,21950,142184912
2026-09-14,22201,22280,21951,21958,87678112
2026-09-15,21800,21847,21630,21722,226487418
2026-09-16,21838,22070,21838,22010,71586290
2026-09-19,22167,22740,22167,22591,323032266
2026-09-20,23000,23300,22711,22729,432150548
