date,open,high,low,close,volume
2026-01-14,661860,666000,655753,657004,2903321
2026-01-18,653000,653300,646000,647549,1789253
2026-01-19,665000,665000,650200,651517,1254108
2026-01-20,655219,657456,648000,654610,1104690
2026-01-21,667500,675000,667500,671562,2141260
2026-01-24,713000,713000,690112,692556,1864589
2026-01-25,694000,699360,689120,696850,3585656
2026-01-26,709999,733899,709990,730901,4690710
2026-01-27,752220,777669,752220,774899,5328352
2026-01-28,844535,844535,801501,809500,5369066
2026-01-31,741000,808499,741000,794509,5013848
2026-02-01,784007,793900,755000,766100,3615718
2026-02-02,729001,749000,700000,717145,4988950
2026-02-03,750000,755244,745000,752598,3637685
2026-02-07,742000,758700,734689,749498,4313695
2026-02-08,757999,781246,753900,781239,4110754
2026-02-09,817500,819988,795102,804331,4945069
2026-02-10,815002,819130,801990,811050,2748035
2026-02-14,786001,799999,786001,796299,1913847
2026-02-15,805000,814985,797600,808770,2046737
2026-02-16,808000,808001,795390,797151,3092630
2026-02-17,798129,812000,777790,792501,2973353
2026-02-18,806000,814000,801001,804481,1389398
2026-02-21,823240,830000,820010,820194,3074673
2026-02-22,822000,822481,812290,818600,3268510
2026-02-23,812500,814899,804980,805002,1605215
2026-02-24,806000,812078,801012,801200,2267700
2026-02-25,811111,815000,792720,795900,2039239
2026-03-15,721764,721764,721764,721764,182732
2026-03-16,649588,669990,649588,664000,2344716
2026-03-17,661501,712990,661501,710000,3913868
2026-03-18,726304,754525,720000,752108,2963450
2026-03-25,720000,728900,710000,723924,788164
2026-03-28,733000,737900,719847,721500,850972
2026-03-29,725000,725960,704760,712000,1028795
2026-03-30,713900,719990,703255,705000,1423280
2026-03-31,711000,715200,711000,714990,743724
2026-04-04,717000,752990,715300,746999,2089711
2026-04-05,747000,749000,733010,737900,1864122
2026-04-06,741100,744400,738100,742780,957038
2026-04-07,752500,771440,752500,767498,2203429
2026-04-08,752620,755000,734821,751898,2777074
2026-04-11,738900,738900,726000,726702,1504508
2026-04-12,748880,752500,742002,743100,1764295
2026-04-13,751500,759999,751500,756797,1535119
2026-04-15,758170,758170,739301,741660,2363307
2026-04-18,719600,727998,716582,727875,1746237
2026-04-19,741663,741663,721992,723399,1394293
2026-04-20,725000,725500,719000,719009,880205
2026-04-21,718302,718302,712001,713179,940490
2026-04-22,726986,731000,721001,728200,1052487
2026-04-25,729900,729900,724232,726000,910190
2026-04-26,729000,732399,726693,732000,1662619
2026-04-27,737500,770327,737500,769740,4516072
2026-04-28,808000,823488,800601,819800,5203723
2026-04-29,891000,891950,848344,856480,6482528
2026-05-02,901000,901000,886000,894929,4239662
2026-05-03,910000,919000,903799,912975,3722044
2026-05-04,914000,914000,880102,885297,6167288
2026-05-05,869000,869000,841000,842420,4592138
2026-05-06,868400,868400,814581,838900,4921548
2026-05-09,865000,865000,847077,849599,3489487
2026-05-10,849610,849885,840609,847950,2897745
2026-05-11,862100,876543,862100,876477,3738145
2026-05-12,877000,877000,862500,862944,2229947
2026-05-13,859950,859950,848124,854000,1313881
2026-05-16,838000,843999,834011,839299,1364718
2026-05-17,839000,842000,834945,835539,1009087
2026-05-18,828500,829000,810775,813988,1290721
2026-05-19,813988,815990,810521,810802,875152
2026-05-20,811900,825990,811595,822300,1456594
2026-05-23,818200,818200,796381,801149,1671033
2026-05-24,769500,775000,754506,773999,2322758
2026-05-25,797001,797499,764461,770999,2710683
2026-05-26,773999,773999,765126,769996,1494182
2026-05-30,765000,765000,753301,760340,1442478
2026-05-31,759170,764566,759001,764252,1221250
2026-06-01,778355,794860,774011,794002,1683353
2026-06-02,794999,795001,783901,785300,1367359
2026-06-03,785300,788990,780000,787000,826850
2026-06-06,774000,774000,762667,767101,1315177
2026-06-07,770703,785001,770703,784230,1221730
2026-06-08,780000,780000,763101,770637,1193332
2026-06-09,772900,772900,764010,764550,1116906
2026-06-10,755000,760972,753181,760000,1073987
2026-06-13,735000,735000,713813,714220,2081221
2026-06-14,713000,730700,707998,729365,2169453
2026-06-15,700000,709999,688000,701667,1858147
2026-06-16,691500,694000,665552,672877,1746638
2026-06-17,682807,697990,682807,690141,1328794
2026-06-20,707000,708300,690000,698500,1299743
2026-06-21,695203,695203,675441,676600,643043
2026-06-22,675002,685320,675002,675875,608819
2026-06-23,675101,680599,671000,675002,779484
2026-06-27,690874,690950,685855,686530,718844
2026-06-28,699178,723050,699178,720630,2032396
2026-06-29,712928,712928,700001,700004,1317335
2026-06-30,704424,714444,701001,709990,1241543
2026-07-01,719950,726127,719233,723400,2976657
2026-07-07,732100,744989,732100,744001,3113420
2026-07-08,751000,759999,750000,753800,2802517
2026-07-11,740000,757100,737001,746002,5042341
2026-07-12,753000,759950,752002,753110,2515530
2026-07-13,752000,752000,741657,748000,992469
2026-07-14,757000,763000,756000,761799,1814316
2026-07-15,779510,790000,779510,785507,4063932
2026-07-18,811001,812000,798980,806122,1878959
2026-07-19,802000,802000,786030,787202,1306478
2026-07-20,767000,767009,759000,761002,1670039
2026-07-21,765500,776053,765500,775907,1063990
2026-07-22,790009,793990,785250,789621,1172352
2026-07-25,765504,777000,765504,772419,770150
2026-07-26,757500,765502,755500,762509,1191793
2026-07-27,773501,779490,773000,778839,894158
