date,open,high,low,close,volume
2026-01-14,114490,114600,112823,113295,7703472
2026-01-18,112546,112708,111481,112365,6805028
2026-01-19,113450,114230,111859,112110,5346385
2026-01-20,111950,112999,111210,112601,4390161
2026-01-21,115600,116297,115010,115600,15219451
2026-01-24,122045,122045,119000,119813,9751310
2026-01-25,119813,120940,119000,120696,8637300
2026-01-26,122500,126200,122500,126000,11709409
2026-01-27,130000,135165,129500,134111,26425372
2026-01-28,146800,146800,139000,140023,16531205
2026-01-31,128173,139500,128173,137349,18321630
2026-02-01,134111,137499,130400,132002,10341403
2026-02-02,127000,128588,120550,123550,16183140
2026-02-03,132876,132876,125788,130990,12934235
2026-02-07,126600,130989,126600,129529,9417928
2026-02-08,130999,136470,130600,136470,12193198
2026-02-09,141000,142099,137200,139250,12870733
2026-02-10,141000,141500,138700,139957,6980973
2026-02-14,138349,138349,136301,137199,8127709
2026-02-15,138050,140500,138050,140000,7449746
2026-02-16,138100,139800,137219,137607,4961642
2026-02-17,137220,141980,134162,137049,11771226
2026-02-18,139399,140350,138210,138785,5702202
2026-02-21,142120,143000,141333,141499,8576721
2026-02-22,143000,145000,140088,144000,14883395
2026-02-23,142122,142980,140600,140680,6565243
2026-02-24,141494,143222,139611,139703,6668643
2026-02-25,140700,143000,137770,137966,8078001
2026-03-15,125746,125746,125746,125746,462814
2026-03-16,113172,117990,113172,116500,11422653
2026-03-17,116500,125746,115399,124323,5723748
2026-03-18,127000,133595,126019,129950,8525313
2026-03-25,125800,129888,122225,126870,6153312
2026-03-28,127600,129099,125751,125871,1988867
2026-03-29,125660,125871,122001,122854,1903029
2026-03-30,123669,124990,122020,122501,5336963
2026-03-31,123350,124999,123302,123600,2330686
2026-04-04,123626,130999,123626,129350,6080009
2026-04-05,129352,130000,127499,127730,5741664
2026-04-06,128010,131000,127850,128760,3588031
2026-04-07,134000,134000,130999,132754,7120429
2026-04-08,130000,130900,128977,130490,10811553
2026-04-11,127970,128998,125851,127269,5061505
2026-04-12,130715,132989,128907,129260,5414621
2026-04-13,130810,132998,130810,131269,6271841
2026-04-15,130218,130218,127955,128179,3573116
2026-04-18,124970,125798,123982,125502,4032765
2026-04-19,126600,128500,124650,124887,4384494
2026-04-20,125500,125500,124109,124250,3417832
2026-04-21,124289,125468,123100,124500,2934584
2026-04-22,125800,126999,125010,126126,5139214
2026-04-25,126150,126599,125700,125771,2232580
2026-04-26,126570,127965,126259,126899,4846692
2026-04-27,128143,133351,127900,133261,10745955
2026-04-28,137740,141980,137288,141490,13974368
2026-04-29,153888,153888,146500,147800,17322269
2026-05-02,154998,156330,152743,154099,11945918
2026-05-03,161979,161979,155000,157297,7734270
2026-05-04,157280,157280,152445,153000,7711291
2026-05-05,150102,150102,144090,144798,29349071
2026-05-06,149900,149900,141700,144790,23920649
2026-05-09,149985,149985,145836,145970,17463078
2026-05-10,145604,145900,144600,145731,14533862
2026-05-11,149499,150449,148500,150357,10389672
2026-05-12,151149,151149,147800,147900,10567743
2026-05-13,147000,147350,145784,146829,7587063
2026-05-16,145900,145900,143210,144699,10177302
2026-05-17,144699,145000,143950,143996,2836475
2026-05-18,142850,142851,140000,140599,4580031
2026-05-19,140599,142200,140000,141004,16404384
2026-05-20,142180,143650,140599,142630,6772747
2026-05-23,140808,140999,137840,139199,6954003
2026-05-24,132899,134300,129894,133877,6323495
2026-05-25,140860,140860,132511,134000,7645326
2026-05-26,135900,135900,133100,133385,3729915
2026-05-30,132000,132000,129705,132000,4284093
2026-05-31,131451,133383,131001,133383,2541354
2026-06-01,135100,137800,134490,137573,3430061
2026-06-02,138500,138500,136000,136283,4732495
2026-06-03,136900,137150,135400,136440,3249199
2026-06-06,133990,133990,131325,132399,3818705
2026-06-07,132399,135899,132399,135378,6411384
2026-06-08,134600,134600,131900,133799,2672833
2026-06-09,133324,133324,132107,132109,3535013
2026-06-10,130900,131800,127802,131743,6510157
2026-06-13,127500,127500,123015,123607,5775179
2026-06-14,122000,126249,121999,126231,5293599
2026-06-15,120617,124000,120086,122180,5825049
2026-06-16,120566,120566,116110,116140,4714318
2026-06-17,117971,120990,117800,118316,8960042
2026-06-20,121264,122200,118575,120288,3136970
2026-06-21,119001,119001,115999,116029,1826567
2026-06-22,116870,118942,116001,116442,2536649
2026-06-23,116290,116956,115053,116283,3733807
2026-06-27,118505,120800,117804,118300,3022736
2026-06-28,121000,124999,121000,124895,5014829
2026-06-29,124619,124619,121000,121439,3855268
2026-06-30,120599,124000,120599,123155,1835762
2026-07-01,126200,126200,123811,125999,2473894
2026-07-07,127860,130000,125000,129647,14515600
2026-07-08,132240,132240,130616,131000,6195183
2026-07-11,128210,129800,128210,129013,2262184
2026-07-12,130500,131150,129710,129730,5175635
2026-07-13,129896,130205,128500,129699,3110877
2026-07-14,130300,132690,130300,132690,3217115
2026-07-15,134610,136390,134610,135950,6057796
2026-07-18,140000,140599,137803,139100,5213651
2026-07-19,136124,137610,136124,136455,4412927
2026-07-20,133100,133100,131290,131550,3100674
2026-07-21,132271,134685,132271,134460,4201037
2026-07-22,136220,138300,136220,136921,5442088
2026-07-25,133506,134211,132901,133750,1981541
2026-07-26,132000,132500,130500,132044,3274594
2026-07-27,133458,134700,133458,134460,3728572
2026-07-28,134700,135450,133664,133722,3570184
2026-07-29,136689,136740,135202,135990,6080086
2026-08-01,136400,137431,135600,136940,7050733
2026-08-02,133493,135000,132769,134891,8255251
2026-08-03,134101,135780,134101,134798,7399765
2026-08-05,134100,134999,133475,133710,9196975
2026-08-08,137350,138000,134460,136927,10926616
2026-08-09,136890,136890,135791,136880,7220053
2026-08-10,136700,136770,135465,135890,4447332
2026-08-11,137200,138700,136997,138290,7406912
2026-08-15,138828,140111,138828,139781,9980246
2026-08-16,139750,140000,138501,139793,5901548
2026-08-17,139700,140996,138604,140996,8048199
2026-08-18,141000,141999,141000,141953,6621132
2026-08-19,142880,145700,142880,145612,15971691
2026-08-22,149980,154988,149980,154180,15096193
2026-08-23,158010,161499,158010,158720,27853085
2026-08-24,164000,164000,159449,159950,20363767
2026-08-25,161500,161500,152650,154999,9013028
2026-08-26,152499,158000,151502,157478,9033115
2026-08-29,157500,160900,156156,160500,19136289
2026-08-31,160701,166000,160701,164829,16033662
2026-09-01,163000,164186,160000,161990,14072228
2026-09-02,164000,165999,163100,164600,17112226
2026-09-05,169386,169555,167100,168288,31598705
2026-09-06,167301,167302,164800,165313,16810056
2026-09-07,164500,166000,163000,165999,7782695
2026-09-08,167500,168900,167000,168220,16565002
2026-09-09,171385,173900,171000,171758,20979970
2026-09-12,170000,172414,169010,170559,14514359
2026-09-13,168150,168913,166605,167599,11961207
2026-09-14,170000,170000,166500,167700,5418889
2026-09-15,164500,166277,164010,164250,3820301
2026-09-16,164812,168000,164812,166200,9045975
2026-09-19,169000,172479,169000,171506,13781548
2026-09-20,173100,176000,171751,172833,77089190
