date,open,high,low,close,volume
2026-01-14,31128,31424,30700,30780,29195771
2026-01-18,30700,30700,30135,30364,31997284
2026-01-19,30846,31099,30407,30658,73397565
2026-01-20,30400,30846,30298,30681,11888642
2026-01-21,31510,31556,31202,31290,46587603
2026-01-24,32510,32898,32281,32378,13360335
2026-01-25,32382,32840,32300,32685,32501975
2026-01-26,33280,34412,33280,34410,41505551
2026-01-27,35914,36599,35277,36500,24259583
2026-01-28,39104,39700,37397,37906,199171135
2026-01-31,34685,37700,34685,37010,36622558
2026-02-01,35860,36982,35272,35955,47281853
2026-02-02,34800,34800,32888,33519,80174021
2026-02-03,34610,36000,34610,35450,90134977
2026-02-07,34557,36000,34557,35625,94602232
2026-02-08,36125,37080,35702,37041,62133704
2026-02-09,38299,38673,37376,37858,29282960
2026-02-10,38312,38400,37777,38056,43248900
2026-02-14,37849,37849,37050,37365,35731044
2026-02-15,37580,38101,37461,37910,47623087
2026-02-16,37410,37910,37245,37544,42399476
2026-02-17,37360,37990,36351,37137,78500415
2026-02-18,37850,38000,37302,37420,26872546
2026-02-21,38250,38810,38105,38726,72031160
2026-02-22,38500,38600,38120,38506,27624158
2026-02-23,38300,38478,37714,37795,39451695
2026-02-24,37600,38180,37581,37600,11931550
2026-02-25,38200,39144,37840,38100,118532937
2026-03-15,34805,34805,34805,34805,34718049
2026-03-16,31411,32990,31411,32290,21902040
2026-03-17,32289,35100,32230,34785,8801995
2026-03-18,36199,36800,35103,36600,13299251
2026-03-25,33111,35630,33111,34803,33354078
2026-03-28,35010,35590,34542,34700,9542220
2026-03-29,34797,34797,33650,33782,3277258
2026-03-30,33800,34430,33600,33620,11903327
2026-03-31,33900,34000,30987,34000,3374966
2026-04-04,34000,35887,34000,35591,39413288
2026-04-05,35854,35854,35398,35537,37403679
2026-04-06,35648,35978,35503,35850,12352352
2026-04-07,36082,37100,36082,36920,25055660
2026-04-08,36229,36343,35700,36128,13531171
2026-04-11,35180,35586,34761,35020,15443368
2026-04-12,35886,36150,35530,35531,9356764
2026-04-13,36000,36547,35911,36194,78166229
2026-04-15,35629,36056,35431,35599,47731928
2026-04-18,34700,34700,34203,34668,14292346
2026-04-19,35080,35100,34420,34578,12783830
2026-04-20,34600,34890,34263,34400,49614869
2026-04-21,34200,34373,34000,34300,18676941
2026-04-22,34638,35075,34309,34890,18207311
2026-04-25,35000,35000,34563,34809,20040329
2026-04-26,34751,35000,34751,34974,56778797
2026-04-27,34991,36569,34991,36569,104402929
2026-04-28,37500,38599,37500,38479,87046819
2026-04-29,41754,41754,40353,40800,126593617
2026-05-02,42898,42898,42131,42525,43156729
2026-05-03,42898,43170,42700,42948,212754974
2026-05-04,42800,42849,41701,42109,44094661
2026-05-05,40998,41191,39557,39948,22535027
2026-05-06,40700,40748,38600,39402,125448462
2026-05-09,40047,40490,39830,39960,29934896
2026-05-10,39976,39976,39300,39655,101539284
2026-05-11,40370,41140,40110,41130,60172259
2026-05-12,41167,41167,40206,40486,25182048
2026-05-13,40091,40297,39790,40297,13705638
2026-05-16,39501,39880,39250,39479,23056112
2026-05-17,39588,39588,39006,39380,22217733
2026-05-18,38750,39214,38000,38580,69120179
2026-05-19,38380,38380,37885,38180,23478338
2026-05-20,38010,38800,38004,38750,15300292
2026-05-23,38690,38690,37173,37740,26463502
2026-05-24,35950,36630,35770,36576,26465630
2026-05-25,37288,37734,35950,36140,47456291
2026-05-26,36023,36454,35954,35985,79725510
2026-05-30,35949,36100,35180,35786,67101892
2026-05-31,36000,36120,35691,35960,66484355
2026-06-01,36460,37450,36370,37450,68884104
2026-06-02,37155,37340,36500,36969,37252308
2026-06-03,36950,37050,36610,36980,13038596
2026-06-06,36250,36523,35810,35900,22060500
2026-06-07,36011,36950,36011,36930,19099880
2026-06-08,36926,36926,35855,36250,27042208
2026-06-09,36093,36170,35810,35965,29698910
2026-06-10,35650,35789,35100,35789,68438922
2026-06-13,34501,35000,33413,33685,44694480
2026-06-14,33350,34375,33070,34170,15623577
2026-06-15,32601,33300,32409,32975,30470870
2026-06-16,32439,32900,31200,31530,45609854
2026-06-17,32000,32749,32000,32329,27678112
2026-06-20,33144,33176,32300,32573,21053702
2026-06-21,32449,32449,31602,31621,8320900
2026-06-22,31756,32043,31500,31550,25018293
2026-06-23,31700,31800,31239,31581,16025974
2026-06-27,32001,32441,32001,32060,21371712
2026-06-28,32938,33980,32550,33850,17862614
2026-06-29,33500,33500,32790,32820,13930579
2026-06-30,32881,33750,32881,33399,7092657
2026-07-01,33748,34190,33748,34022,14789783
2026-07-07,34900,35180,34360,35008,19951046
2026-07-08,35204,35980,35204,35777,15752686
2026-07-11,35280,35300,34900,35150,11102914
2026-07-12,35595,35630,35010,35011,45317088
2026-07-13,35100,35220,34800,34900,49154009
2026-07-14,35400,36100,35251,36050,125709183
2026-07-15,36799,37200,36799,37111,62182958
2026-07-18,37840,38300,37506,37800,36092521
2026-07-19,37490,37540,36941,37197,19486435
2026-07-20,36860,36860,35706,36081,20340090
2026-07-21,36150,36790,36150,36790,18525137
2026-07-22,37530,37728,37116,37510,116959448
2026-07-25,36518,36882,36300,36480,239505648
2026-07-26,35400,36175,35400,35877,95169294
2026-07-27,36321,36647,36320,36558,61860682
2026-07-28,36685,36685,36103,36309,72892324
2026-07-29,37200,37490,37097,37210,71522983
2026-08-01,37501,37605,37170,37337,30901681
2026-08-02,36644,37159,36254,37016,46417423
2026-08-03,37050,37070,36690,36860,47371115
2026-08-05,36816,36816,36400,36507,15423219
2026-08-08,37940,37940,37214,37270,19649423
2026-08-09,37170,37447,36952,37447,58525619
2026-08-10,37300,37446,37090,37240,75880322
2026-08-11,37301,37850,37301,37820,47551996
2026-08-15,38200,38400,38100,38300,153055620
2026-08-16,38000,38360,37851,38198,27146087
2026-08-17,38333,38500,38095,38498,27212777
2026-08-18,38462,38950,38462,38838,80008687
2026-08-19,39001,39899,39001,39785,109024914
2026-08-22,41000,42557,41000,42290,150543079
2026-08-23,43756,44404,43545,43660,54102305
2026-08-24,44700,45303,43708,44268,45545401
2026-08-25,44700,44700,41980,42943,45908013
2026-08-26,41800,43520,41800,43300,19544049
2026-08-29,43300,44900,43300,44409,101922814
2026-08-31,44510,45686,44510,45450,138584937
2026-09-01,44998,45119,44340,44611,108430786
2026-09-02,45905,45915,45390,45600,231538994
2026-09-05,46996,47298,46433,47290,100270313
2026-09-06,47007,47007,45801,46222,39687655
2026-09-07,45900,46300,45590,45889,204547740
2026-09-08,46027,46801,46027,46627,143485071
2026-09-09,47600,48148,47430,47556,45105998
2026-09-12,47690,47690,46975,47235,115904078
2026-09-13,46400,46690,46035,46100,34356266
2026-09-14,46501,46980,45990,45990,26453756
2026-09-15,46023,46023,45378,45500,31479322
2026-09-16,45740,46953,45730,46301,55808890
2026-09-19,46960,47940,46800,47901,59741377
2026-09-20,48514,49150,47880,48100,49797597
