date,open,high,low,close,volume
2026-01-14,15900,15963,15705,15718,88784568
2026-01-18,15889,15889,15264,15395,55447072
2026-01-19,15640,15783,15418,15474,89642166
2026-01-20,15477,15680,15440,15584,90554153
2026-01-21,15895,16287,15892,16014,112470320
2026-01-24,16431,16900,16431,16467,30440288
2026-01-25,16502,16720,16413,16624,22067547
2026-01-26,17000,17429,16890,17301,99915865
2026-01-27,17950,18469,17840,18330,172392792
2026-01-28,19850,19910,19233,19401,115829015
2026-01-31,17750,19353,17750,18952,32060176
2026-02-01,18630,19067,17999,18147,124579535
2026-02-02,17690,17720,16750,17189,56250343
2026-02-03,17800,18141,17700,17980,67117432
2026-02-07,17950,18333,17501,18056,185769284
2026-02-08,18229,18650,18055,18588,84025077
2026-02-09,19127,19580,18929,19159,241319512
2026-02-10,19489,19770,19020,19198,132629877
2026-02-14,18850,19035,18700,19020,36672296
2026-02-15,19220,19483,18920,19242,141737017
2026-02-16,19080,19216,18911,18911,34732277
2026-02-17,18850,19297,18510,18816,96778934
2026-02-18,19247,19247,18929,19060,74136917
2026-02-21,19600,19679,19345,19430,45776021
2026-02-22,19400,19686,19352,19540,49649706
2026-02-23,19526,19640,19251,19292,23894759
2026-02-24,19480,19548,19350,19377,32249422
2026-02-25,19700,19700,19010,19117,23103732
2026-03-15,17434,17446,17434,17434,34644705
2026-03-16,16000,16995,16000,16600,15078270
2026-03-17,16300,17765,16300,17729,100054143
2026-03-18,18099,18916,17865,18916,102498456
2026-03-25,17010,18000,17010,17653,5782854
2026-03-28,17650,17999,17522,17531,1403412
2026-03-29,17790,17790,17115,17299,980407
2026-03-30,17319,17495,17217,17272,13382818
2026-03-31,17450,17450,17323,17421,764917
2026-04-04,17520,18257,17520,18120,4663876
2026-04-05,18000,18080,17847,17949,53583116
2026-04-06,18000,18107,18000,18089,9136137
2026-04-07,18250,18611,18250,18446,55305543
2026-04-08,17799,18248,17799,18183,40107919
2026-04-11,18050,18050,17502,17644,5894622
2026-04-12,18107,18250,17931,17961,2884766
2026-04-13,18238,18347,18196,18253,4443662
2026-04-15,18012,18250,17805,17805,1805303
2026-04-18,17299,17480,17204,17429,9330789
2026-04-19,17598,17650,17308,17321,4393356
2026-04-20,17217,17328,17202,17202,5557088
2026-04-21,17311,17311,17045,17180,2624151
2026-04-22,17425,17499,17310,17445,7356880
2026-04-25,17269,17511,17269,17419,38030875
2026-04-26,17489,17590,17340,17414,34294658
2026-04-27,17480,18222,17480,18176,54575526
2026-04-28,18879,19144,18501,19117,150723330
2026-04-29,20620,20620,19750,19995,112834890
2026-05-02,20864,21100,20714,21000,63773867
2026-05-03,21599,21599,21001,21300,146110030
2026-05-04,21240,21375,20821,21078,88097600
2026-05-05,20412,20850,19808,19983,29686053
2026-05-06,20222,20499,19600,19830,53255920
2026-05-09,20200,20289,19970,20004,208766772
2026-05-10,20100,20100,19852,19981,36032628
2026-05-11,20300,20710,20113,20632,80619522
2026-05-12,20600,20770,20315,20315,111236157
2026-05-13,20280,20280,19980,20151,70361642
2026-05-16,19970,20015,19754,19766,11382971
2026-05-17,19815,19880,19631,19681,46672731
2026-05-18,19399,19621,19150,19319,10956575
2026-05-19,19200,19450,19152,19178,33135956
2026-05-20,19178,19630,19178,19521,22756179
2026-05-23,19212,19318,18910,19090,9958321
2026-05-24,18350,18758,18125,18371,19943761
2026-05-25,18900,19000,18177,18330,56312585
2026-05-26,18499,18499,18231,18258,60509415
2026-05-30,18235,18240,17945,18041,10186483
2026-05-31,17900,18188,17900,18188,19930489
2026-06-01,18278,18839,18278,18809,33191699
2026-06-02,18700,18850,18590,18619,30805520
2026-06-03,18600,18751,18568,18615,7719818
2026-06-06,18390,18480,18020,18092,7720837
2026-06-07,18180,18650,18180,18571,7796627
2026-06-08,18512,18540,18055,18263,40619991
2026-06-09,18224,18310,18131,18159,4196465
2026-06-10,18000,18086,17729,18000,9286498
2026-06-13,17688,17688,17000,17029,22560130
2026-06-14,17009,17350,16728,17270,38963176
2026-06-15,16141,16946,16141,16758,79049061
2026-06-16,16601,16753,15885,16000,40062363
2026-06-17,16002,16640,16002,16273,44451147
2026-06-20,16793,16798,16175,16474,12208064
2026-06-21,16200,16200,15867,15900,6376584
2026-06-22,16120,16220,15900,15900,8488833
2026-06-23,15990,15998,15802,15900,8461707
2026-06-27,16300,16300,16181,16200,8635206
2026-06-28,16650,17049,16650,17027,7343309
2026-06-29,16695,17110,16561,16750,37204798
2026-06-30,16520,17048,16520,16887,34827220
2026-07-01,17066,17349,17066,17265,27676181
2026-07-07,17590,17765,17362,17765,5359174
2026-07-08,17907,18181,17907,18098,4754911
2026-07-11,17611,18000,17611,17770,4843429
2026-07-12,17753,18087,17753,17861,20805846
2026-07-13,17800,17858,17635,17753,5133648
2026-07-14,18000,18187,18000,18154,8198214
2026-07-15,18446,18799,18446,18616,19306368
