date,open,high,low,close,volume
2026-07-12,10000,10000,10000,10000,495000000
2026-07-13,10000,10000,10000,10000,79860667
2026-07-14,10000,10000,10000,10000,24011953
2026-07-15,10000,10000,10000,10000,86855607
2026-07-28,10060,10080,10000,10006,24573905
2026-07-29,10040,10070,10000,10021,22809985
2026-08-01,10004,10055,10004,10031,18653631
2026-08-02,10003,10003,9880,9933,10141998
2026-08-03,9904,10024,9904,9958,5531211
2026-08-05,9999,9999,9826,9849,3984893
2026-08-08,10018,10110,10001,10016,48222506
2026-08-09,10030,10044,9993,10005,4179396
2026-08-10,10055,10055,9956,9972,103622463
2026-08-11,10055,10124,9980,10113,14394932
2026-08-15,10130,10245,10090,10219,104508451
2026-08-16,10248,10254,10150,10223,108334704
2026-08-17,10151,10354,10151,10344,130247739
2026-08-18,10290,10440,10290,10429,2356082
2026-08-19,10488,10760,10488,10760,6942582
2026-08-22,10970,11708,10970,11707,7551358
2026-08-23,12580,12580,11790,11855,50744412
2026-08-24,11970,12484,11877,11910,34332099
2026-08-25,11975,12179,11480,11570,15940705
2026-08-26,11069,11822,11069,11695,13033347
2026-08-29,11617,11919,11617,11895,14147247
2026-08-31,11899,12249,11899,12196,24035174
2026-09-01,12149,12186,12000,12076,6546120
2026-09-02,12520,12520,12115,12281,4098586
2026-09-05,12580,12854,12382,12710,49969205
2026-09-06,12990,12990,12511,12566,2479167
2026-09-07,12583,12583,12355,12450,116128950
2026-09-08,12426,12795,12426,12609,8153480
2026-09-09,12780,13310,12780,12905,8856769
2026-09-12,13497,13497,12780,12889,33954289
2026-09-13,12703,12703,12500,12560,3484685
2026-09-14,12700,12700,12450,12460,1892758
2026-09-15,12451,12549,12302,12340,2555349
2026-09-16,12550,12550,12360,12417,2473746
2026-09-19,12699,12979,12600,12860,84032345
2026-09-20,13100,13300,12830,12983,12190285
