date,open,high,low,close,volume
2026-01-14,21890,22286,21890,22034,38068275
2026-01-18,22000,22000,21583,21675,10368012
2026-01-19,21999,22095,21620,21660,16243566
2026-01-20,21602,21900,21500,21807,6564438
2026-01-21,22300,22400,22150,22296,29485152
2026-01-24,23256,23304,22882,22919,32876882
2026-01-25,22963,23730,22766,23410,145640514
2026-01-26,23900,24775,23603,24657,137115089
2026-01-27,25581,26021,25378,25795,171140552
2026-01-28,27510,28000,26801,26857,176382972
2026-01-31,24678,26649,24678,26287,47832007
2026-02-01,25800,26290,25009,25445,35201275
2026-02-02,23750,24690,23170,23660,167611055
2026-02-03,25000,25000,24330,24738,86931630
2026-02-07,24419,24950,23923,24617,21440254
2026-02-08,25000,25895,24760,25754,33913903
2026-02-09,26598,26888,26103,26392,31893914
2026-02-10,26950,26950,26400,26627,51313787
2026-02-14,26401,26438,26006,26326,19946682
2026-02-15,26700,26888,26400,26710,102316829
2026-02-16,26480,26679,26220,26260,21966048
2026-02-17,26309,26650,25461,25957,42877791
2026-02-18,26700,26700,26150,26350,14395975
2026-02-21,26955,27196,26832,26875,25758657
2026-02-22,26800,26907,26631,26906,16101483
2026-02-23,26700,26700,26410,26517,21833502
2026-02-24,26700,26719,26377,26495,39807363
2026-02-25,26750,26880,26302,26328,80045918
2026-03-15,23963,23963,23963,23963,7704080
2026-03-16,21567,22423,21567,22390,17239655
2026-03-17,22080,24188,22080,24045,21910824
2026-03-18,24650,25855,24650,25840,22785061
2026-03-25,23999,24590,23999,24390,5294245
2026-03-28,24500,24990,24200,24210,8576187
2026-03-29,24156,24300,23668,23790,7084394
2026-03-30,23619,24001,23363,23620,4578225
2026-03-31,23790,23844,23510,23740,3599287
2026-04-04,24000,25100,23750,25019,9499531
2026-04-05,25011,25361,24851,25182,83747967
2026-04-06,25260,25399,25200,25270,43462599
2026-04-07,25370,26240,25370,26013,14219847
2026-04-08,25403,25948,25210,25484,68970527
2026-04-11,25140,25140,24832,24834,12546484
2026-04-12,25319,25650,25100,25100,5455480
2026-04-13,25341,25650,25341,25515,22801466
2026-04-15,25350,25350,25050,25051,23643457
2026-04-18,24500,24500,24145,24500,5078746
2026-04-19,24632,24756,24372,24383,5479170
2026-04-20,24303,24399,24066,24100,2050439
2026-04-21,23850,24200,23850,24091,46165234
2026-04-22,24369,24666,24369,24547,6713852
2026-04-25,24650,24650,24364,24445,50093095
2026-04-26,24650,24995,24380,24498,206768899
2026-04-27,24578,25810,24578,25796,41915405
2026-04-28,26800,27229,26649,27151,27348826
2026-04-29,29400,29699,28202,28480,25667105
2026-05-02,29706,30056,29001,29450,24731588
2026-05-03,29610,30189,29610,29930,61139487
2026-05-04,29800,29800,29405,29420,26388366
2026-05-05,28718,29200,27600,27601,42510339
2026-05-06,28398,28398,27400,27526,70032473
2026-05-09,27852,28637,27821,27830,81735658
2026-05-10,27789,27789,27590,27660,126499368
2026-05-11,28330,28650,28008,28649,153422364
2026-05-12,28682,28684,28261,28262,63316722
2026-05-13,28120,28120,27750,27890,71846577
2026-05-16,27710,27710,27300,27440,71985163
2026-05-17,27501,27502,27300,27301,37385329
2026-05-18,26880,27160,26600,26669,42811719
2026-05-19,26600,26850,26600,26631,28653191
2026-05-20,26660,26999,26660,26881,118335862
2026-05-23,26604,26605,26100,26201,63251722
2026-05-24,24918,25484,24801,25287,59785457
2026-05-25,25910,26137,25100,25215,94440571
2026-05-26,25210,25230,25114,25119,51598570
2026-05-30,25063,25063,24600,24751,47656975
2026-05-31,24747,24948,24730,24944,28432788
2026-06-01,25170,25835,25170,25829,60484936
2026-06-02,25799,25800,25608,25660,51014071
2026-06-03,25600,25984,25463,25740,17397445
2026-06-06,25222,25647,24957,24970,49611863
2026-06-07,25000,25525,25000,25460,65324285
2026-06-08,25300,25300,24870,25129,55037679
2026-06-09,24971,25100,24817,24977,39594967
2026-06-10,24787,24787,24538,24748,33060800
2026-06-13,23980,23990,23360,23418,52940481
2026-06-14,23310,23689,23060,23682,204827218
2026-06-15,22610,23090,22560,22877,147413407
2026-06-16,22490,22612,21873,21873,60494807
2026-06-17,22500,22596,22130,22300,211193753
2026-06-20,22970,22972,22300,22453,87545436
2026-06-21,22224,22224,21798,21799,59890551
2026-06-22,21800,21970,21800,21829,70252461
2026-06-23,22050,22050,21631,21769,46256275
2026-06-27,22330,22330,22084,22162,30402396
2026-06-28,22589,23255,22589,23240,179125785
2026-06-29,22835,22982,22601,22698,125982887
2026-06-30,22700,23035,22634,22990,53447725
2026-07-01,23255,23475,23255,23415,66972531
