date,open,high,low,close,volume
2025-11-16,32360,32380,32360,32370,66969418
2025-11-17,32410,32420,32400,32410,34086829
2025-11-18,32460,32490,32460,32480,40458483
2025-11-19,32510,32550,32510,32550,7419377
2025-11-22,32590,32610,32580,32580,170028422
2025-11-23,32640,32640,32630,32640,69401422
2025-11-25,32680,32690,32670,32690,28056421
2025-11-26,32730,32740,32730,32740,24183850
2025-11-29,32780,32820,32780,32790,26496650
2025-11-30,32830,32840,32830,32840,24277517
2025-12-01,32870,32890,32870,32880,16694304
2025-12-02,32910,32920,32910,32910,10076937
2025-12-03,32950,32960,32950,32960,12077131
2025-12-06,33000,33030,33000,33010,19964425
2025-12-07,33050,33070,33050,33060,25998711
2025-12-08,33090,33100,33090,33100,13396607
2025-12-09,33150,33150,33130,33140,14164295
2025-12-10,33170,33180,33170,33180,15829687
2025-12-13,33220,33230,33220,33230,15424928
2025-12-14,33260,33270,33250,33270,50878127
2025-12-15,33300,33310,33300,33310,68264747
2025-12-16,33340,33360,33330,33350,40245470
2025-12-17,33380,33390,33380,33390,15344537
2025-12-20,33430,33510,33430,33480,40920356
2025-12-21,33490,33560,33490,33560,28140477
2025-12-22,33600,33630,33600,33630,21336282
2025-12-23,33650,33670,33650,33660,44570078
2025-12-24,33740,33750,33740,33750,35874773
2025-12-27,33820,33830,33810,33820,34486899
2025-12-28,33830,33900,33820,33820,223000528
2025-12-29,33860,33880,33850,33860,70661098
2025-12-30,33900,33920,33900,33920,33561250
2025-12-31,33970,33990,33960,33980,81798288
2026-01-04,34030,34050,34030,34040,24594533
2026-01-05,34070,34080,34070,34070,21418059
2026-01-06,34130,34140,34120,34130,68628113
2026-01-07,34170,34180,34160,34180,91551712
2026-01-10,34210,34220,34200,34220,34435810
2026-01-11,34250,34260,34240,34260,20939098
2026-01-12,34290,34300,34280,34300,103693475
2026-01-13,34340,34360,34330,34350,29357223
2026-01-14,34380,34410,34370,34410,42782865
2026-01-18,34420,34430,34410,34430,97197130
2026-01-19,34490,34500,34490,34490,43634642
2026-01-20,34520,34530,34520,34530,40586823
2026-01-21,34600,34610,34590,34600,21631061
2026-01-24,34620,35370,34620,34690,75126563
2026-01-25,34720,34730,34720,34720,23688364
2026-01-26,34760,34770,34760,34760,18469918
2026-01-27,34780,34790,34770,34780,55624204
2026-01-28,34820,34830,34820,34820,21585388
2026-01-31,34870,34880,34870,34870,29443526
2026-02-01,34900,34910,34890,34900,48974514
2026-02-02,34920,34930,34920,34920,48784605
2026-02-03,34990,35000,34980,34990,29408775
2026-02-07,35050,35060,35040,35050,80103431
2026-02-08,35080,35090,35080,35090,34144851
2026-02-09,35180,35190,35180,35180,23766204
2026-02-10,35250,35260,35250,35250,72837388
2026-02-14,35280,35280,35270,35280,36783387
2026-02-15,35360,35380,35360,35360,22622063
2026-02-16,35400,35410,35400,35400,45243890
2026-02-17,35450,35460,35450,35460,27443638
2026-02-18,35530,35540,35530,35540,31936014
2026-02-21,35570,35580,35560,35570,44546498
2026-02-22,35651,35651,35650,35650,46826492
2026-02-23,35700,35701,35699,35700,22097038
2026-02-24,35740,35741,35740,35740,27369131
2026-02-25,35790,35791,35790,35791,17788872
2026-05-19,35860,35863,34717,35862,219746858
2026-05-20,35931,35933,35931,35931,126467743
2026-05-23,36000,36004,36000,36001,126320941
2026-05-24,36073,36100,36073,36078,92145172
2026-05-25,36251,37158,36251,37099,153792585
2026-05-26,37650,37650,37000,37201,63715040
2026-05-30,37253,37760,37253,37643,30893803
2026-05-31,37880,38349,37700,38299,71123034
2026-06-01,39085,39085,38181,38391,41011918
2026-06-02,38570,38599,38336,38556,110706134
2026-06-03,38560,38560,38300,38521,42066018
2026-06-06,38511,38598,38505,38571,38574113
2026-06-07,38562,38802,38562,38800,49726190
2026-06-08,38700,38820,38700,38800,108257106
2026-06-09,38830,39518,38830,39210,141208916
2026-06-10,39212,39400,39188,39323,38889175
2026-06-13,39364,39488,39153,39243,33788955
2026-06-14,39329,39329,38170,39230,131092063
2026-06-15,39305,39330,39301,39304,36279885
2026-06-16,39366,39802,39354,39700,91561072
2026-06-17,39500,39630,39401,39499,34471831
2026-06-20,39676,39676,39477,39502,28392145
2026-06-21,39500,39533,38761,39511,163775790
2026-06-22,39600,39632,39570,39598,32892580
2026-06-23,39670,39699,39598,39648,95672982
2026-06-27,39711,39749,39706,39747,17034340
2026-06-28,39842,39910,39810,39851,107002668
2026-06-29,39898,40000,39894,39990,32504273
2026-06-30,40050,40111,39999,40110,38332939
2026-07-01,40189,40442,40189,40420,17500627
2026-07-07,40510,40573,40430,40470,94962691
2026-07-08,40551,40556,40100,40510,30153288
2026-07-11,40577,40598,40553,40592,51275218
2026-07-12,40670,40698,40531,40660,13331557
2026-07-13,40729,40799,40710,40779,5164566
2026-07-14,40742,40854,40692,40699,11864772
2026-07-15,40800,40800,40623,40742,48232956
2026-07-18,40769,40790,40738,40770,49509083
2026-07-19,40778,40830,40407,40724,13006820
2026-07-20,40777,40800,40740,40759,104514286
2026-07-21,40808,40815,40801,40806,31552407
2026-07-22,40850,40920,40848,40878,30423255
2026-07-25,40911,40915,40899,40906,44871149
2026-07-26,40952,40980,40948,40980,45295885
2026-07-27,41020,41040,41020,41032,58606319
2026-07-28,41100,41498,41080,41090,79367154
2026-07-29,41190,41249,41170,41177,14381627
2026-08-01,41235,41256,40900,41239,8636678
2026-08-02,41295,41410,41282,41286,28251218
2026-08-03,41380,41400,41333,41347,14378505
2026-08-05,41499,41499,41399,41429,16009023
2026-08-08,41496,41516,41449,41500,97751943
2026-08-09,41570,41777,41569,41767,53523618
2026-08-10,41841,42004,41841,41911,57367174
2026-08-11,41992,42089,41989,42000,102763205
2026-08-15,42075,42185,42054,42067,28005909
2026-08-16,42132,42200,42118,42151,21041805
2026-08-17,42134,42269,42118,42159,18986845
2026-08-18,42216,42238,42212,42229,40276255
2026-08-19,42229,42330,42215,42290,25250415
2026-08-22,42310,42400,42291,42391,14615442
2026-08-23,42400,42485,42400,42460,34099451
2026-08-24,42471,42539,42471,42490,9506568
2026-08-25,42544,42648,42521,42550,34299667
2026-08-26,42675,42788,42658,42759,35375284
2026-08-29,42875,42875,42698,42834,80797893
2026-08-31,42814,42850,42806,42847,99320817
2026-09-01,42931,42983,42897,42974,18400890
2026-09-02,42944,43346,42944,43120,58358358
2026-09-05,43120,43252,43102,43124,111031680
2026-09-06,43168,43230,43157,43200,100313187
2026-09-07,43311,43311,43157,43205,38510751
2026-09-08,43276,43365,43265,43271,23945232
2026-09-09,43398,43483,43394,43410,12019458
2026-09-12,43519,43597,43401,43513,14773353
2026-09-13,43582,43716,43511,43569,55522220
2026-09-14,43584,43639,43566,43619,20511289
2026-09-15,43640,43669,43612,43612,20755679
2026-09-16,43615,43687,43526,43585,8414345
2026-09-19,43690,43690,43525,43650,225333253
2026-09-20,43645,43718,43525,43690,70265555
