date,open,high,low,close,volume
2026-01-14,51459,52000,50158,50200,6100783
2026-01-18,50500,51460,50500,51140,4349265
2026-01-19,51390,51390,50300,50733,4534677
2026-01-20,51048,51500,50470,51290,4745930
2026-01-21,51349,52497,51300,52280,4315676
2026-01-24,52220,52861,51505,51941,7184789
2026-01-25,52590,53471,51162,51299,5741322
2026-01-26,51190,52400,50005,50040,6215920
2026-01-27,49980,51112,49300,51082,8303122
2026-01-28,51110,52500,51110,51465,6503189
2026-01-31,51400,52024,49751,50121,4606280
2026-02-01,50001,51790,50001,51690,5747991
2026-02-02,51950,52095,50803,51349,3082463
2026-02-03,52300,52300,50946,51301,3958847
2026-02-07,51999,52540,51375,51905,3861337
2026-02-08,52170,52170,51240,51322,3029614
2026-02-09,51868,52000,51420,51547,4266513
2026-02-10,51548,51700,50903,51149,1295286
2026-02-14,51160,51930,50800,50979,2647315
2026-02-15,51110,51110,50500,50639,1266514
2026-02-16,50600,51810,50203,50806,2140193
2026-02-17,50806,51486,50431,50546,1438202
2026-02-18,51190,51260,50200,50355,1286577
2026-02-21,50188,50750,48984,49466,3328373
2026-02-22,50260,50260,48300,48300,2387534
2026-02-23,49139,49150,48230,48676,6739515
2026-02-24,49269,49281,47700,47844,1383951
2026-02-25,47734,48577,47734,48000,1458748
2026-03-15,43519,46000,43519,44533,3194451
2026-03-16,44500,48130,43997,47000,14120894
2026-03-17,47000,48195,47000,47700,2647347
2026-03-18,47901,49230,47700,49120,2450380
2026-03-25,49319,49800,47500,49236,2033850
2026-03-28,49600,50000,49236,49899,1988666
2026-03-29,50055,51569,50055,51270,4287917
2026-03-30,52450,52997,51900,52148,4329069
2026-03-31,52147,52147,50000,51585,3453613
2026-04-04,52000,52785,51000,52355,3813370
2026-04-05,52890,54947,52555,54947,7599338
2026-04-06,55200,56370,54248,54701,12970189
2026-04-07,55560,55890,53081,53294,8842191
2026-04-08,52269,54690,52269,53888,5970154
2026-04-11,54551,54770,53276,53291,3427500
2026-04-12,54001,54033,53068,53256,4980025
2026-04-13,53600,54200,53100,53301,4685110
2026-04-15,53540,53850,52900,52907,5606442
2026-04-18,53160,53500,52000,52496,5826177
2026-04-19,52900,53300,51810,52000,3491725
2026-04-20,51950,52784,51950,51988,3378140
2026-04-21,52290,52290,51319,51428,2852115
2026-04-22,51709,53093,51709,52690,4855333
2026-04-25,53000,57145,52710,57119,21702059
2026-04-26,57879,60410,57877,58450,28350138
2026-04-27,60392,63000,59004,60356,62378196
2026-04-28,62000,62000,59500,60120,37190988
2026-04-29,61800,62199,60581,60700,29391100
2026-05-02,61339,65983,61050,65479,39725203
2026-05-03,70492,70492,67550,70492,65997479
2026-05-04,72000,73900,69100,70349,84110434
2026-05-05,69001,70760,68382,68890,27738569
2026-05-06,70400,71900,65717,67420,50950027
2026-05-09,69505,70853,68466,69100,30365841
2026-05-10,69255,71741,68200,70370,57232810
2026-05-11,71990,75348,71551,74822,76771718
2026-05-12,74915,77333,74600,76096,69812533
2026-05-13,74000,75470,73791,75210,38206886
2026-05-16,74812,77360,73718,74400,28274775
2026-05-17,74420,74750,72661,72989,29176733
2026-05-18,72500,72650,67711,68980,29365953
2026-05-19,67950,70750,66900,68233,20998372
2026-05-20,69000,69250,67280,67280,11522406
2026-05-23,67500,67500,63950,64000,20181140
2026-05-24,61601,64052,60885,63679,22048147
2026-05-25,65032,66570,63100,64240,17802931
2026-05-26,65812,66469,64276,65674,14218526
2026-05-30,66600,67480,66001,66772,15695805
