date,open,high,low,close,volume
2025-11-16,23990,24000,23680,23880,1326115
2025-11-17,24250,24280,23890,24000,6011283
2025-11-18,24280,24490,23940,23980,291683
2025-11-19,24810,24810,24050,24300,3165794
2025-11-22,23680,24760,23680,24470,713773
2025-11-23,24550,24700,24300,24500,5459551
2025-11-25,24320,24790,24240,24450,4410482
2025-11-26,24540,24710,24150,24210,565969
2025-11-29,24340,25010,24200,24410,388035
2025-11-30,23910,24490,23910,23990,6624312
2025-12-01,24480,24680,24140,24450,538664
2025-12-02,24480,24970,24120,24300,7336805
2025-12-03,24870,24870,24260,24570,11998707
2025-12-06,24850,25280,24800,24830,7808963
2025-12-07,25550,25550,24250,24250,5880892
2025-12-08,24600,24750,23960,24120,6677056
2025-12-09,24430,24580,24000,24100,6423890
2025-12-10,24600,24790,24190,24700,8092179
2025-12-13,24910,25350,24800,24880,10935192
2025-12-14,24330,25440,24330,25200,15813586
2025-12-15,25440,25520,25180,25270,7593228
2025-12-16,24840,25540,24840,24850,5854751
2025-12-17,24720,25590,24720,24850,6921446
2025-12-20,25690,25960,25300,25510,15306847
2025-12-21,25690,26370,25590,26370,12037679
2025-12-22,26890,27040,26690,27040,14035263
2025-12-23,27190,27830,27190,27820,4738874
2025-12-24,28290,28360,27890,28350,6973325
2025-12-27,29100,29140,27800,28080,4072648
2025-12-28,29000,29000,27580,27580,3842192
2025-12-29,27110,27570,27110,27110,4625328
2025-12-30,26300,26300,26300,26300,1125547
2025-12-31,25520,26570,25520,26280,3349832
2026-01-04,25310,26100,25180,25240,2473060
2026-01-05,25680,26130,25680,26050,6333333
2026-01-06,26050,26890,26050,26890,6555454
2026-01-07,27590,27590,26060,26060,2127078
2026-01-10,25480,25480,25480,25480,2572798
2026-01-11,24720,26220,24720,24840,6492248
2026-01-12,25460,25460,24720,24980,1293928
2026-01-13,25470,25470,24320,24320,1744471
2026-01-14,23980,23980,23820,23820,173524
2026-01-18,24530,24530,23970,24010,1018355
2026-01-19,24400,24810,23650,24180,11219316
2026-01-20,24550,25280,23880,24870,19627405
2026-01-21,25270,25520,24890,25290,8561953
2026-01-24,24520,25250,24510,24510,524854
2026-01-25,23930,23930,23930,23930,191674
2026-01-26,23220,23220,23220,23220,203399
2026-01-27,22530,22530,22530,22530,227375
2026-01-28,21860,23000,21860,22680,3260225
2026-01-31,21240,22490,21210,21210,340682
2026-02-01,20730,22010,20730,21610,10538222
2026-02-02,21720,22470,21720,22400,207103
2026-02-03,22870,22930,22000,22930,3233646
2026-02-07,23220,23420,23220,23420,779125
2026-02-08,24090,24090,23140,23140,1268290
2026-02-09,22690,23500,22680,22680,340514
2026-02-10,22230,23350,22230,22670,594345
2026-02-14,23230,23230,22010,22020,1152380
2026-02-15,22400,22400,22100,22100,373945
2026-02-16,21800,22150,21620,21800,415031
2026-02-17,21620,22510,21620,22340,128687
2026-02-18,22000,22670,21590,21810,105748
2026-02-21,21570,21580,21570,21570,328480
2026-02-22,20923,21570,20923,21570,394852
2026-02-23,21566,21566,20950,21180,348517
2026-02-24,20610,21462,20610,21461,335256
2026-02-25,20998,21592,20998,21590,548561
2026-05-19,21892,21892,21892,21892,19383939
2026-05-20,22548,22548,22548,22548,187381
2026-05-23,23224,23224,23224,23224,13653362
2026-05-24,23920,23920,23920,23920,514814
2026-05-25,24637,24637,24637,24637,6204923
2026-05-26,25376,25376,25376,25376,1057424
2026-05-30,26137,26137,26137,26137,25127
2026-05-31,26921,26921,26921,26921,3276877
2026-06-01,27728,27728,27728,27728,3143437
2026-06-02,28559,28559,28559,28559,5925597
2026-06-03,29415,29415,29415,29415,4512134
2026-06-06,30297,30297,30297,30297,2939828
2026-06-07,31205,31205,31205,31205,24484
2026-06-08,30757,32141,30269,30662,57408513
2026-06-09,32435,32435,32435,32435,3076814
2026-06-10,33408,33408,33408,33408,3060643
2026-06-13,34410,34410,34410,34410,13178
2026-06-14,35442,35442,35442,35442,253228
2026-06-15,36505,36505,36505,36505,6133040
2026-06-16,37600,37600,36080,37090,27278948
2026-06-17,36470,36960,36360,36384,30751351
2026-06-20,36395,36870,35304,35304,2997885
2026-06-21,34496,34496,34496,34496,6292313
2026-06-22,33462,33462,33462,33462,1513537
2026-06-23,32459,33200,32459,32459,20279839
2026-06-27,31781,31781,31596,31596,3366882
2026-06-28,30683,30683,30683,30683,3052837
2026-06-29,29763,31199,29763,30214,13074884
2026-06-30,30969,30983,29200,30977,7346139
2026-07-01,30977,31668,29824,31599,6077226
2026-07-07,31667,32099,31162,32099,3051742
2026-07-08,33009,33009,31087,31087,4801215
2026-07-11,31500,32400,31109,31109,3446852
2026-07-12,30243,30243,30243,30243,173605
2026-07-13,29336,29336,29336,29336,3157093
2026-07-14,28456,30216,28456,30216,10877718
2026-07-15,30407,30407,29936,30407,5590929
2026-07-18,29487,29487,29486,29486,2101432
2026-07-19,28602,30363,28602,30300,3820696
2026-07-20,30493,30493,30390,30493,4414943
2026-07-21,31406,31406,31406,31406,2770992
2026-07-22,32348,32348,30478,32347,5849971
2026-07-25,32339,33190,31258,31258,11710628
2026-07-26,32995,32995,32226,32650,13346847
2026-07-27,32650,33190,31816,31977,9875779
2026-07-28,32161,32823,31551,32822,2912090
2026-07-29,31520,33440,31520,32850,3669995
2026-08-01,32180,33500,32180,32510,8932455
2026-08-02,33610,33611,33382,33611,8071958
2026-08-03,34550,34589,34109,34589,2977717
2026-08-05,35611,35612,35288,35612,3298794
2026-08-08,36677,36677,36677,36677,8803797
2026-08-09,37620,37777,35577,35603,17817516
2026-08-10,36500,37457,35942,37170,7216842
2026-08-11,37876,37877,36816,37443,4120277
2026-08-15,38608,38608,37041,37042,2606238
2026-08-16,37999,38160,36850,38100,4215407
2026-08-17,37850,38634,37730,38059,1204101
2026-08-18,38050,38325,37002,37002,3632952
2026-08-19,37980,38048,36205,37500,1075207
2026-08-22,37950,38606,37257,37840,1314389
2026-08-23,38490,38884,37591,38442,6092608
2026-08-24,39276,39276,37620,37899,3366973
2026-08-25,37632,39222,37632,39222,12524689
2026-08-26,39500,40233,39222,40230,2350149
2026-08-29,40010,40985,39523,40800,2310149
2026-08-31,40164,40497,39663,40000,4945647
2026-09-01,41029,41343,39300,39301,843803
2026-09-02,39158,40369,39158,40354,1979298
2026-09-05,40900,41185,40276,41185,11399085
2026-09-06,42360,42369,42348,42369,2459222
2026-09-07,43639,43639,43410,43639,8534267
2026-09-08,44500,44935,43693,44400,5871514
2026-09-09,44449,45240,42856,43713,7372785
2026-09-12,44397,45450,43760,44902,3860419
2026-09-13,45945,45979,44590,44900,4126890
2026-09-14,45660,45660,44169,44200,2054964
2026-09-15,45200,45892,44881,45876,1463139
2026-09-16,45900,46899,44501,45126,1559806
2026-09-19,44001,45399,43824,43824,1663162
2026-09-20,42797,43450,42797,42797,3275721
