date,open,high,low,close,volume
2025-11-16,12650,12800,12640,12800,592759
2025-11-17,12949,12949,12800,12890,318038
2025-11-18,13000,13000,12825,12979,15391
2025-11-19,12994,12995,12800,12995,47429
2025-11-22,12925,13112,12900,12933,3551
2025-11-23,13000,13190,13000,13078,14861
2025-11-25,13200,13375,13175,13175,4622
2025-11-26,13250,13360,13025,13050,46257
2025-11-29,13175,13300,13150,13300,596418
2025-11-30,13190,13368,13190,13368,18724000
2025-12-01,13360,13365,13200,13200,7587017
2025-12-02,13549,13549,13215,13272,8114736
2025-12-03,13475,13500,13300,13340,2138328
2025-12-06,13499,13744,13499,13744,81406
2025-12-07,13800,13800,13425,13425,36011
2025-12-08,13445,13699,13445,13699,31592
2025-12-09,13500,13800,13500,13800,171488
2025-12-10,13900,13950,13700,13940,164021
2025-12-13,13950,13980,13800,13811,63900
2025-12-14,13999,13999,13800,13999,55339
2025-12-15,14010,14250,14010,14070,61523
2025-12-16,14357,14357,13980,14149,2126237
2025-12-17,14000,14165,13950,14010,146789
2025-12-20,14010,14300,14010,14232,255278
2025-12-21,14230,14349,14150,14150,1273672
2025-12-22,14111,14260,14111,14215,616387
2025-12-23,14499,14668,14400,14668,492062
2025-12-24,14780,14863,14780,14862,1222775
2025-12-27,15100,15230,14730,14900,1451902
2025-12-28,15000,15398,14981,15000,11131620
2025-12-29,15350,15350,14720,14750,3314962
2025-12-30,14600,14600,14435,14495,1564703
2025-12-31,14500,14892,14410,14892,522792
2026-01-04,15020,15020,14441,14600,7314643
2026-01-05,14896,14944,14896,14944,1280815
2026-01-06,15391,15391,15390,15391,6262971
2026-01-07,15852,15852,15500,15852,16242746
2026-01-10,15153,15550,15130,15260,2471343
2026-01-11,15470,15590,15290,15590,896940
2026-01-12,15730,15835,15730,15835,1440773
2026-01-13,16185,16185,15600,15750,2277303
2026-01-14,15700,15810,15400,15400,1064685
2026-01-18,15850,15950,15660,15700,4203369
2026-01-19,16205,16205,15700,15910,9301287
