date,open,high,low,close,volume
2026-08-09,10000,10000,10000,10000,200000000
2026-08-11,10000,10000,10000,10000,200000000
2026-08-29,10020,10244,10011,10190,135422064
2026-08-31,10300,10531,10250,10514,34723086
2026-09-01,10300,10350,10152,10310,24819123
2026-09-02,10390,10573,10279,10374,19860938
2026-09-05,10641,10641,10375,10425,33962543
2026-09-06,10649,10649,10320,10372,24272478
2026-09-07,10330,10469,10288,10464,28401384
2026-09-08,10559,10619,10450,10609,24004677
2026-09-09,10702,10980,10702,10890,71600128
2026-09-12,10799,10933,10674,10741,17121281
2026-09-13,10718,10718,10382,10609,12302373
2026-09-14,10670,10770,10445,10453,6783283
2026-09-15,10405,10406,10189,10244,5238033
2026-09-16,10480,10480,10259,10294,3359579
2026-09-19,10404,10560,10404,10522,7165645
2026-09-20,10749,10749,10538,10538,13078895
