date,open,high,low,close,volume
2026-08-16,10000,10000,10000,10000,200000000
2026-08-17,10000,10000,10000,10000,200000000
2026-09-07,10160,10249,10050,10209,172145778
2026-09-08,10266,10365,10204,10320,146566222
2026-09-09,10417,10620,10417,10524,276292481
2026-09-12,10400,10585,10310,10480,165986943
2026-09-13,10311,10452,10299,10361,81440281
2026-09-14,10400,10420,10161,10219,57718410
2026-09-15,10239,10239,9951,10000,54714626
2026-09-16,10150,10150,9996,10037,45086963
2026-09-19,10200,10281,10074,10240,137954635
2026-09-20,10343,10401,10237,10240,133420140
