date,open,high,low,close,volume
2026-08-09,10000,10000,10000,10000,1000000000
2026-08-29,10326,10380,10195,10206,49787803
2026-08-31,10200,10300,10000,10100,61529420
2026-09-01,10210,10299,9902,9940,48498558
2026-09-02,9804,10027,9804,9995,17723124
2026-09-05,10073,10214,10013,10214,48122481
2026-09-06,10320,10478,10266,10478,51396812
2026-09-07,10700,10739,10600,10739,6947680
2026-09-08,11056,11056,10896,11056,40728046
2026-09-09,11056,11387,10950,11302,33848931
2026-09-12,11504,11649,11152,11271,39230902
2026-09-13,11150,11397,10998,11010,62893333
2026-09-14,10862,11150,10826,10892,27686115
2026-09-15,10892,10974,10600,10829,14371651
2026-09-16,10974,10996,10546,10577,42215297
2026-09-19,10756,10756,10325,10325,23025560
2026-09-20,10149,10287,10138,10228,24068663
