date,open,high,low,close,volume
2025-11-16,20770,21000,20710,20900,2191840
2025-11-17,21150,21150,20800,20920,1905905
2025-11-18,21020,21370,21020,21050,8859889
2025-11-19,21340,21530,21050,21190,483767
2025-11-22,21450,21490,21100,21250,407281
2025-11-23,21560,21660,21430,21580,596986
2025-11-25,21500,21770,21400,21520,483737
2025-11-26,21830,21840,21290,21300,190767
2025-11-29,21730,21750,21340,21560,159271
2025-11-30,21540,21540,21230,21230,3384641
2025-12-01,21490,21610,21370,21510,83082
2025-12-02,21590,21590,21350,21580,666281
2025-12-03,21590,21730,21500,21510,366366
2025-12-06,21940,21940,21650,21780,71681
2025-12-07,21680,21680,21300,21430,525483
2025-12-08,21470,21490,21190,21490,386325
2025-12-09,21480,21480,21100,21170,1169409
2025-12-10,21160,21560,21160,21510,839004
2025-12-13,21650,21820,21650,21720,741223
2025-12-14,21850,22110,21700,21770,177343
2025-12-15,21820,22090,21820,21910,2839419
2025-12-16,21900,22360,21520,21520,23251775
2025-12-17,21890,21890,21680,21740,492409
2025-12-20,21910,22340,21910,22100,349895
2025-12-21,22320,22730,22320,22730,34479873
2025-12-22,22960,23370,22950,23370,22816649
2025-12-23,23950,24010,23500,24010,6225391
2025-12-24,23780,24410,23780,24410,3935374
2025-12-27,24400,25070,24210,24220,8456711
2025-12-28,24210,24800,23840,23850,19256697
2025-12-29,23550,23790,23300,23300,1400609
2025-12-30,22700,22900,22660,22660,1005624
2025-12-31,22300,23000,22300,22800,408470
2026-01-04,22270,22580,22080,22400,311474
2026-01-05,22350,22810,22350,22810,844220
2026-01-06,23000,23370,23000,23370,1178828
2026-01-07,23320,23320,22630,22670,1725136
2026-01-10,22250,22920,22240,22240,814030
2026-01-11,21610,22200,21590,22200,1478187
2026-01-12,21810,22250,21520,21800,221546
2026-01-13,21500,21890,21250,21250,232661
2026-01-14,20850,21000,20660,20660,669752
2026-01-18,21040,21280,20970,21040,1670178
2026-01-19,21300,21700,20900,21130,217639
2026-01-20,21250,21710,21250,21710,2138737
2026-01-21,22070,22350,21970,22140,2034342
2026-01-24,21900,21900,21440,21440,824622
2026-01-25,21090,21090,21090,21090,644929
2026-01-26,20460,20460,20460,20460,81462
2026-01-27,19850,20250,19850,20010,485296
2026-01-28,19560,20480,19550,20000,315787
2026-01-31,20140,20190,19420,19430,591627
2026-02-01,19430,20210,19430,20210,11689
2026-02-02,20300,20330,20300,20330,1609475
