date,open,high,low,close,volume
2025-11-16,22460,22740,22460,22690,10564829
2025-11-17,22800,22960,22600,22660,5304398
2025-11-18,22760,23240,22760,22980,14825261
2025-11-19,23040,23260,22800,22940,3106586
2025-11-22,22990,23180,22920,23080,10831442
2025-11-23,23010,23400,23010,23290,20385283
2025-11-25,23400,23680,23250,23500,3412379
2025-11-26,23540,23680,23040,23310,2827982
2025-11-29,23190,23270,22820,23150,4912126
2025-11-30,23060,23190,23040,23060,4361691
2025-12-01,22860,23590,22860,23160,4058709
2025-12-02,23030,23350,23030,23230,5223001
2025-12-03,23390,23590,23270,23360,4063449
2025-12-06,23360,23760,23360,23580,15090388
2025-12-07,23990,23990,23060,23150,4101580
2025-12-08,23270,23430,22970,23160,20978312
2025-12-09,23170,23310,23100,23290,8443757
2025-12-10,23270,23660,23270,23660,5788192
2025-12-13,23700,23990,23610,23830,4238444
2025-12-14,23710,24300,23520,24290,17832197
2025-12-15,24150,24290,23840,24160,8371490
2025-12-16,24080,24550,23700,23760,8070455
2025-12-17,24160,24160,23600,23750,9418742
2025-12-20,23750,24350,23750,24340,6815459
2025-12-21,24350,25000,24350,25000,25530264
2025-12-22,25650,25650,25560,25650,31205674
2025-12-23,26020,26410,25880,26410,18886895
2025-12-24,27130,27140,26820,27140,11521252
2025-12-27,27890,27900,27010,27060,30421157
2025-12-28,27060,27080,26660,26660,14657245
2025-12-29,25970,26200,25970,25970,26267312
2025-12-30,25200,25200,25200,25200,3290592
2025-12-31,24500,25220,24450,25000,8638650
2026-01-04,24200,24930,24100,24100,8946080
2026-01-05,23520,24920,23520,24690,34722967
2026-01-06,24870,24900,24700,24900,4662619
2026-01-07,25590,25590,24310,24680,20150129
2026-01-10,24080,24680,24080,24080,7805001
2026-01-11,23450,23950,23370,23650,9398244
2026-01-12,23890,24210,23800,23980,17813689
2026-01-13,24120,24570,23410,23410,8387502
2026-01-14,22930,23240,22890,22890,3503617
2026-01-18,22610,23500,22610,23190,14408408
2026-01-19,23820,23820,22890,23000,11594945
2026-01-20,23130,24000,22900,24000,34392332
2026-01-21,24250,24640,23970,24640,43134298
2026-01-24,24640,24640,23810,23810,15381760
2026-01-25,23130,23500,23130,23130,3596870
2026-01-26,22440,22440,22440,22440,2814372
2026-01-27,21770,22000,21770,21770,9798501
2026-01-28,21170,21890,21120,21510,9675284
2026-01-31,21150,22030,20750,20750,13949088
2026-02-01,20300,21410,20300,21360,4049518
2026-02-02,21510,21610,21510,21610,4001660
2026-02-03,22220,22220,21540,22040,4297024
2026-02-07,22420,22590,22250,22590,3811579
2026-02-08,23260,23260,22400,22640,9791790
2026-02-09,22400,22630,22200,22200,7159841
2026-02-10,22220,22600,22000,22380,3043854
2026-02-14,22880,22920,21710,21710,3863795
2026-02-15,21510,21520,21320,21320,3121915
2026-02-16,20990,21640,20990,21600,1825392
2026-02-17,21630,21960,21570,21790,1992117
2026-02-18,21300,21980,21300,21570,1467687
2026-02-21,21120,21140,21120,21120,2859830
2026-02-22,20487,20760,20487,20654,6749456
2026-02-23,20681,21090,20487,21060,4332882
2026-02-24,21120,21350,20531,21182,2747487
2026-02-25,20701,21691,20700,21449,5747243
2026-05-19,22075,22075,22075,22075,21099518
2026-05-20,22737,22737,22737,22737,2876864
2026-05-23,23419,23419,23419,23419,2592018
2026-05-24,24121,24121,24121,24121,2529476
2026-05-25,24844,24844,24844,24844,2593152
2026-05-26,25589,25589,25589,25589,3281290
2026-05-30,26356,26356,26356,26356,2667253
2026-05-31,27146,27146,27146,27146,2733418
2026-06-01,27960,27960,27960,27960,9987719
2026-06-02,28798,28798,28798,28798,8610635
