date,open,high,low,close,volume
2026-06-14,10000,10000,10000,10000,200000000
2026-06-16,10000,10000,10000,10000,200000000
2026-07-21,10600,10998,10450,10888,571078791
2026-07-22,11098,11147,10950,11099,221135491
2026-07-25,10700,10879,10670,10745,120374574
2026-07-26,10500,10887,10470,10825,107930016
2026-07-27,10976,11017,10930,11002,61625699
2026-07-28,11000,11007,10911,10932,64388685
2026-07-29,11083,11330,11083,11190,90213114
2026-08-01,11238,11347,11128,11130,74691940
2026-08-02,10961,11059,10907,11023,110443683
2026-08-03,11100,11130,11013,11024,94173693
2026-08-05,11238,11346,11200,11239,133170740
2026-08-08,11500,11560,11300,11323,87517322
2026-08-09,11406,11411,11240,11328,82115364
2026-08-10,11328,11350,11235,11235,41207793
2026-08-11,11350,11443,11303,11421,54515699
2026-08-15,11425,11690,11352,11607,67920939
2026-08-16,11487,11582,11456,11462,56055684
2026-08-17,11502,11631,11502,11547,39505738
2026-08-18,11502,11600,11501,11522,50104846
2026-08-19,11594,11656,11434,11622,63902876
2026-08-22,12081,12499,12037,12380,78154776
2026-08-23,12800,12910,12600,12650,90144809
2026-08-24,12825,12990,12650,12727,64425333
2026-08-25,12700,12700,11942,12279,50176505
2026-08-26,11950,12598,11950,12395,54641590
2026-08-29,12350,12650,12058,12620,41542472
2026-08-31,12650,13100,12650,12945,46736630
2026-09-01,12951,13095,12680,12790,34928145
2026-09-02,13180,13180,12800,12937,46418613
2026-09-05,13150,13150,13022,13074,63281912
2026-09-06,13090,13090,12764,12784,37388718
2026-09-07,12701,12877,12650,12850,31981170
2026-09-08,12900,13078,12853,13041,41866922
2026-09-09,13298,13502,13101,13412,37761599
2026-09-12,13328,13409,13000,13140,55902975
2026-09-13,12988,13118,12882,13096,40452221
2026-09-14,13002,13087,12800,12870,42787178
2026-09-15,12751,12800,12513,12648,13710218
2026-09-16,12906,12906,12625,12669,9285196
2026-09-19,12917,13000,12727,12943,21916114
2026-09-20,13010,13200,12950,13028,30172635
