date,open,high,low,close,volume
2025-11-16,14660,15090,14370,15090,91953650
2025-11-17,15400,15440,14960,15070,129410333
2025-11-18,15010,15320,14800,14870,87103715
2025-11-19,15150,15310,14830,15140,78736362
2025-11-22,15280,15540,15120,15160,66467903
2025-11-23,15380,15910,15310,15910,101927022
2025-11-25,16370,16390,16140,16390,80156776
2025-11-26,16480,16610,15700,15950,105454651
2025-11-29,15850,16470,15680,15750,78525836
2025-11-30,15790,16290,15620,16190,51484902
2025-12-01,16600,16650,16450,16650,89277776
2025-12-02,16710,17100,16520,16710,79871597
2025-12-03,16780,17100,16650,16930,47346966
2025-12-06,17100,17580,17100,17580,69983082
2025-12-07,17640,17900,16750,16760,120253832
2025-12-08,16990,17450,16850,17380,92888369
2025-12-09,17430,17630,16940,17110,50670461
2025-12-10,17170,17880,17050,17590,75952167
2025-12-13,17730,18280,17730,18270,124761223
2025-12-14,18330,18560,17720,18370,90590950
2025-12-15,18350,18920,18270,18920,47448405
2025-12-16,19270,19510,18230,18400,99426417
2025-12-17,18590,19230,18500,18900,81249294
2025-12-20,19310,19630,19300,19630,39634562
2025-12-21,20370,20370,19870,20360,120530537
2025-12-22,20360,21090,19820,20450,75352720
2025-12-23,20450,21320,20260,21270,100312747
2025-12-24,21680,21690,21410,21690,17404532
2025-12-27,22540,22540,22400,22540,58609350
2025-12-28,23150,23430,22540,23430,37058212
2025-12-29,24250,24250,22390,22750,172761505
2025-12-30,22480,22480,22480,22480,16583951
2025-12-31,21590,23370,21590,23370,151035587
2026-01-04,22980,23460,21750,22400,179272978
2026-01-05,23110,23110,23110,23110,17671753
2026-01-06,24030,24030,24030,24030,2164162
2026-01-07,24990,24990,24530,24990,147512730
2026-01-10,23960,25160,23960,23960,133448425
2026-01-11,24000,25140,23650,24990,147444719
2026-01-12,25590,25610,25220,25610,62294002
2026-01-13,26500,26500,24570,24570,122792476
2026-01-14,24160,24160,24160,24160,27283685
2026-01-18,25090,25120,24290,25120,64492304
2026-01-19,25400,25930,23950,24420,97803182
2026-01-20,24610,24840,24000,24000,58166394
2026-01-21,23510,24230,23270,23930,58904391
2026-01-24,22800,23490,22680,22680,15269068
2026-01-25,21800,21800,21800,21800,846694
2026-01-26,20930,20930,20930,20930,1488468
2026-01-27,20100,20100,20100,20100,996087
2026-01-28,19300,19800,19300,19410,202190486
2026-01-31,19420,20000,18570,18570,59510132
2026-02-01,19050,19810,18580,19810,83153590
2026-02-02,20190,20290,19920,20290,31558475
2026-02-03,20800,20800,19620,20020,71920484
2026-02-07,20930,20930,20930,20930,6332888
2026-02-08,21760,21760,20650,20800,87026829
2026-02-09,20660,20800,20550,20550,7246876
2026-02-10,19800,20570,19800,20160,64315177
2026-02-14,20660,20910,19310,19310,77741876
2026-02-15,19310,19530,19200,19200,26105866
2026-02-16,0,19830,18570,19700,96866171
2026-02-17,19800,19840,18900,19500,79283518
2026-02-18,19600,19680,18640,18640,43573177
2026-02-21,18240,18240,18240,18240,534808
2026-02-22,17511,17610,17511,17594,57969123
2026-02-23,17770,18222,17402,18222,41384023
2026-02-24,17530,18080,17228,17228,43117627
2026-02-25,17008,17888,17000,17779,34081430
2026-05-19,16910,16910,16910,16910,2866511
2026-05-20,16234,16770,16234,16539,225519509
2026-05-23,16984,16985,16954,16985,16099509
2026-05-24,17663,17663,17663,17663,974570
2026-05-25,18369,18369,18369,18369,25321544
2026-05-26,18850,19103,18505,19103,43187035
2026-05-30,19730,19730,19730,19730,445853
2026-05-31,20519,20519,20519,20519,277910
2026-06-01,21339,21339,21339,21339,15605189
2026-06-02,22192,22192,21535,22192,47392651
2026-06-03,23054,23054,22615,23054,87096831
2026-06-06,23963,23963,23501,23963,22237784
2026-06-07,24896,24896,24896,24896,1036602
2026-06-08,23901,25890,23901,23901,173326405
2026-06-09,25365,25365,25365,25365,1566576
2026-06-10,26379,26379,26379,26379,5592807
2026-06-13,27434,27434,27434,27434,685423
2026-06-14,28531,28531,28531,28531,649150
2026-06-15,29672,29672,29672,29672,247987
2026-06-16,30858,30858,30858,30858,17217240
2026-06-17,32092,32092,32092,32092,17672692
2026-06-20,33375,33375,31152,33375,187923039
2026-06-21,32900,33498,31756,31756,86634819
2026-06-22,31024,32600,31024,31779,136159391
2026-06-23,32519,32519,31567,32519,78156792
2026-06-27,33500,33500,31016,31670,125909271
2026-06-28,30900,31345,30900,30900,59811952
2026-06-29,30500,32140,30500,32140,149538887
2026-06-30,33100,33100,32430,33100,106930509
2026-07-01,32800,34200,31800,33861,118439200
2026-07-07,34875,34876,34502,34876,14877427
2026-07-08,34800,36233,33462,33462,121999296
2026-07-11,33406,34084,33400,33400,24881419
2026-07-12,32125,32125,32125,32125,711418
2026-07-13,30840,30840,30840,30840,1835800
2026-07-14,29607,29607,29607,29607,2707850
2026-07-15,28423,28997,28423,28423,135582772
2026-07-18,27340,27340,27340,27340,2632902
2026-07-19,26247,26800,26247,26556,151128591
2026-07-20,27170,27382,26500,27382,65257026
2026-07-21,28289,28289,28000,28289,21911219
2026-07-22,29300,29300,27152,27666,81982267
2026-07-25,28300,28977,27061,28090,65095125
2026-07-26,29056,29056,29056,29056,10460598
2026-07-27,30218,30218,29518,30218,97283918
2026-07-28,30220,31358,29571,30761,84465133
2026-07-29,29657,29976,29657,29657,41290244
2026-08-01,28550,29500,28492,28492,67183175
2026-08-02,29933,29933,29646,29933,40523910
2026-08-03,31129,31129,31129,31129,21351557
2026-08-05,32374,32374,32374,32374,2995600
2026-08-08,33668,33668,33668,33668,587270
2026-08-09,35014,35014,34500,35014,136150143
2026-08-10,34650,36353,34399,36353,57095927
2026-08-11,37443,37443,36433,37443,63081724
2026-08-15,38538,38538,35886,35886,68752336
2026-08-16,35006,37552,35006,37552,57536473
2026-08-17,38106,38106,37566,38106,10674101
2026-08-18,39600,39629,37276,38178,101589037
2026-08-19,37209,39534,37209,38001,48236523
2026-08-22,39100,39724,39100,39724,35057826
2026-08-23,40448,41099,38046,39700,72337253
2026-08-24,40111,41077,39010,41074,113753445
2026-08-25,42100,42468,41550,42468,41828830
2026-08-26,44098,44098,44098,44098,7057092
2026-08-29,45861,45861,45003,45861,34064632
2026-08-31,44352,46996,43923,44390,117342068
2026-09-01,46500,46963,43351,43351,69734507
2026-09-02,43361,43361,43361,43361,6115111
2026-09-05,44200,45095,41803,44010,71192171
2026-09-06,44420,45120,42700,44877,64625257
2026-09-07,45950,46261,45780,46261,28508325
2026-09-08,48025,48025,46942,48025,61359500
2026-09-09,49719,49719,48170,49719,76665939
2026-09-12,51599,51630,51140,51630,30765314
2026-09-13,53646,53646,53646,53646,4692854
2026-09-14,55791,55791,52250,54730,105029250
2026-09-15,54843,57037,54730,57037,56494777
2026-09-16,57485,58730,54220,55900,85438807
2026-09-19,57200,57200,54154,54154,12297939
2026-09-20,52477,52477,52477,52477,2349533
