date,open,high,low,close,volume
2025-11-16,13860,13880,13860,13860,5546165
2025-11-17,13880,13900,13880,13890,20113908
2025-11-18,13910,13910,13900,13910,7011262
2025-11-19,13950,13960,13920,13920,4828952
2025-11-22,13940,13960,13940,13950,3615210
2025-11-23,13970,14010,13960,13970,15695871
2025-11-25,14030,14030,13990,14000,30615363
2025-11-26,14010,14030,14010,14010,50367530
2025-11-29,14030,14040,14020,14030,14552080
2025-11-30,14040,14050,14040,14040,5762310
2025-12-01,14060,14070,14060,14060,34101700
2025-12-02,14080,14100,14080,14080,8192124
2025-12-03,14100,14120,14100,14110,56665155
2025-12-06,14120,14130,14120,14120,6617176
2025-12-07,14200,14220,14140,14190,89238040
2025-12-08,14180,14230,14170,14220,41631137
2025-12-09,14230,14270,14180,14240,157621050
2025-12-10,14280,14600,14210,14320,67942042
2025-12-13,14400,14580,14370,14540,46103031
2025-12-14,14650,14860,14560,14860,34552399
2025-12-15,15060,15120,14900,15120,42730563
2025-12-16,15390,15390,14570,14570,51026150
2025-12-17,14570,14570,14470,14490,24029531
2025-12-20,14480,14610,14300,14310,51962508
2025-12-21,14380,14400,14370,14380,26361365
2025-12-22,14380,14400,14380,14380,32015172
2025-12-23,14390,14410,14390,14400,30965014
2025-12-24,14400,14430,14400,14400,104897712
2025-12-27,14410,14430,14410,14410,33483357
2025-12-28,14460,14460,14430,14450,78150337
2025-12-29,14460,14470,14460,14460,33336731
2025-12-30,14480,14500,14480,14480,35965240
2025-12-31,14500,14570,14500,14510,66083427
2026-01-04,14530,14560,14530,14540,29140907
2026-01-05,14550,14580,14550,14550,92159250
2026-01-06,14570,14580,14570,14580,30732532
2026-01-07,14600,14600,14590,14600,14092433
2026-01-10,14610,14630,14610,14610,56723440
2026-01-11,14630,14650,14630,14630,16266446
2026-01-12,14650,14680,14650,14650,14247348
2026-01-13,14680,14690,14670,14670,15845657
2026-01-14,14700,14700,14690,14690,17256895
2026-01-18,14730,14740,14730,14730,11786691
2026-01-19,14800,14830,14750,14760,11137258
2026-01-20,14790,14800,14770,14780,13806416
2026-01-21,14800,14820,14800,14800,8087891
2026-01-24,14820,14830,14820,14820,22740188
2026-01-25,14840,14860,14840,14840,7783212
2026-01-26,14860,14890,14860,14870,9933402
2026-01-27,14890,14900,14890,14890,13277979
2026-01-28,14910,14920,14910,14910,36069097
2026-01-31,14930,14950,14930,14930,11787768
2026-02-01,14950,14960,14950,14950,9545618
2026-02-02,14970,14980,14970,14980,33901935
2026-02-03,15000,15010,14990,15010,24057198
2026-02-07,15010,15020,15010,15010,9549833
2026-02-08,15030,15070,15030,15030,11652075
2026-02-09,15050,15060,15050,15060,11051333
2026-02-10,15070,15090,15070,15070,38795743
2026-02-14,15090,15100,15090,15090,7434316
2026-02-15,15110,15120,15110,15110,4934591
2026-02-16,15140,15150,15130,15130,8163810
2026-02-17,15160,15160,15150,15150,5017671
2026-02-18,15170,15200,15170,15180,4148893
2026-02-21,15200,15210,15200,15200,19792856
2026-02-22,15220,15230,15220,15223,32282466
2026-02-23,15240,15250,15240,15240,4665535
2026-02-24,15260,15270,15260,15260,17645482
2026-02-25,15290,15290,15280,15280,16473391
2026-05-19,14822,15732,14822,15348,53203569
2026-05-20,14984,15401,14984,15401,18494563
2026-05-23,15650,15816,15650,15810,9927878
2026-05-24,15900,16000,15450,15566,277736349
2026-05-25,15600,15744,15549,15720,18142673
2026-05-26,15700,15709,15694,15705,23206511
2026-05-30,15863,15863,15720,15730,37144200
2026-05-31,15751,15851,15749,15800,14844309
2026-06-01,15821,15979,15820,15888,8759291
2026-06-02,16000,16000,15893,15910,17385087
2026-06-03,15907,16383,15880,16116,118693002
2026-06-06,16000,16000,15917,15918,4815661
2026-06-07,15900,15949,15895,15945,6959069
2026-06-08,15951,16009,15950,15990,3110976
2026-06-09,16050,16050,15999,16000,1062734
2026-06-10,16000,16000,15930,15958,2430595
2026-06-13,15950,16000,15941,15941,3271310
2026-06-14,15950,15951,15946,15950,10115902
2026-06-15,16099,16099,15898,15951,38085932
2026-06-16,15975,15976,15970,15975,3640781
2026-06-17,15995,16000,15995,15995,893653
2026-06-20,16015,16017,16014,16015,4558419
2026-06-21,16030,16035,15535,16030,45422419
2026-06-22,16050,16053,16018,16051,5578730
2026-06-23,16070,16071,16070,16070,1557866
2026-06-27,16109,16159,16100,16104,1028466
2026-06-28,16150,16200,16150,16150,508004
2026-06-29,16200,16300,16190,16300,2785627
2026-06-30,16220,16300,16217,16244,4303481
2026-07-01,16250,16300,16250,16260,826867
2026-07-07,16400,16470,16400,16470,704224
2026-07-08,16450,16500,16440,16490,7267919
2026-07-11,16482,16520,16482,16520,3875493
2026-07-12,16515,16620,16510,16516,2703348
2026-07-13,16600,16600,16542,16600,853551
2026-07-14,16560,16610,16555,16600,3238649
2026-07-15,16567,16570,16566,16570,754084
2026-07-18,16575,16600,16575,16575,90413
2026-07-19,16580,16597,16576,16580,8624452
2026-07-20,16583,16595,16583,16583,860657
2026-07-21,16588,16600,16588,16588,660226
2026-07-22,16608,16619,16470,16608,19620877
2026-07-25,16600,16600,16540,16541,83481
2026-07-26,16566,16610,16560,16566,6640900
