date,open,high,low,close,volume
2025-11-16,24473,24770,24298,24601,1428044
2025-11-17,24798,24798,24370,24490,527594
2025-11-18,24699,24699,24410,24530,295943
2025-11-19,24796,24796,24413,24507,1422053
2025-11-22,24958,25050,24583,24904,1116564
2025-11-23,25195,25450,24810,25385,1283225
2025-11-25,25609,25689,25283,25668,721140
2025-11-26,25990,25990,25188,25679,372933
2025-11-29,25699,25699,25258,25390,861432
2025-11-30,25547,25750,25443,25742,853851
2025-12-01,25879,26271,25742,26207,470782
2025-12-02,26177,26550,26177,26370,257969
2025-12-03,26669,26840,26301,26748,508560
2025-12-06,26970,27346,26630,27177,2072288
2025-12-07,27548,27553,26806,26890,1461836
2025-12-08,27259,27283,26880,27283,1285374
2025-12-09,27679,27679,27122,27428,1132960
2025-12-10,27260,27620,26950,27592,1276996
2025-12-13,27610,28115,27610,28115,919706
2025-12-14,28118,28330,27870,28210,708165
2025-12-15,28350,28980,28350,28764,2115805
2025-12-16,28820,29172,28060,28198,1603438
2025-12-17,28480,28930,28411,28740,1647721
2025-12-20,28929,29500,28929,29469,3978868
2025-12-21,29469,29700,29230,29545,3592307
2025-12-22,29535,29998,29307,29710,1894585
2025-12-23,29722,30449,29660,30445,2581989
2025-12-24,30470,31009,30470,31009,7763826
2025-12-27,31111,31873,31111,31650,7544051
2025-12-28,31691,32338,31400,32148,5246393
2025-12-29,32100,32330,31300,31776,4965111
2025-12-30,31230,31458,30931,30931,1448676
2025-12-31,30067,31610,30067,31568,9117046
2026-01-04,31350,31580,30520,31241,11079607
2026-01-05,31489,31962,31300,31962,5769424
2026-01-06,32878,32878,32876,32878,12302176
2026-01-07,33857,33864,32880,33544,11115675
2026-01-10,32369,33216,32369,32369,8427360
2026-01-11,31652,33479,31652,33251,12430992
2026-01-12,33420,33796,33420,33796,2985422
2026-01-13,34600,34667,33530,33977,5324750
2026-01-14,33650,33650,33131,33248,1670917
2026-01-18,34149,34293,33941,34293,6888975
2026-01-19,34150,34833,33820,34550,6674822
2026-01-20,34480,34575,33810,34035,1556661
2026-01-21,33790,34368,33610,33991,1661653
2026-01-24,33740,34033,32870,32920,2254077
2026-01-25,32158,32600,32153,32153,2482972
2026-01-26,31189,31189,31189,31189,693378
2026-01-27,30254,30257,30254,30254,933897
2026-01-28,29347,30254,29347,29351,649676
2026-01-31,30389,30389,28623,28623,665345
2026-02-01,28623,29510,28516,29509,1029064
2026-02-02,29518,29877,29470,29877,18061185
2026-02-03,29860,29860,28967,28967,8231783
2026-02-07,29989,30291,29989,30291,5303470
2026-02-08,30575,31160,29721,29867,8003149
2026-02-09,30010,30437,29701,29701,5758258
2026-02-10,29760,29999,29220,29659,804484
2026-02-14,29605,30170,28693,29030,1694725
2026-02-15,28461,28710,28334,28334,1120422
2026-02-16,28730,28730,28176,28590,512669
2026-02-17,28275,28980,28275,28424,760115
2026-02-18,28767,28800,27922,28140,227562
2026-02-21,27622,27629,27323,27323,635864
2026-02-22,26638,26960,26633,26702,176236
2026-02-23,27270,27353,26777,27352,372628
2026-02-24,27063,27436,26519,26879,5219961
2026-02-25,26799,27255,26799,27150,11728750
2026-05-19,26234,26234,26234,26234,416385
2026-05-20,25447,25880,25447,25447,2520226
2026-05-23,26215,26215,26100,26215,4994768
2026-05-24,27001,27001,27001,27001,4721299
2026-05-25,27811,27811,27002,27811,8493117
2026-05-26,27725,28556,27410,28556,5427353
2026-05-30,29081,29081,29081,29081,1702576
2026-05-31,29953,29953,29953,29953,4176976
2026-06-01,30851,30851,30060,30851,16822377
2026-06-02,31046,31746,29982,31746,10854755
2026-06-03,31496,32400,31060,31847,5743004
2026-06-06,31999,32506,31370,32506,9399287
2026-06-07,33161,33161,32666,33161,8479888
2026-06-08,32166,33250,32166,33250,7252850
2026-06-09,33288,33288,33288,33288,14069096
2026-06-10,34286,34286,33760,34286,22875733
2026-06-13,35298,35298,35298,35298,5058178
2026-06-14,36356,36356,36355,36356,29197613
2026-06-15,37446,37446,37446,37446,10031710
2026-06-16,38569,38569,36323,36643,49866509
2026-06-17,36621,37294,36612,36976,28092879
2026-06-20,37138,37568,35713,35713,10107882
2026-06-21,35395,35400,35375,35375,779153
2026-06-22,34322,34322,34322,34322,391252
2026-06-23,33293,34180,33293,33293,30104673
2026-06-27,32518,32737,32350,32350,9874130
2026-06-28,31394,31394,31394,31394,2363179
2026-06-29,30453,31370,30453,31148,16578121
2026-06-30,31386,31602,30951,31602,18077524
2026-07-01,31540,32521,31540,32521,3489538
2026-07-07,33400,33400,33250,33400,2862132
2026-07-08,33380,33999,32395,32395,6070440
2026-07-11,31969,32189,31969,32160,7547135
2026-07-12,31017,31017,31017,31017,581798
2026-07-13,30087,30786,30087,30322,1640046
2026-07-14,29388,30520,29274,29977,2903357
2026-07-15,30280,30657,29771,30499,3587948
2026-07-18,29339,30634,29323,29323,418495
2026-07-19,29323,29323,28448,29040,8895899
2026-07-20,29290,29544,29000,29544,3564464
2026-07-21,30408,30408,29410,30408,1522045
2026-07-22,31300,31320,30413,30500,2931505
2026-07-25,31015,31760,30212,31430,3190931
2026-07-26,32244,32244,32244,32244,2103680
2026-07-27,33203,33203,32331,32755,8942363
2026-07-28,32850,33477,32250,33190,5001670
2026-07-29,32050,33031,32041,32197,1726391
2026-08-01,32175,32930,31210,32565,2551183
2026-08-02,33440,33441,33158,33441,2180687
2026-08-03,34426,34426,34426,34426,1506628
2026-08-05,35458,35458,35458,35458,2230263
2026-08-08,36521,36521,36521,36521,2683472
2026-08-09,37616,37616,37011,37616,14412831
2026-08-10,38333,38730,37654,38730,5372496
2026-08-11,39700,39742,39210,39735,7002860
2026-08-15,39735,40300,38447,38800,4661910
2026-08-16,38340,39810,38036,39810,8097840
2026-08-17,40538,40859,38479,40822,21783279
2026-08-18,40853,40853,39350,40094,10409075
2026-08-19,40074,41197,38900,40670,12912895
2026-08-22,41100,41677,40781,41677,23586633
2026-08-23,41658,42495,40600,41625,10146903
2026-08-24,41410,43170,41300,42304,9567321
2026-08-25,42598,43501,42150,43501,10628628
2026-08-26,44060,44698,44000,44698,8552407
2026-08-29,45915,45922,44698,45922,5047295
2026-08-31,45700,46700,44500,45200,8842036
2026-09-01,45360,46646,43930,44443,14815252
2026-09-02,44427,44895,44427,44575,5712104
2026-09-05,44900,45650,43500,45400,6353280
2026-09-06,45500,46367,44100,46367,7122694
2026-09-07,46800,47475,46503,47475,6394358
2026-09-08,48829,48829,47957,48829,12617494
2026-09-09,50261,50261,48951,50261,14430741
2026-09-12,51679,51679,51679,51679,2599960
2026-09-13,53229,53229,53229,53229,1738159
2026-09-14,54825,54825,52008,54825,20467083
2026-09-15,55750,56414,54850,56414,4759714
2026-09-16,57957,57957,56270,57950,16853116
2026-09-19,58090,58090,55740,55740,12326487
2026-09-20,54287,54287,54287,54287,1345510
