date,open,high,low,close,volume
2025-11-16,317780,319010,317500,318910,2855
2025-11-17,318910,320950,318600,318600,5513
2025-11-18,319420,319730,319000,319000,1634
2025-11-19,317060,317060,313800,314300,1062
2025-11-22,316300,317000,316300,316750,662
2025-11-23,316750,324310,316750,324310,4950
2025-11-25,324700,324700,320620,322300,10165
2025-11-26,320900,324830,319410,324830,11998
2025-11-29,325720,325840,323000,325000,3163
2025-11-30,325840,327580,325840,327360,9619
2025-12-01,330030,330030,324420,330030,9732
2025-12-02,324530,331450,324530,330110,6090
2025-12-03,331250,332880,331020,332880,7658
2025-12-06,332560,334990,330200,330600,240
2025-12-07,336350,336380,332100,334520,6335
2025-12-08,330710,335940,330710,335000,7970
2025-12-09,335000,336960,330710,336860,6305
2025-12-10,336560,337570,336560,337560,549
2025-12-13,335600,342780,335600,342370,19191
2025-12-14,339150,345330,339150,345330,4585
2025-12-15,340420,348390,340420,348280,7776
2025-12-16,342620,349710,342620,344230,36424
2025-12-17,346860,353500,342700,352430,18202
2025-12-20,355630,356400,351900,356400,8969
2025-12-21,358990,359100,354020,358980,14508
2025-12-22,361890,362160,353000,359380,77301
2025-12-23,353900,362660,353900,362660,2373
2025-12-24,362230,370740,362230,370580,27868
2025-12-27,371560,375850,366800,367920,29723
2025-12-28,375210,378020,370800,377370,17711
2025-12-29,371050,374910,371030,371060,10217
2025-12-30,371100,374590,362950,364840,39160
2025-12-31,371660,373170,371660,372900,6242
2026-01-04,372800,372800,362020,363800,14686
2026-01-05,371980,374080,368440,374080,17211
2026-01-06,374110,381550,374110,381210,75207
2026-01-07,381730,381730,373250,380860,15847
2026-01-10,373460,377970,368410,368410,37159
2026-01-11,373000,376160,369670,375600,1280
2026-01-12,378160,381840,373960,378400,34894
2026-01-13,378500,378500,369350,369350,19370
2026-01-14,369100,373340,366320,366930,19091
2026-01-18,367680,374020,367680,371300,1288
2026-01-19,377000,381400,375000,380720,4083
2026-01-20,380450,383530,378000,383500,16098
2026-01-21,382940,386080,379170,386000,52395
2026-01-24,380200,383930,377550,377750,8695
2026-01-25,381030,381030,373130,373140,17984
2026-01-26,380770,380770,368280,369110,14867
2026-01-27,369290,373350,369290,372130,4959
2026-01-28,367130,372130,366810,368880,12222
2026-01-31,369350,369350,363340,366410,18479
2026-02-01,363650,370000,362750,366160,12951
2026-02-02,373000,374380,366860,367300,6725
2026-02-03,367660,372610,365650,366010,2281
2026-02-07,376000,377300,370850,377300,6821
2026-02-08,375000,380550,375000,376220,10912
2026-02-09,369810,369810,367500,369800,1842
2026-02-10,369800,369800,367200,369800,4520
2026-02-14,368660,375470,366750,366760,16232
2026-02-15,370770,370770,364710,368540,1084
2026-02-16,364690,368180,361200,368180,8738
2026-02-17,368810,368810,361680,368440,2051
2026-02-18,363190,363190,360360,362550,1843
2026-02-21,358160,358160,356840,357810,7289
2026-02-22,357880,361320,354270,361320,8409
2026-02-23,363880,364120,357000,363310,363
2026-02-24,363890,363890,356800,363050,2332
2026-02-25,364280,366000,359090,365330,2855
2026-05-19,353895,360960,353895,360000,21936
2026-05-20,347131,354040,347131,354039,3129
2026-05-23,347821,359015,347821,359000,1963
2026-05-24,367460,367462,367460,367462,16876
2026-05-25,378480,378485,378480,378480,73419
2026-05-26,389584,389833,384699,389833,134401
2026-05-30,387250,398244,387210,398244,71986
2026-05-31,399406,406546,399406,406546,239699
2026-06-01,407800,410556,407800,408110,63304
2026-06-02,406210,410500,406028,407071,32387
2026-06-03,412876,418960,412739,418960,10301
2026-06-06,414284,425576,414000,424500,9519
2026-06-07,429576,431076,425251,430966,19142
2026-06-08,422864,432000,421398,421605,102622
2026-06-09,431746,435974,431746,435974,276657
2026-06-10,437086,438225,430933,434060,58269
2026-06-13,443000,446613,443000,446613,825742
2026-06-14,450000,459542,450000,459542,632299
2026-06-15,473176,473176,467120,473176,598540
2026-06-16,486980,486980,458978,458978,163700
2026-06-17,450249,450249,450249,450249,58875
2026-06-20,436742,436742,436742,436742,84348
2026-06-21,423640,423641,423640,423640,201092
2026-06-22,410931,421000,410931,410931,335308
2026-06-23,401615,410000,398621,403000,474279
2026-06-27,389110,409999,389110,399000,48719
2026-06-28,411461,411461,388128,400000,609073
2026-06-29,394357,409184,394357,403499,9722
2026-06-30,404182,409259,404182,409259,101977
2026-07-01,409259,419000,407500,417000,90150
2026-07-07,417006,425900,417006,420970,91293
2026-07-08,427020,431000,409406,422080,193613
2026-07-11,429998,434848,422500,426922,49065
2026-07-12,431485,432150,424320,425993,35104
2026-07-13,428148,438070,423590,426981,46008
2026-07-14,430000,437499,425640,428961,32920
2026-07-15,435000,435000,418242,427200,109642
2026-07-18,433000,437000,427090,436944,104716
2026-07-19,436999,439700,428200,439629,39851
2026-07-20,440970,440970,435523,440948,35785
2026-07-21,444444,449844,440101,448990,27229
2026-07-22,453267,461000,448942,460078,36863
2026-07-25,470642,470642,456701,464464,63983
2026-07-26,475900,475900,466100,473500,39217
2026-07-27,478095,486696,458423,476799,94010
2026-07-28,481999,482000,473732,477900,36944
2026-07-29,482000,482000,472500,478401,79310
2026-08-01,481480,481480,478000,480000,15446
2026-08-02,481480,488900,480403,488870,27123
2026-08-03,494410,497820,490310,497820,113907
2026-08-05,510000,511470,502001,511470,83583
2026-08-08,526300,526588,524587,526587,98709
2026-08-09,542247,542247,510661,510661,59634
2026-08-10,512193,525001,512193,518300,23154
2026-08-11,527950,527950,503610,505050,28198
2026-08-15,519798,525400,502105,512000,72375
2026-08-16,518012,523500,517353,521530,48773
2026-08-17,522159,533163,522159,524101,12962
2026-08-18,527999,535683,510796,535500,21653
2026-08-19,527508,537000,526605,528912,20190
2026-08-22,544700,544740,528900,543900,40973
2026-08-23,557000,557026,535100,537747,65800
2026-08-24,556419,556419,525000,538998,48723
2026-08-25,539509,539509,524000,538990,33114
2026-08-26,524011,552889,524010,543108,27981
2026-08-29,553008,553500,534008,546370,55191
2026-08-31,546261,554496,535092,547000,58611
2026-09-01,561980,561980,530391,545738,54720
2026-09-02,533108,548675,533104,533104,35944
2026-09-05,550995,550995,527291,535103,19943
2026-09-06,520543,551120,520543,537000,78270
2026-09-07,551130,551130,532002,543795,97805
2026-09-08,551148,551149,541611,541611,23508
2026-09-09,530020,548998,530020,541511,44312
2026-09-12,532016,558879,532016,543000,55030
2026-09-13,544380,556999,544380,555800,112604
2026-09-14,555383,555383,546030,546045,17511
2026-09-15,548115,550232,547020,550000,23497
2026-09-16,555339,561428,548405,558920,33100
2026-09-19,561090,572576,544952,558998,52192
2026-09-20,554976,558997,544801,554976,32188
