date,open,high,low,close,volume
2025-11-16,25289,25389,25096,25195,2153
2025-11-17,25256,25340,25250,25340,205809
2025-11-18,25240,25709,25240,25400,31313
2025-11-19,25550,25820,25550,25550,3098
2025-11-22,25830,25830,25560,25560,16508
2025-11-23,25480,25780,25480,25780,52670
2025-11-25,25742,26330,25741,26330,283762
2025-11-26,25981,25981,25741,25741,80049938
2025-11-29,25920,25960,25735,25950,79175
2025-11-30,25942,26335,25800,26335,24236
2025-12-01,26339,26339,26300,26330,10365
2025-12-02,26560,26750,26530,26740,24653
2025-12-03,26760,26980,26541,26852,18649
2025-12-06,27140,27570,27130,27220,271072
2025-12-07,27750,27750,27030,27050,134994
2025-12-08,27020,27390,27020,27240,106635
2025-12-09,27450,27450,27260,27260,75938
2025-12-10,27700,28000,27700,28000,56893
2025-12-13,28300,28350,28000,28350,38896
2025-12-14,28650,28700,28245,28670,196672
2025-12-15,28850,29250,28510,29250,152594
2025-12-16,28900,29780,28900,29100,352535
2025-12-17,29450,29800,29150,29730,35143
2025-12-20,29850,30320,29850,30320,420385
2025-12-21,30249,30350,29901,30300,358418
2025-12-22,30310,30460,29782,30190,151418
2025-12-23,29880,30462,29880,30420,66949
2025-12-24,30420,31049,30240,30868,1871852
2025-12-27,30636,31349,30636,31200,1697635
2025-12-28,31250,31350,31090,31250,709334
2025-12-29,30912,31100,30353,30400,391341
2025-12-30,30650,30650,29700,29700,2957409
2025-12-31,28942,30280,28940,29999,706071
2026-01-04,30098,30098,29173,29254,327478
2026-01-05,29958,30317,29850,30121,386582
2026-01-06,30499,31085,30100,30110,101401020
2026-01-07,30650,30650,29373,29975,2651546
2026-01-10,28682,29729,28682,28682,940916
2026-01-11,27960,29500,27956,28658,338630
2026-01-12,29547,29547,28661,29000,576780
2026-01-13,29490,29590,28650,28650,963229
2026-01-14,29090,29090,28220,28220,669570
2026-01-18,28640,29239,28640,29199,444247
2026-01-19,29386,29387,29029,29190,458902
2026-01-20,29180,29677,29150,29340,141671
2026-01-21,29240,29703,29100,29497,2204342
2026-01-24,29150,29899,28580,28830,401410
2026-01-25,28832,28832,27968,27968,450493
2026-01-26,27450,27450,27193,27193,273582
2026-01-27,26417,27499,26417,27215,354288
2026-01-28,26200,27235,26170,26472,283024
2026-01-31,26250,27030,26210,26269,196920
2026-02-01,26000,26769,25466,26300,114832
2026-02-02,26694,26700,26151,26682,72514
2026-02-03,26700,27100,26500,26550,375800
2026-02-07,27130,27150,27001,27135,37074
2026-02-08,27500,27500,27060,27156,8226422
2026-02-09,27150,27300,27000,27000,173756
2026-02-10,27000,27298,26870,26870,349608
2026-02-14,27300,27300,26911,26911,51797
2026-02-15,26830,26830,26350,26350,110595
2026-02-16,26500,26647,26440,26640,4908373
2026-02-17,26640,26660,26500,26650,8526
2026-02-18,26750,27000,26670,26999,8916
2026-02-21,26670,27300,26650,27238,54134752
2026-02-22,26650,26650,26500,26500,2699
2026-02-23,26500,26500,26050,26300,4697
2026-02-24,26800,27000,26250,26250,44180606
2026-02-25,26585,26624,26220,26299,565241
2026-05-19,25477,25477,25477,25477,512663
2026-05-20,24713,26238,24713,24718,177443
2026-05-23,25052,25468,25052,25468,125455
2026-05-24,25873,26231,25873,26231,1964523
2026-05-25,27017,27017,26391,26415,881582
2026-05-26,26853,27140,26790,27137,808953
2026-05-30,27629,27694,27210,27694,15096319
2026-05-31,28300,28300,27601,28105,9143369
2026-06-01,27900,27999,26995,27600,8350716
2026-06-02,27380,28449,27000,28018,3406564
2026-06-03,27839,28168,27828,28010,2956172
2026-06-06,28677,28770,28100,28770,1088245
2026-06-07,29420,29427,29211,29427,854996
2026-06-08,28545,29200,28545,28545,609043
2026-06-09,29427,29470,29427,29470,9972172
2026-06-10,29481,30331,29460,29683,759031
2026-06-13,30133,30497,30133,30497,11737428
2026-06-14,31380,31410,30915,31410,15933606
2026-06-15,32340,32340,32110,32340,31482530
2026-06-16,32855,32855,31370,31370,23313349
2026-06-17,30819,31755,30819,31240,15022093
2026-06-20,30800,31628,29906,30330,10923751
2026-06-21,30653,30653,29701,29701,1573631
2026-06-22,28873,29700,28873,28900,3380173
2026-06-23,29739,29741,29300,29741,3263329
2026-06-27,30506,30506,30003,30096,1108882
2026-06-28,30014,30014,29114,29114,1187468
2026-06-29,28900,29240,28690,29240,1308418
2026-06-30,29250,30040,29250,30040,2256187
2026-07-01,30100,30909,30008,30909,4212129
2026-07-07,30751,31637,30751,31637,4500792
2026-07-08,31600,32000,30688,30751,2930712
2026-07-11,31982,31983,31300,31480,727322
2026-07-12,31300,31899,30521,31278,1122356
2026-07-13,30922,31278,30900,30920,207753
2026-07-14,31000,31599,31000,31077,71234
2026-07-15,31297,31954,31297,31444,1062838
2026-07-18,31998,32300,31100,31578,1052056
2026-07-19,31979,31979,31470,31613,193910
2026-07-20,32200,32276,32019,32109,266627
2026-07-21,32050,32300,32039,32299,333739
2026-07-22,32211,32586,32081,32288,1284364
2026-07-25,32208,32989,32101,32599,336680
2026-07-26,32988,33282,32988,33280,1352474
2026-07-27,34253,34253,32276,33450,1369377
2026-07-28,34232,34232,33243,33679,672194
2026-07-29,34000,34000,32960,33200,998906
2026-08-01,33261,33749,33261,33264,76787
2026-08-02,33463,34277,33463,34236,141161
2026-08-03,34340,34990,34340,34596,5904284
2026-08-05,34898,35532,34898,35532,332156
2026-08-08,36420,36431,36200,36430,1664006
2026-08-09,37320,37320,35980,36494,832541
2026-08-10,36494,36629,36000,36523,518391
2026-08-11,37264,37488,37071,37201,338827
2026-08-15,37400,37800,37392,37717,207278
2026-08-16,37521,38640,37521,37888,348949
2026-08-17,37871,39000,37869,39000,691871
2026-08-18,38461,39299,38400,38618,749572
2026-08-19,38615,39748,38610,39445,587849
2026-08-22,39771,40261,39094,40196,619707
2026-08-23,40098,41019,39750,40270,849065
2026-08-24,40738,40738,39156,40690,200717
2026-08-25,41378,41660,40803,41436,987316
2026-08-26,42686,42686,41800,41900,2330444
2026-08-29,42020,42740,41975,42379,787687
2026-08-31,42003,42500,42001,42251,7353996
2026-09-01,43179,43723,42154,42614,845352
2026-09-02,42000,42050,41521,41999,505956
2026-09-05,41999,43113,41860,42101,485985
2026-09-06,42799,42799,42214,42550,295410
2026-09-07,43700,43700,42711,43089,854973
2026-09-08,43127,43500,43126,43330,1040646
2026-09-09,43650,43650,43275,43417,1559149
2026-09-12,44100,44100,43320,43730,917874
2026-09-13,44000,44850,44000,44650,1271851
2026-09-14,44800,45700,44650,44701,951980
2026-09-15,45959,45959,44965,45890,1317849
2026-09-16,45902,46698,45767,45999,1447192
2026-09-19,46051,46899,46051,46100,714982
2026-09-20,46108,46500,44751,45943,1099422
