date,open,high,low,close,volume
2026-01-14,1116000,1117200,1096637,1101990,11102744
2026-01-18,1092501,1094000,1080000,1085951,8927355
2026-01-19,1107000,1107000,1088999,1089311,6103804
2026-01-20,1088000,1098400,1078001,1093000,9387918
2026-01-21,1120100,1127000,1106000,1108800,12871869
2026-01-24,1161200,1165000,1148800,1152995,14219251
2026-01-25,1152994,1163499,1143005,1159298,11976270
2026-01-26,1181500,1220000,1181500,1215900,18508780
2026-01-27,1261235,1295296,1258010,1287169,21946620
2026-01-28,1395035,1395035,1326661,1343654,31241685
2026-01-31,1250000,1350000,1250000,1324805,28623624
2026-02-01,1285258,1323888,1260594,1280801,22785031
2026-02-02,1220000,1247389,1168447,1199603,27448819
2026-02-03,1249000,1265190,1243239,1262912,15759828
2026-02-07,1244999,1274100,1231000,1258030,12606671
2026-02-08,1272902,1320900,1272902,1319989,12817640
2026-02-09,1367000,1382984,1341441,1355000,19765399
2026-02-10,1376000,1376000,1351000,1361001,12185776
2026-02-14,1334995,1350000,1327000,1339100,10038757
2026-02-15,1350002,1369800,1344500,1367300,7267696
2026-02-16,1345000,1354799,1336707,1341976,7012243
2026-02-17,1340000,1366551,1306968,1330154,14299702
2026-02-18,1365000,1365000,1346491,1352010,7282240
2026-02-21,1396000,1401850,1378700,1381600,12679920
2026-02-22,1380000,1381598,1368110,1381255,7716040
2026-02-23,1377901,1377901,1354000,1357249,7766266
2026-02-24,1364000,1364499,1343801,1344680,8038746
2026-02-25,1365000,1365000,1323681,1328000,16143515
2026-03-15,1209398,1209398,1209398,1209398,1173310
2026-03-16,1088459,1131997,1088459,1126028,14995956
2026-03-17,1125000,1220337,1117501,1202000,8873725
2026-03-18,1237000,1279888,1237000,1270000,9522584
2026-03-25,1210010,1237000,1200510,1222500,5468053
2026-03-28,1234999,1247000,1216000,1219000,3415695
2026-03-29,1215000,1219499,1175000,1190100,3597226
2026-03-30,1190111,1206000,1181801,1181802,3360211
2026-03-31,1197500,1202000,1190000,1198000,3162306
2026-04-04,1200101,1273555,1200101,1262327,10122070
2026-04-05,1265000,1265000,1239099,1250012,5390113
2026-04-06,1252998,1263000,1242000,1256600,4882778
2026-04-07,1283770,1307100,1280128,1297000,8788494
2026-04-08,1257000,1286915,1255900,1278970,8633567
2026-04-11,1240001,1251000,1230000,1237112,5254236
2026-04-12,1280000,1280000,1258800,1259398,6001169
2026-04-13,1280160,1287600,1279000,1282750,6056903
2026-04-15,1260000,1264999,1251550,1253800,5251230
2026-04-18,1220000,1230750,1210000,1230600,7356720
2026-04-19,1245011,1245011,1217890,1219500,4977543
2026-04-20,1225000,1231300,1211009,1211950,5331401
2026-04-21,1213990,1213990,1204000,1206000,3760321
2026-04-22,1224000,1235001,1221000,1228800,6724159
2026-04-25,1231661,1234303,1224001,1226788,4132159
2026-04-26,1233000,1238800,1232000,1235168,4690159
