date,open,high,low,close,volume
2026-05-13,10000,10000,10000,10000,776597000
2026-07-20,12550,12590,12174,12345,122501670
2026-07-21,12427,12638,12196,12468,31208452
2026-07-22,12450,12490,12050,12430,49106455
2026-07-25,12499,12499,12396,12410,9853252
2026-07-26,12496,12649,12470,12495,20540660
2026-07-27,12534,12538,12370,12520,26211025
2026-07-28,12547,12547,12490,12490,18617310
2026-07-29,12531,12537,12500,12536,29278551
2026-08-01,12537,12849,12400,12838,4366927
2026-08-02,12920,12930,12756,12930,4111741
2026-08-03,13200,13288,12951,12979,17142041
2026-08-05,13180,13418,13120,13267,25432774
2026-08-08,13428,13610,13300,13500,11560444
2026-08-09,13482,13482,13064,13386,10279006
2026-08-10,13445,13520,13350,13426,5301712
2026-08-11,13580,13580,13083,13412,3412225
2026-08-15,13410,13453,13170,13411,6292766
2026-08-16,13421,13514,13415,13415,6010690
2026-08-17,13489,13843,13430,13843,10140064
2026-08-18,13987,13987,13854,13950,4131084
2026-08-19,14398,14398,13981,13981,7601544
2026-08-22,14065,14364,14050,14050,1043573
2026-08-23,14089,14488,14080,14146,12658340
2026-08-24,14348,14348,14000,14132,8688483
2026-08-25,14145,14214,14035,14051,7580679
2026-08-26,14125,14125,14029,14081,16853681
2026-08-29,14074,14088,13900,13919,4687277
2026-08-31,14000,14017,13964,14000,3360874
2026-09-01,14081,14081,14000,14001,2159686
2026-09-02,14000,14055,13951,14013,2674571
2026-09-05,14110,14110,14000,14010,794931
2026-09-06,14010,14061,14005,14010,1761358
2026-09-07,14000,14329,14000,14130,2437623
2026-09-08,14331,14331,14018,14095,1539935
2026-09-09,14180,14180,14000,14098,2200930
2026-09-12,14208,14208,14010,14089,3389009
2026-09-13,14208,14208,14011,14015,1616118
2026-09-14,14020,14157,14020,14036,462107
2026-09-15,14022,14089,14020,14037,357233413
2026-09-16,14442,14442,13940,14098,43749526
2026-09-19,14070,14074,14056,14074,1536878
2026-09-20,14120,14487,14108,14485,29088831
