date,open,high,low,close,volume
2025-11-16,15490,15740,15360,15740,1284593
2025-11-17,15800,15920,15610,15620,649066
2025-11-18,15710,15730,15530,15530,4054576
2025-11-19,15580,15700,15550,15700,10619137
2025-11-22,15720,15930,15500,15920,6407368
2025-11-23,15910,16220,15880,16220,7300725
2025-11-25,16250,16680,16250,16680,11940974
2025-11-26,16580,16790,16300,16470,2835752
2025-11-29,16480,16630,16290,16320,1549664
2025-11-30,16320,16520,16140,16510,2521238
2025-12-01,16600,16790,16560,16790,3223278
2025-12-02,16800,17020,16720,16860,951147
2025-12-03,17040,17310,17000,17300,1006002
2025-12-06,17300,17590,17260,17590,3104316
2025-12-07,17710,17990,17300,17420,18950574
2025-12-08,17350,17910,17350,17910,1216543
2025-12-09,17940,17990,17830,17860,969393
2025-12-10,17990,18350,17810,18330,30150566
2025-12-13,18330,18800,18330,18620,4231614
2025-12-14,18520,18770,18230,18660,2974330
2025-12-15,18670,19150,18480,19120,8000018
2025-12-16,19080,19520,18500,18700,7718858
2025-12-17,18860,19190,18860,19100,4258113
2025-12-20,19330,19520,19320,19520,16975890
2025-12-21,19770,20100,19640,19910,20725286
2025-12-22,20020,20240,19630,19900,19359202
2025-12-23,19900,20280,19800,20270,6649173
2025-12-24,20250,20690,20250,20690,13406585
2025-12-27,20750,21240,20510,21240,15897550
2025-12-28,21080,21680,21080,21680,10322498
2025-12-29,21610,21850,20880,20980,9917149
2025-12-30,20630,20960,20530,20530,4931856
2025-12-31,19950,21170,19950,21170,43024212
2026-01-04,21270,21600,20470,21360,11168775
2026-01-05,21650,21720,21650,21720,4257184
2026-01-06,22360,22360,22360,22360,4299885
2026-01-07,23030,23030,22360,23030,27498424
2026-01-10,22340,23230,22340,22340,15539761
2026-01-11,22590,23350,22500,23350,12665345
2026-01-12,23940,23940,23800,23940,63217159
2026-01-13,24410,24410,23230,23620,32548209
2026-01-14,23620,23620,23010,23010,6487704
2026-01-18,23460,23850,23370,23850,76069562
2026-01-19,24190,24440,23410,24020,16942998
2026-01-20,24020,24270,23430,23550,10032190
2026-01-21,23900,24070,23450,23920,12565139
2026-01-24,23180,23360,23180,23180,5586421
2026-01-25,22500,22500,22500,22500,4095744
2026-01-26,21830,21830,21830,21830,3972093
2026-01-27,21180,21180,21180,21180,5333104
2026-01-28,20550,21000,20550,20550,20324410
2026-01-31,20020,21170,19950,19950,8326114
2026-02-01,19950,21060,19950,21060,15315359
2026-02-02,21100,21310,21100,21310,8275943
2026-02-03,21930,21930,21680,21830,11325796
2026-02-07,22440,22440,22180,22440,23947456
2026-02-08,23110,23110,21920,22250,23186064
2026-02-09,22500,22500,22290,22290,5537470
2026-02-10,21640,22260,21640,21890,21542077
2026-02-14,22480,22480,21200,21200,5950110
2026-02-15,21290,21290,20880,20880,5190445
2026-02-16,21020,21140,20410,21110,6274910
2026-02-17,21080,21210,20710,21160,4781615
2026-02-18,21550,21550,20320,20490,17651736
2026-02-21,19910,20180,19910,19910,4265863
2026-02-22,19323,19476,19323,19476,6821441
2026-02-23,18858,19900,18858,19709,8765563
2026-02-24,19864,19864,19009,19382,15987349
2026-02-25,19773,19862,19460,19859,15206592
2026-05-19,19158,19158,19158,19158,636713
2026-05-20,18584,18584,18584,18584,1650574
2026-05-23,18520,19141,18520,19128,39850012
2026-05-24,19683,19683,19683,19683,4003282
2026-05-25,20273,20273,20011,20273,26276103
2026-05-26,19976,20881,19976,20881,20475481
2026-05-30,21319,21319,21319,21319,4373292
2026-05-31,21958,21958,21958,21958,12847534
2026-06-01,22616,22616,21961,22479,31020287
2026-06-02,22283,22988,21960,22300,17971793
2026-06-03,22202,22297,21809,21809,14593967
2026-06-06,22080,22600,21730,22520,18959620
2026-06-07,22645,22964,22645,22964,7692889
2026-06-08,22272,22272,22272,22272,6585734
2026-06-09,22940,22940,22940,22940,5359194
2026-06-10,23400,23628,23004,23628,27723780
2026-06-13,24256,24256,24256,24256,66321688
2026-06-14,24983,24983,24983,24983,142526524
2026-06-15,25732,25732,25732,25732,5202477
2026-06-16,26503,26503,25440,25798,140631583
2026-06-17,25700,26999,25428,26999,66337447
2026-06-20,27062,27062,25486,25486,54160557
2026-06-21,25150,25835,25096,25096,9585364
2026-06-22,24462,24888,24462,24509,45297902
2026-06-23,25170,25238,24344,25238,50454992
2026-06-27,25751,25751,24650,25546,55506851
2026-06-28,25888,25888,24875,24875,10894646
2026-06-29,24875,26007,24571,25368,7503192
2026-06-30,25890,26050,25300,26000,8836288
2026-07-01,26535,26535,26021,26379,6322490
2026-07-07,26789,27189,26632,27189,24139050
2026-07-08,26401,27147,26371,26371,22186258
