date,open,high,low,close,volume
2026-06-14,10000,10000,10000,10000,495000000
2026-06-15,10000,10000,10000,10000,500000000
2026-07-08,10440,10440,10200,10279,36208865
2026-07-11,10252,10252,10000,10078,15621284
2026-07-12,10150,10250,10098,10122,42233567
2026-07-13,10072,10118,10040,10083,6098733
2026-07-14,10170,10260,10115,10245,19065223
2026-07-15,10496,10697,10400,10568,31147684
2026-07-18,10886,10939,10710,10784,13418910
2026-07-19,10650,10799,10605,10646,14565599
2026-07-20,10550,10550,10280,10324,13544371
2026-07-21,10500,10570,10382,10538,8502172
2026-07-22,10690,10779,10650,10739,28841340
2026-07-25,10500,10630,10440,10466,10364771
2026-07-26,10360,10398,10214,10355,4157707
2026-07-27,10450,10574,10442,10555,10834885
2026-07-28,10560,10689,10505,10526,6994781
2026-07-29,10700,10740,10660,10693,1499200
2026-08-01,10770,10779,10674,10706,16462658
2026-08-02,10617,10617,10394,10488,5545163
2026-08-03,10534,10580,10492,10498,13823130
2026-08-05,10651,10651,10452,10471,1792865
2026-08-08,10720,10780,10659,10780,11404925
2026-08-09,10630,10755,10630,10655,3356308
2026-08-10,10654,10654,10500,10610,3031357
2026-08-11,10622,10829,10622,10790,42938904
2026-08-15,10940,11100,10860,10962,3309181
2026-08-16,10871,10985,10850,10882,4753015
2026-08-17,10906,10985,10800,10969,6521625
2026-08-18,11190,11190,10932,11063,25013896
2026-08-19,11025,11600,11025,11399,40045674
2026-08-22,11765,12088,11560,11998,15096500
2026-08-23,12329,12550,12329,12403,17509851
2026-08-24,12900,12900,12471,12509,4047871
2026-08-25,12899,12899,12071,12337,8712141
2026-08-26,12062,12475,12062,12337,5382884
2026-08-29,12367,12636,12367,12595,13604953
2026-08-31,12660,12950,12622,12888,12621001
2026-09-01,12840,12947,12607,12703,6176686
2026-09-02,12850,13011,12800,12929,7081335
2026-09-05,13500,13500,13201,13347,7996898
2026-09-06,13370,13370,13020,13135,6046473
2026-09-07,12980,13100,12786,13082,6342891
2026-09-08,13370,13370,13085,13190,5334739
2026-09-09,13501,13707,13351,13555,2215895
2026-09-12,13355,14018,13269,13450,7770656
2026-09-13,13210,13300,13094,13113,62182693
2026-09-14,13271,13450,13150,13213,21364068
2026-09-15,13107,13420,12981,13030,27830673
2026-09-16,13250,13370,13092,13235,4455512
2026-09-19,13500,13680,13410,13574,3914302
2026-09-20,13760,13990,13650,13650,30263017
