date,open,high,low,close,volume
2026-01-14,28880,28880,28539,28560,32195169
2026-01-18,28418,28418,28001,28220,29394387
2026-01-19,28890,28890,28299,28299,39488474
2026-01-20,28600,28600,28089,28488,31636530
2026-01-21,29101,29250,29059,29090,51227221
2026-01-24,30450,30450,30000,30069,41822726
2026-01-25,30290,30449,29700,30339,45359653
2026-01-26,30959,31880,30959,31790,75487132
2026-01-27,32500,33950,32490,33741,140845465
2026-01-28,36700,36700,34800,35390,118767408
2026-01-31,32300,35080,32300,34650,136045821
2026-02-01,33750,34540,33039,33412,104059195
2026-02-02,31990,32450,30610,31259,167903867
2026-02-03,32920,32920,32389,32850,132852323
2026-02-07,32000,33023,31900,32750,120412564
2026-02-08,33100,34365,33100,34300,104881458
2026-02-09,35396,35660,34719,35158,170123158
2026-02-10,35900,35900,35099,35359,104700038
2026-02-14,34989,34989,34479,34780,45369539
2026-02-15,35220,35656,35030,35449,56801068
2026-02-16,35000,35190,34749,34828,59554537
2026-02-17,34599,35400,34019,34400,194742846
2026-02-18,35497,35500,34859,35100,67699451
2026-02-21,36070,36199,35749,35812,86210161
2026-02-22,35701,35800,35539,35770,50408048
2026-02-23,35770,35770,35200,35235,59277121
2026-02-24,35510,35510,34890,35139,66022424
2026-02-25,35624,35624,34549,34609,81793348
2026-03-15,31452,31452,31452,31452,359138
2026-03-16,28307,29699,28307,29559,51604939
2026-03-17,29450,31955,29450,31955,40192324
2026-03-18,32988,33800,32000,33800,29263592
2026-03-25,31000,32110,31000,32000,42601032
2026-03-28,32000,32800,31649,31729,14654697
2026-03-29,31768,31768,30899,31119,24370865
2026-03-30,31480,31480,30888,30890,36012253
2026-03-31,31199,31200,30975,31130,17374545
2026-04-04,31200,32999,31200,32800,53486597
2026-04-05,32795,32795,32179,32320,27646281
2026-04-06,32563,32690,32312,32620,18660209
2026-04-07,32953,33999,32950,33629,22297235
2026-04-08,32410,33298,32410,33059,32396504
2026-04-11,32394,32394,31869,31969,22401196
2026-04-12,32980,33100,32509,32589,55748517
2026-04-13,33099,33269,33010,33089,19411825
2026-04-15,32410,32460,32299,32319,26347371
2026-04-18,31599,31720,31289,31720,40324932
2026-04-19,32200,32200,31400,31569,14916931
2026-04-20,31547,31699,31339,31369,25632408
2026-04-21,31349,31349,31170,31170,17325204
2026-04-22,31749,31960,31559,31819,56262257
2026-04-25,32189,32189,31666,31760,19954950
2026-04-26,32049,32059,31930,31950,21666032
2026-04-27,32100,33556,32100,33498,129779390
2026-04-28,34600,35500,34600,35427,121748703
2026-04-29,38000,38458,36699,36999,127098400
2026-05-02,38310,38590,38249,38546,185783848
2026-05-03,38800,39320,38729,39140,93873036
2026-05-04,39371,39371,38239,38250,178931062
2026-05-05,37139,37310,36390,36530,101406112
2026-05-06,37573,37573,35220,36019,171974603
2026-05-09,36720,36802,36499,36549,84381910
2026-05-10,36650,36650,36190,36500,64237855
2026-05-11,37199,37739,37199,37650,64729951
2026-05-12,37500,37520,37039,37080,76386663
2026-05-13,36620,36655,36400,36576,55074635
2026-05-16,36000,36200,35800,35979,42989695
2026-05-17,36000,36080,35740,35818,40804921
2026-05-18,35797,35797,34800,34919,56002225
2026-05-19,35120,35120,34700,34720,127200847
2026-05-20,34920,35619,34920,35379,62183611
2026-05-23,35200,35200,34219,34319,62605372
2026-05-24,32899,33160,32600,33119,81002219
2026-05-25,34500,34500,32920,33180,108737818
2026-05-26,33300,33300,32938,33082,54609872
2026-05-30,32798,32800,32370,32647,67658855
2026-05-31,32698,32870,32580,32870,48253029
2026-06-01,33400,35865,33378,34443,159028140
2026-06-02,34500,34500,33750,33859,65925093
2026-06-03,33698,34048,33598,33858,96609805
2026-06-06,33248,33250,32780,32850,101890858
2026-06-07,33398,33750,33248,33718,44582771
2026-06-08,33450,33450,32828,33170,72992885
2026-06-09,33178,33189,32808,32869,55039460
2026-06-10,32648,32718,32448,32570,49280343
2026-06-13,31700,31700,30618,30710,101999631
2026-06-14,30500,31400,30318,31348,89667901
2026-06-15,29610,30468,29515,30110,52913790
2026-06-16,29549,29610,28668,28700,50958604
2026-06-17,29298,29898,29298,29520,99852104
2026-06-20,30700,30700,29560,29901,70697862
2026-06-21,29352,29353,28909,29000,26354238
2026-06-22,29130,29290,28770,28830,48335195
2026-06-23,29000,29069,28578,28878,39317540
2026-06-27,29647,29648,29300,29348,26474178
2026-06-28,30100,30970,30100,30968,60086010
2026-06-29,30470,30899,29952,30018,107918025
2026-06-30,30060,30765,30060,30508,98241857
2026-07-01,31050,31180,31018,31141,61597880
2026-07-07,31623,32218,31623,32218,51766235
2026-07-08,32300,32957,32300,32698,124283240
2026-07-11,32000,32251,31928,32158,64370733
2026-07-12,32164,32708,32161,32331,72146086
2026-07-13,32000,32209,31984,32209,100216858
2026-07-14,32550,32950,32548,32948,43204348
2026-07-15,33430,34194,33430,34004,57830588
2026-07-18,34780,35099,34408,34750,65384724
2026-07-19,34000,34235,33880,33950,30610519
2026-07-20,33400,33611,32609,32749,57507731
2026-07-21,33050,33493,32902,33413,29820771
2026-07-22,33861,34200,33861,34142,19752005
2026-07-25,33584,33584,33068,33282,94229592
2026-07-26,32770,33014,32488,32818,23192092
2026-07-27,33063,33490,33063,33373,10433947
2026-07-28,33619,33619,33250,33379,30983740
2026-07-29,33760,34199,33760,33833,11713154
2026-08-01,34050,34317,33918,34076,8836316
2026-08-02,33482,33540,33000,33498,30889652
2026-08-03,33790,33790,33305,33418,15176897
2026-08-05,33254,33390,33021,33150,18442121
2026-08-08,33950,34049,33712,33773,26070822
2026-08-09,33799,33827,33374,33762,18213753
2026-08-10,33830,33831,33460,33546,17091043
2026-08-11,34031,34445,33961,34445,27948689
2026-08-15,34518,34927,34518,34900,33751580
2026-08-16,34800,34866,34589,34757,78593618
2026-08-17,34690,34980,34677,34976,15156545
2026-08-18,35068,35400,35068,35400,11450445
2026-08-19,35550,36400,35550,36400,25915129
2026-08-22,37196,38700,37196,38500,50081905
2026-08-23,39247,40077,39247,39606,54539340
2026-08-24,40300,40567,39698,39898,74835153
2026-08-25,40490,40490,38298,38800,91747385
2026-08-26,38250,39746,37823,39500,22945711
2026-08-29,39746,40277,39193,40261,26465324
2026-08-31,40308,41300,40308,41240,19358936
2026-09-01,41100,41100,40256,40599,29984182
2026-09-02,41500,41949,40851,41366,50348827
2026-09-05,42211,42494,42100,42448,50514031
2026-09-06,42297,42297,41328,41594,48265858
2026-09-07,41250,41778,40928,41755,21148092
2026-09-08,42000,42398,41758,42309,12573998
2026-09-09,42880,43697,42880,43030,59662145
2026-09-12,42999,43220,42350,42888,30060703
2026-09-13,42430,42430,41780,41960,16572627
2026-09-14,42745,42745,41700,41827,13617973
2026-09-15,41600,41600,41130,41197,18072591
2026-09-16,41700,41850,41197,41850,10252515
2026-09-19,42027,43335,42027,43330,70457316
2026-09-20,43750,44347,43518,43559,22934827
