date,open,high,low,close,volume
2025-12-03,10098,10107,10044,10066,1199937
2025-12-06,10089,10113,10075,10106,1283957
2025-12-07,10161,10161,10039,10080,1833808
2025-12-08,10163,10163,10075,10080,436231
2025-12-09,10154,10383,10082,10383,17429145
2025-12-10,10528,10664,10505,10664,26755527
2025-12-13,10916,10916,10489,10506,20584804
2025-12-14,10418,10705,10322,10572,17998352
2025-12-15,10585,10857,10585,10768,25891161
2025-12-16,10707,10948,10395,10489,19950686
2025-12-17,10423,10881,10423,10768,15258059
2025-12-20,10831,11052,10831,11052,22233217
2025-12-21,11059,11171,10868,10934,23702117
2025-12-22,10975,11039,10737,10885,7740011
2025-12-23,10903,11108,10804,10975,13152551
2025-12-24,11011,11224,11001,11090,24298841
2025-12-27,11180,11326,10997,11016,11710473
2025-12-28,10957,11099,10887,10930,6354032
2025-12-29,10971,10975,10639,10639,6297299
2025-12-30,10525,10525,10429,10429,3116159
2025-12-31,10235,10728,10235,10570,3713593
2026-01-04,10696,10696,10232,10339,4418228
2026-01-05,10417,10674,10417,10674,4646509
2026-01-06,10763,10949,10616,10898,7016444
2026-01-07,10966,10966,10545,10560,5109615
2026-01-10,10507,10507,10264,10264,1230182
2026-01-11,10325,10345,10240,10331,1043935
2026-01-12,10387,10522,10347,10418,2490421
2026-01-13,10425,10521,10268,10346,1197542
2026-01-14,10291,10367,10255,10255,846413
2026-01-18,10352,10503,10273,10310,2795979
2026-01-19,10461,10461,10300,10363,666521
2026-01-20,10304,10423,10300,10360,294971
2026-01-21,10429,10651,10390,10651,7098109
2026-01-24,10657,10657,10286,10286,3358779
2026-01-25,10337,10337,10125,10225,459317
2026-01-26,10122,10194,9985,9985,933637
2026-01-27,9964,10334,9964,10194,1383605
2026-01-28,10489,10489,9884,9884,1765792
2026-01-31,10192,10192,9890,9895,1276796
2026-02-01,9885,10141,9885,10068,2189954
2026-02-02,10210,10343,10107,10343,4406432
2026-02-03,10362,10444,10051,10165,4842331
2026-02-07,10265,10509,10265,10509,6262712
2026-02-08,10777,10777,10201,10256,6200870
2026-02-09,10192,10342,10106,10118,2951783
2026-02-10,10156,10273,10121,10145,1952695
2026-02-14,10246,10423,10228,10300,2356409
2026-02-15,10344,10635,10294,10635,6815409
2026-02-16,10679,10882,10527,10882,10283535
2026-02-17,10926,11157,10898,10925,15463456
2026-02-18,11097,11169,10764,10885,5111640
2026-02-21,10875,10875,10640,10640,2940494
2026-02-22,10346,10570,10346,10352,2650230
2026-02-23,10444,10462,10327,10368,631255
2026-02-24,10336,10369,10317,10318,244243
2026-02-25,10262,10327,10028,10093,11904856
2026-05-02,10436,10436,10436,10436,2558495
2026-05-03,10749,10749,10749,10749,2614097
2026-05-04,11071,11071,11071,11071,3327276
2026-05-05,11403,11403,11179,11403,13262241
2026-05-06,11712,11712,11655,11712,12253397
2026-05-09,12062,12062,12062,12062,2630735
2026-05-10,12423,12423,12423,12423,2579726
2026-05-11,12796,12796,12796,12796,8460623
2026-05-12,13179,13179,13179,13179,2743599
2026-05-13,13574,13574,12784,12999,78140501
2026-05-16,12990,13520,12804,13520,41383596
2026-05-17,13512,13729,13368,13729,44686834
2026-05-18,13773,14078,13259,13259,42808689
2026-05-19,13335,13335,13335,13335,2711353
2026-05-20,12935,12935,12935,12935,2700500
2026-05-23,12547,13318,12547,12759,61279095
2026-05-24,12774,13061,12478,12478,29857800
2026-05-25,12479,12588,12289,12289,14382190
2026-05-30,12665,12665,12665,12665,2758209
2026-05-31,13000,13040,12668,12808,13660119
2026-06-01,12893,12893,12531,12531,9220027
2026-06-02,12250,12530,12207,12211,13036201
2026-06-03,12201,12207,11928,11928,9344335
2026-06-06,11975,12335,11800,12288,20933604
2026-06-07,12400,12486,12379,12382,11632537
2026-06-08,12044,12044,12044,12044,2737084
2026-06-09,12390,12404,12181,12385,12957027
2026-06-10,12380,12506,11973,12104,44756510
2026-06-13,12222,12588,12222,12588,30727069
2026-06-14,12840,12870,12367,12472,75653231
2026-06-15,12880,13123,12820,13123,43261793
2026-06-16,13148,13310,12669,12669,13846347
2026-06-17,12429,12429,12429,12429,2668052
2026-06-20,12060,12220,12057,12057,12683943
2026-06-21,11720,11896,11719,11719,9467251
2026-06-22,11500,12071,11369,12071,103096871
2026-06-23,11681,12078,11638,11638,87874827
2026-06-27,11450,11883,11365,11427,108314136
2026-06-28,11255,11590,11212,11321,64101538
2026-06-29,11400,11440,11148,11244,26582615
2026-06-30,11350,11410,11089,11237,17028810
2026-07-01,11260,11260,11120,11138,15774969
2026-07-07,11120,11449,11120,11380,28541402
2026-07-08,11206,11236,11030,11030,17513115
2026-07-11,10890,11354,10769,11220,25017480
2026-07-12,10950,11420,10800,11250,39988012
2026-07-13,11260,11541,11241,11376,25855850
2026-07-14,11253,11442,11253,11342,15424926
2026-07-15,11336,11393,11076,11129,18944391
2026-07-18,10817,10985,10817,10817,16587303
2026-07-19,10600,11019,10600,10895,8824266
2026-07-20,11018,11147,10813,11026,22528535
2026-07-21,11090,11274,11020,11258,19513289
2026-07-22,11450,11450,10923,10977,15991399
2026-07-25,10986,11127,10904,10959,14283782
2026-07-26,11100,11312,11100,11312,21657660
2026-07-27,11450,11450,11112,11247,22256411
2026-07-28,11269,11343,11150,11218,26497590
2026-07-29,11161,11222,11046,11050,10993658
2026-08-01,11095,11096,10992,10992,12004627
2026-08-02,11126,11300,11056,11194,32376665
2026-08-03,11296,11455,11234,11363,33516872
2026-08-05,11460,11708,11460,11708,29444135
2026-08-08,11888,11993,11688,11985,34527255
2026-08-09,11951,11951,11592,11592,16259343
2026-08-10,11286,11554,11284,11463,34777464
2026-08-11,11498,11498,11285,11309,18114120
2026-08-15,11439,11478,11246,11377,15378744
2026-08-16,11400,11595,11306,11502,29324320
2026-08-17,11567,11665,11489,11495,29093415
2026-08-18,11490,11500,11280,11333,24902654
2026-08-19,11349,11400,11295,11349,12085654
2026-08-22,11349,11526,11349,11449,36954682
2026-08-23,11452,11794,11350,11772,61249628
2026-08-24,11804,11940,11690,11940,71311083
2026-08-25,12215,12215,11850,12093,75084368
2026-08-26,12002,12271,12002,12135,68441585
2026-08-29,12130,12180,11951,12063,44178857
2026-08-31,12000,12138,11741,11831,49681848
2026-09-01,11896,12185,11761,12185,64841210
2026-09-02,12050,12308,11903,12029,50856886
2026-09-05,12100,12296,12011,12107,55905267
2026-09-06,12143,12399,12051,12300,56460796
2026-09-07,12385,12646,12347,12646,49870075
2026-09-08,12701,12760,12450,12492,56853539
2026-09-09,12380,12570,12251,12358,42710951
2026-09-12,12401,12615,12356,12500,33587545
2026-09-13,12650,12650,12362,12407,32400346
2026-09-14,12485,12485,12136,12137,26364543
2026-09-15,12169,12280,12157,12187,21721086
2026-09-16,12229,12257,11859,12011,21637986
2026-09-19,12096,12123,11800,11901,6448785
2026-09-20,11730,12287,11730,12287,85024241
