date,open,high,low,close,volume
2026-01-14,126999,127100,125032,125318,41262653
2026-01-18,124650,124650,123001,123469,43557544
2026-01-19,126029,126200,123580,123801,30684468
2026-01-20,124100,125000,123010,124800,28469870
2026-01-21,128510,128550,127238,127778,52204586
2026-01-24,133920,134000,132200,132726,56556481
2026-01-25,132955,134123,131775,133660,47748258
2026-01-26,137102,140200,137102,139890,84369637
2026-01-27,144500,149000,144250,148433,103142436
2026-01-28,160402,160402,151000,155100,132367514
2026-01-31,142220,155666,142220,153004,105859694
2026-02-01,148900,152652,145460,146549,98837069
2026-02-02,139470,142099,133818,136111,127776000
2026-02-03,143000,144602,142021,144234,88365091
2026-02-07,140300,144999,140300,143186,56209334
2026-02-08,145081,150989,144994,150986,63975262
2026-02-09,156199,157999,153010,154740,70410705
2026-02-10,157850,157900,153824,156002,66403674
2026-02-14,154111,154500,151480,152781,50514008
2026-02-15,154500,156000,153300,155301,57465802
2026-02-16,153946,154400,152000,152334,31717183
2026-02-17,152170,154900,147903,151327,71005444
2026-02-18,154500,154920,152180,153082,38634942
2026-02-21,156755,157300,156100,156230,61009199
2026-02-22,156228,156289,155201,156257,25694266
2026-02-23,155050,155050,153690,153696,34862790
2026-02-24,154500,154899,152400,152800,33523247
2026-02-25,154900,154900,150200,150500,46437951
2026-03-15,137222,137222,137222,137222,9940047
2026-03-16,123500,126900,123500,126680,86830241
2026-03-17,125944,137040,125944,135190,45391826
2026-03-18,138100,144087,137222,142800,32672364
2026-03-25,133850,139000,133850,137690,19509723
2026-03-28,138000,140000,137200,137620,14137414
2026-03-29,137100,137500,132837,134349,16682533
2026-03-30,134350,135498,133751,133897,14887847
2026-03-31,135500,135800,134420,135730,13456718
2026-04-04,135730,143800,135730,142121,25715062
2026-04-05,142130,142131,139203,140477,15092587
2026-04-06,141749,142000,139898,141237,24363036
2026-04-07,142997,146798,142997,145655,23295258
2026-04-08,143400,144500,141000,143651,27275270
2026-04-11,140998,140998,138400,139073,23091790
2026-04-12,143384,143870,142000,142231,21236744
2026-04-13,144000,145541,143801,144707,21820869
2026-04-15,142700,142700,141000,141105,19731586
2026-04-18,137000,138900,136350,138800,44973007
2026-04-19,140000,140449,137700,137880,16439292
2026-04-20,138040,138288,137000,137101,14559418
2026-04-21,136800,137000,136156,136172,23712590
2026-04-22,138245,139240,137995,138459,34602509
2026-04-25,138670,138899,137702,138001,17698429
2026-04-26,138400,139970,138400,139151,22019003
2026-04-27,139602,146250,139602,145748,60002182
2026-04-28,152990,155000,150723,154897,82480412
2026-04-29,168449,168449,160050,162008,89850308
2026-05-02,168448,170989,167000,169000,81091086
2026-05-03,171900,173000,169500,171699,74804112
2026-05-04,171450,171450,166500,167000,50579353
2026-05-05,162900,163990,158325,159350,69980105
2026-05-06,162000,162795,153750,157600,67158940
2026-05-09,160964,160964,159605,160139,50017850
2026-05-10,158926,159500,158301,159240,45142200
2026-05-11,163014,164655,163000,164600,85643112
2026-05-12,164600,164600,161931,162217,66382716
2026-05-13,160731,160731,159700,160483,40221107
2026-05-16,158801,158801,157000,157130,60378303
2026-05-17,156927,157638,156354,156698,22049844
2026-05-18,154930,155500,152120,153380,26166939
2026-05-19,153500,153500,151500,152231,19603729
2026-05-20,152680,155899,152678,154600,25478939
2026-05-23,151400,152499,149530,150117,30185866
2026-05-24,142700,145500,142700,145203,44336339
2026-05-25,150488,150488,144211,145000,46370864
2026-05-26,145001,145505,144365,144579,39562661
2026-05-30,143709,144200,141511,143312,55911371
2026-05-31,143300,144760,143100,144677,17856298
2026-06-01,146899,150300,146802,150189,36698431
2026-06-02,149993,150555,148503,148600,23901710
2026-06-03,148800,149591,147868,148940,26216838
2026-06-06,145800,145900,144080,144400,26381475
2026-06-07,145897,148933,145550,148305,21331716
2026-06-08,147000,147000,144080,145518,23478675
2026-06-09,145900,145900,144008,144028,26923761
2026-06-10,142301,143898,141700,143572,22934767
2026-06-13,138900,138995,134500,135026,39207949
2026-06-14,133111,138114,132899,137600,44854143
2026-06-15,129900,134300,129887,132222,34291855
2026-06-16,130217,131000,126600,126799,43625261
2026-06-17,129000,131986,128720,130008,40627149
2026-06-20,133800,133881,129750,131500,30676576
2026-06-21,129110,130000,126850,127299,21261214
2026-06-22,127013,129000,126811,126930,22894721
2026-06-23,126000,129235,125866,127080,16984851
2026-06-27,130100,130350,128900,129086,19627232
2026-06-28,134100,136998,132996,136710,40711561
2026-06-29,134000,134480,132070,132075,30411235
2026-06-30,132999,135500,132501,134198,23637146
2026-07-01,136700,137737,136688,137170,27640392
2026-07-07,139500,141420,139299,141246,21153786
2026-07-08,144950,145000,143212,143866,30307873
2026-07-11,140000,141567,140000,141147,17992925
2026-07-12,141888,143500,141888,142158,21665048
2026-07-13,141500,141669,140888,141500,11204010
2026-07-14,142789,144850,142789,144750,31476081
2026-07-15,150000,150030,148482,149040,44614944
2026-07-18,153000,154298,151264,152800,43003417
2026-07-19,150696,150696,148700,149200,34225924
2026-07-20,146000,146000,143601,144092,30867726
2026-07-21,145000,147200,144733,147195,19983353
2026-07-22,150200,150477,149000,150023,21769439
2026-07-25,145932,146900,145856,146180,19441710
2026-07-26,143900,145000,142822,144350,26350845
2026-07-27,145950,147237,145820,146950,20184878
2026-07-28,147749,147880,145985,145986,19274076
2026-07-29,148850,149501,148467,148900,29959243
2026-08-01,150000,153000,149375,149600,25672199
2026-08-02,147111,147774,145702,147635,25572441
2026-08-03,147999,148081,147150,147401,21271908
2026-08-05,147864,147864,145713,145959,23945748
2026-08-08,149800,149800,148400,148480,27615225
2026-08-09,148499,149190,148001,148780,30390329
2026-08-10,148940,148940,147293,147500,19779350
2026-08-11,149200,151077,149000,150850,32939722
2026-08-15,151510,153619,151510,153390,34063709
2026-08-16,151521,153210,151500,152628,25790094
2026-08-17,153200,154110,152013,153981,27397886
2026-08-18,154400,155754,154400,155754,49646103
2026-08-19,157950,160200,157200,159952,81210235
2026-08-22,165450,170802,165186,169251,91698009
2026-08-23,174850,177440,174000,174200,80774173
2026-08-24,181000,181000,174555,175601,60392792
2026-08-25,176850,176853,166720,168794,71780838
2026-08-26,166992,173000,166188,172043,47270018
2026-08-29,173000,176415,172070,176415,42153761
2026-08-31,177250,181830,177250,181351,68759662
2026-09-01,180000,180840,176149,177991,50577449
2026-09-02,181748,183288,180640,182001,57131380
2026-09-05,185005,187990,185005,187650,53000635
2026-09-06,186888,186942,181000,182800,59272525
2026-09-07,180810,184090,180600,183509,34672717
2026-09-08,184490,187500,184490,186531,57502889
2026-09-09,190100,193391,190100,190598,42021766
2026-09-12,188995,191850,188110,189050,45081800
2026-09-13,186000,186010,184500,184681,40552212
2026-09-14,186828,187488,184004,184589,50040505
2026-09-15,183588,184055,182500,182813,41120469
2026-09-16,184003,187765,184003,185750,30834370
2026-09-19,188000,192301,188000,192135,51661504
2026-09-20,196650,196650,190301,192099,65969186
