date,open,high,low,close,volume
2025-12-20,38100,38100,38100,38100,47760525
2025-12-21,38133,38145,38131,38145,9794128
2025-12-22,38178,38178,38176,38176,2570271
2025-12-23,38211,38221,38211,38211,3561735
2025-12-24,38246,38256,38246,38247,8604276
2025-12-27,38362,38362,38352,38353,1533135
2025-12-28,38388,38399,38388,38388,30523573
2025-12-29,38423,38433,38423,38433,550681
2025-12-30,38469,38469,38459,38460,57596851
2025-12-31,38504,38504,38494,38494,14580566
2026-01-04,38636,38646,38636,38646,2209664
2026-01-05,38672,38682,38672,38672,1948236
2026-01-06,38708,38718,38708,38710,1591787
2026-01-07,38743,38753,38743,38743,17298652
2026-01-10,38851,38861,38851,38851,981220
2026-01-11,38896,38896,38886,38886,14149502
2026-01-12,38922,38932,38922,38932,8875855
2026-01-13,38958,38968,38958,38968,368549
2026-01-14,38994,39004,38994,38994,15471991
2026-01-18,39138,39148,39138,39138,1485534
2026-01-19,39184,39184,39174,39184,26351854
2026-01-20,39210,39220,39210,39210,5877741
2026-01-21,39257,39257,39247,39250,11204915
2026-01-24,39355,39365,39355,39355,13259644
2026-01-25,39391,39401,39391,39401,1156697
2026-01-26,39428,39438,39428,39438,13690652
2026-01-27,39474,39474,39464,39474,637915
2026-01-28,39501,39511,39501,39501,19807057
2026-01-31,39610,39620,39610,39620,3864165
2026-02-01,39646,39656,39646,39646,5877390
2026-02-02,39683,39693,39683,39693,10632900
2026-02-03,39730,39730,39720,39730,9344717
2026-02-07,39866,39876,39866,39875,845571
2026-02-08,39913,39913,39903,39903,1796849
2026-02-09,39950,39950,39940,39950,173982
2026-02-10,39977,39987,39977,39977,3566265
2026-02-14,40133,40134,40124,40124,1152062
2026-02-15,40171,40171,40161,40170,136540
2026-02-16,40209,40249,40199,40199,54637827
2026-02-17,40246,40246,40236,40236,3143017
2026-02-18,40283,40283,40273,40273,6957767
2026-02-21,40347,40357,40347,40347,228730
2026-02-22,40421,40431,40421,40421,195938
2026-02-23,40459,40469,40459,40459,15333045
2026-02-24,40506,40506,40496,40496,710147
2026-02-25,40533,40543,40533,40533,9830720
2026-05-19,40615,40626,40615,40626,29304408
2026-05-20,40706,40706,40696,40706,310027
2026-05-23,40870,40870,40860,40870,11468117
2026-05-24,40952,40952,40942,40952,2542690
2026-05-25,41032,41100,41032,41052,6755314
2026-05-26,41247,41247,41237,41247,5421114
2026-05-30,41337,41338,41327,41338,46619239
2026-05-31,41638,42490,41620,42100,11319934
2026-06-01,42568,42900,42126,42136,21127504
2026-06-02,42457,43425,42437,42910,12151559
2026-06-03,43021,43600,43020,43599,3506304
2026-06-06,43953,44399,43630,44330,1960611
2026-06-07,44111,44120,43890,44000,5744660
2026-06-08,44090,44150,44050,44051,15899183
2026-06-09,44560,44650,44560,44650,27161510
2026-06-10,44663,44663,44618,44663,1443811
2026-06-13,44720,44720,44680,44688,6756265
2026-06-14,45900,45900,44770,44775,7112418
2026-06-15,44868,44869,44815,44869,9969102
2026-06-16,44856,44910,44855,44855,5365002
2026-06-17,44951,44952,44920,44935,5363758
2026-06-20,45020,45076,45020,45075,3794404
2026-06-21,45064,45148,45064,45132,4412328
2026-06-22,45166,45167,45105,45159,7215488
2026-06-23,45201,45201,45160,45201,25073012
2026-06-27,45310,45368,45310,45368,3867035
2026-06-28,45355,45410,45355,45355,2810661
2026-06-29,45410,45452,45400,45452,3162799
2026-06-30,45445,45493,45440,45493,9864926
2026-07-01,45480,45535,45480,45515,5517179
2026-07-07,45730,45788,45730,45732,2622742
2026-07-08,45830,45831,45775,45776,6004944
2026-07-11,45900,45956,45900,45953,4637700
2026-07-12,45999,46440,45951,46000,6702878
2026-07-13,46042,46999,46021,46999,3890619
2026-07-14,46085,46085,46030,46031,3238126
2026-07-15,46100,46126,46075,46077,833620
2026-07-18,46200,46250,46180,46200,16205405
2026-07-19,46298,46298,46240,46241,1789600
2026-07-20,46285,46340,46285,46340,1357838
2026-07-21,46330,46383,46330,46360,309946
2026-07-22,46370,46426,46370,46415,1133952
2026-07-25,46500,46554,46500,46500,3118218
2026-07-26,46597,46597,46540,46564,710914
2026-07-27,46580,46630,46580,46581,2381873
2026-07-28,46683,46715,46630,46680,4148801
2026-07-29,46726,46726,46670,46724,240267
2026-08-01,46800,46839,46800,46839,3043605
2026-08-02,46896,46899,46840,46888,33286338
2026-08-03,46942,46942,46885,46917,547137
2026-08-05,46990,47029,46970,47029,3492852
2026-08-08,47100,47159,47100,47159,5748699
2026-08-09,47202,47202,47140,47188,4780614
2026-08-10,47190,47245,47190,47240,934178
2026-08-11,47230,47284,47230,47231,5149631
2026-08-15,47405,47464,47405,47464,3786001
2026-08-16,47450,47508,47450,47450,6805308
2026-08-17,47495,47552,47485,47496,3635712
2026-08-18,47541,47595,47540,47595,17036394
2026-08-19,47639,47639,47580,47580,2491930
2026-08-22,47715,47770,47715,47759,445080
2026-08-23,47813,48799,47761,47762,7810517
2026-08-24,47859,47859,47805,47826,4216863
2026-08-25,47900,47904,47845,47904,4287256
2026-08-26,47893,47948,47891,47948,3372948
2026-08-29,48080,48080,48020,48080,2560719
2026-08-31,48111,48969,48110,48169,7436228
2026-09-01,48155,48214,48155,48210,3456893
2026-09-02,48254,48258,48200,48258,1044811
2026-09-05,48335,48392,48335,48392,1319419
2026-09-06,48436,48436,48380,48380,11848156
2026-09-07,48480,48481,48421,48431,1276125
2026-09-08,48470,49140,48470,48526,7584056
