date,open,high,low,close,volume
2026-06-30,10000,10000,10000,10000,495000000
2026-07-01,10000,10000,10000,10000,500000000
2026-07-28,10290,10290,10022,10024,153387476
2026-07-29,10160,10268,10101,10215,26980792
2026-08-01,10202,10298,10202,10222,13415353
2026-08-02,10100,10200,10019,10179,11346489
2026-08-03,10100,10200,10100,10160,8834128
2026-08-05,10169,10178,10108,10109,13934131
2026-08-08,10279,10290,10240,10255,18736805
2026-08-09,10133,10218,10133,10214,8539524
2026-08-10,10230,10230,10160,10165,5542308
2026-08-11,10246,10356,10221,10343,25773490
2026-08-15,10399,10492,10399,10450,14527746
2026-08-16,10400,10449,10370,10432,8957785
2026-08-17,10440,10527,10438,10512,12524150
2026-08-18,10502,10630,10501,10608,13781520
2026-08-19,10680,10928,10680,10920,23410642
2026-08-22,11400,11698,11226,11531,32273585
2026-08-23,12002,12256,11908,12039,23015211
2026-08-24,12940,12940,12111,12124,35928097
2026-08-25,12263,12263,11603,11720,84016224
2026-08-26,11500,11980,11400,11903,14969321
2026-08-29,11750,12120,11750,12047,15509209
2026-08-31,12086,12480,12086,12355,19892402
2026-09-01,12267,12366,12004,12260,29400136
2026-09-02,12399,12670,12361,12470,19856358
2026-09-05,12700,12900,12700,12853,12264742
2026-09-06,12875,12875,12600,12653,10145002
2026-09-07,12502,12730,12402,12677,14151697
2026-09-08,12750,12870,12660,12840,9973408
2026-09-09,13000,13268,13000,13111,8470131
2026-09-12,13090,13150,12900,13030,13723235
2026-09-13,12850,12900,12712,12712,8064195
2026-09-14,12750,12980,12620,12678,96674589
2026-09-15,12501,12590,12292,12433,36963338
2026-09-16,12580,12721,12456,12550,12805427
2026-09-19,12721,13008,12600,12989,31088491
2026-09-20,13116,13300,12952,12985,26935678
