date,open,high,low,close,volume
2025-11-16,24978,25887,24410,25887,167495385
2025-11-17,26199,26282,24901,24910,199650898
2025-11-18,24900,25349,24675,24675,104411775
2025-11-19,25000,25473,24630,25100,96047773
2025-11-22,25300,26001,24900,25248,103357887
2025-11-23,25820,26534,25820,26534,104710086
2025-11-25,27419,27419,27180,27419,174282402
2025-11-26,27970,28450,26851,27738,324818097
2025-11-29,27845,28561,27350,27414,195538140
2025-11-30,27690,28800,27050,28679,204754109
2025-12-01,29217,29217,28942,29217,176102267
2025-12-02,29410,30366,29200,30088,222672064
2025-12-03,30300,31233,30300,31233,165536083
2025-12-06,31800,32077,31553,32077,109982782
2025-12-07,33000,33200,30722,30722,357139370
2025-12-08,31290,32247,30890,31940,234553399
2025-12-09,32100,32580,30996,31197,163258955
2025-12-10,31000,32580,30970,31724,191205541
2025-12-13,32188,33232,32100,33232,211631501
2025-12-14,33350,33998,32211,33635,198313303
2025-12-15,33600,34682,33600,34682,117268854
2025-12-16,35300,35813,33059,33320,297821913
2025-12-17,33870,34700,33300,34065,206533092
2025-12-20,34810,35429,34810,35429,67564484
2025-12-21,36745,36745,35700,36685,229427499
2025-12-22,37300,37930,35290,36180,287168846
2025-12-23,36455,37944,35960,37944,202466217
2025-12-24,38750,38834,38460,38834,47564626
2025-12-27,40347,40347,39800,40347,156699456
2025-12-28,41000,41919,40600,41919,134478260
2025-12-29,43002,43407,40069,40150,462729941
2025-12-30,39672,39672,39672,39672,15096382
2025-12-31,38086,41258,38086,41258,384500915
2026-01-04,40144,41151,38158,39999,374446585
2026-01-05,40835,40835,40835,40835,13363644
2026-01-06,42468,42468,42468,42468,8447844
2026-01-07,44166,44166,43700,44166,302962165
2026-01-10,42389,45356,42389,42389,405973629
2026-01-11,43600,44946,43500,44946,299437003
2026-01-12,46525,46525,46250,46525,62691900
2026-01-13,48348,48384,45187,46400,467370920
2026-01-14,45350,45800,45288,45288,184146945
2026-01-18,47121,47121,46711,47121,181220480
2026-01-19,48298,48987,45680,47337,390685172
2026-01-20,47580,48290,45818,45818,341072715
2026-01-21,45500,46699,44707,45100,322159324
2026-01-24,43410,43800,43410,43410,36900987
2026-01-25,41678,41678,41678,41678,1599117
2026-01-26,40011,40011,40011,40011,2069515
2026-01-27,38411,38411,38411,38411,3306058
2026-01-28,36875,37080,36875,36875,271389536
2026-01-31,36900,37950,35407,35407,75834269
2026-02-01,35990,37500,34926,36550,364540355
2026-02-02,36898,37476,36650,37476,188062512
2026-02-03,38676,38676,36510,37320,227904309
2026-02-07,39157,39157,39157,39157,90406055
2026-02-08,40723,40723,38300,38910,325140776
2026-02-09,38900,39300,38414,38414,16558713
2026-02-10,36994,37880,36994,37251,275267462
2026-02-14,38210,38610,35640,35737,252647098
2026-02-15,35812,36000,35763,35763,12369214
2026-02-16,34369,35300,34369,34800,253079660
2026-02-17,34950,35240,34000,34999,110003576
2026-02-18,34950,35229,33291,33291,98526228
2026-02-21,32584,32584,32584,32584,891143
2026-02-22,31281,31400,31281,31300,162202005
2026-02-23,31900,32535,30910,32509,179800081
2026-02-24,31600,31938,30661,30661,120452642
2026-02-25,30200,31983,30200,31983,113877608
2026-05-19,30296,30296,30296,30296,37434493
2026-05-20,29085,30200,29085,29910,463110739
2026-05-23,30444,30444,30444,30444,25020730
2026-05-24,31661,31661,31661,31661,1885404
2026-05-25,32927,32927,32927,32927,21298869
2026-05-26,34244,34244,33333,34244,96413848
2026-05-30,35580,35580,35580,35580,2272509
2026-05-31,37003,37003,37003,37003,3776217
2026-06-01,38483,38483,38173,38483,154755736
2026-06-02,39940,40021,39411,40021,182394536
2026-06-03,40300,41557,39400,41230,280750209
2026-06-06,41900,42678,40320,42678,114685905
2026-06-07,43486,43486,43486,43486,2987505
2026-06-08,41747,43480,41747,41747,208567491
2026-06-09,43586,43586,43586,43586,20336982
2026-06-10,45329,45329,45329,45329,50233959
2026-06-13,47142,47142,47142,47142,5461227
2026-06-14,49027,49027,49027,49027,7630290
2026-06-15,50988,50988,50988,50988,1650244
2026-06-16,53027,53027,52766,53027,129136091
2026-06-17,55041,55142,54010,55142,135275274
2026-06-20,57243,57243,52841,55996,524262685
2026-06-21,54399,54998,53027,53027,192565322
2026-06-22,51253,52500,51253,51573,262990565
2026-06-23,53000,53647,51400,53647,351800786
2026-06-27,54000,54000,50977,50977,195630224
2026-06-28,49610,49610,49610,49610,2947476
2026-06-29,47626,50490,47626,49300,339815011
2026-06-30,49400,50296,48360,50296,251892204
2026-07-01,49500,51680,48100,51289,137048288
2026-07-07,52800,52800,52800,52800,10973241
2026-07-08,52800,54490,50688,50688,251909119
2026-07-11,50670,51744,50627,50627,45226821
2026-07-12,48729,48729,48729,48729,595900
2026-07-13,46780,46780,46780,46780,105928473
2026-07-14,44909,45970,44909,44909,254092880
2026-07-15,45220,46300,43255,43900,182810598
2026-07-18,42643,42880,42643,42643,35460084
2026-07-19,40998,43083,40938,42700,275093806
2026-07-20,43441,43441,42790,43441,110257418
