date,open,high,low,close,volume
2026-02-16,10000,10000,10000,10000,990000000
2026-04-12,10420,10449,10152,10164,56990480
2026-04-13,10210,10299,10142,10167,38787680
2026-04-15,10100,10160,10000,10141,36967106
2026-04-18,10000,10177,9950,10093,36073419
2026-04-19,10190,10190,10027,10041,17621516
2026-04-20,10040,10068,10000,10013,9998820
2026-04-21,10020,10044,9990,10027,15055687
2026-04-22,10140,10245,10051,10187,33162949
2026-04-25,10180,10210,10120,10209,13921539
2026-04-26,10215,10284,10200,10279,30795743
2026-04-27,10350,10879,10330,10851,46701964
2026-04-28,11102,11644,11102,11590,46480446
2026-04-29,12399,12590,12120,12302,101244181
2026-05-02,13300,13300,12750,13097,327506401
2026-05-03,13400,13499,13035,13074,107530250
2026-05-04,13003,13030,12600,12793,124289118
2026-05-05,12452,12590,12100,12129,42383912
2026-05-06,12304,13399,11700,11926,83699501
2026-05-09,12220,12373,12104,12168,56732188
2026-05-10,11990,12090,11900,11978,47921886
2026-05-11,12120,12299,12120,12255,66365488
2026-05-12,12290,12290,11996,12069,49838401
2026-05-13,11844,11901,11838,11900,16146808
2026-05-16,11700,11750,11603,11683,23142627
2026-05-17,11622,11769,11622,11750,28215652
2026-05-18,11591,11591,11300,11400,22178768
2026-05-19,11300,11410,11241,11328,15017726
2026-05-20,11222,11540,11222,11480,66974151
2026-05-23,11201,11350,11100,11261,19882142
2026-05-24,10600,10899,10600,10814,27262689
2026-05-25,11080,11280,10755,10830,21115917
2026-05-26,10850,10939,10736,10779,12472223
2026-05-30,10670,10670,10501,10609,95298213
2026-05-31,10551,10730,10551,10730,37718721
2026-06-01,10900,11080,10802,11040,18328731
2026-06-02,11000,11084,10900,10949,20238595
2026-06-03,10800,10979,10800,10971,16688399
2026-06-06,10639,10750,10560,10670,14340562
2026-06-07,10600,10949,10600,10949,15217111
2026-06-08,10610,10751,10560,10720,12550036
2026-06-09,10610,10717,10600,10670,6539322
2026-06-10,10510,10628,10450,10600,21737998
2026-06-13,10300,10300,10023,10060,19133850
2026-06-14,9980,10182,9931,10168,15130058
2026-06-15,9955,9955,9721,9845,54299593
2026-06-16,9752,9770,9278,9365,17429461
2026-06-17,9378,9640,9378,9548,28269520
2026-06-20,9650,9779,9538,9702,7124014
2026-06-21,9545,9640,9335,9424,8341626
2026-06-22,9420,9500,9335,9411,2836318
2026-06-23,9351,9512,9296,9427,60533499
2026-06-27,9583,9666,9550,9619,6072201
2026-06-28,9821,10095,9821,10016,9227661
2026-06-29,9984,9984,9734,9813,8961523
2026-06-30,9755,9948,9755,9934,3551318
2026-07-01,10030,10178,10000,10170,8365625
2026-07-07,10210,10445,10210,10428,30538214
2026-07-08,10505,10655,10487,10586,53631113
2026-07-11,10299,10399,10299,10390,16775938
2026-07-12,10401,10510,10365,10430,13785926
2026-07-13,10233,10424,10233,10370,4329053
2026-07-14,10412,10660,10412,10643,7190296
2026-07-15,10761,10979,10761,10927,9455537
2026-07-18,11155,11299,11042,11139,21243777
2026-07-19,10888,11042,10881,10999,43683986
2026-07-20,10680,10890,10551,10630,5093551
2026-07-21,10630,10849,10630,10849,5559081
2026-07-22,10935,11075,10935,11070,12075317
2026-07-25,10700,10820,10700,10792,6280849
2026-07-26,10570,10689,10499,10631,35262309
2026-07-27,10748,10883,10748,10883,53551573
2026-07-28,10980,10980,10812,10812,8408065
2026-07-29,10930,11049,10930,10937,14795711
2026-08-01,10939,11070,10933,10969,30880468
2026-08-02,10700,10930,10610,10930,59662732
2026-08-03,10845,10900,10804,10820,17593240
2026-08-05,10850,10856,10722,10749,12486720
2026-08-08,11015,11105,10930,10991,61472282
2026-08-09,10900,11004,10900,10992,27749019
2026-08-10,10911,10989,10803,10870,5065517
2026-08-11,10970,11212,10941,11133,39892396
2026-08-15,11181,11328,11181,11318,21177386
2026-08-16,11131,11274,11001,11220,15519041
2026-08-17,11125,11324,11125,11316,33339079
2026-08-18,11317,11421,11269,11390,15931723
2026-08-19,11423,11750,11423,11732,7707539
2026-08-22,12013,12690,12004,12509,39568344
2026-08-23,12810,13097,12810,12915,46866848
2026-08-24,13050,13250,12846,12999,55871611
2026-08-25,12900,13095,12331,12558,15951850
2026-08-26,12139,12798,12139,12766,19798535
2026-08-29,12650,13098,12650,13036,13109847
2026-08-31,13150,13477,13120,13448,29986517
2026-09-01,13200,13369,12980,13167,37127549
2026-09-02,13400,13470,13299,13425,36049009
2026-09-05,13630,13799,13602,13736,11474214
2026-09-06,13600,13620,13381,13496,16207159
2026-09-07,13210,13688,13210,13656,39560680
2026-09-08,13600,13982,13600,13870,26454845
2026-09-09,14020,14500,14020,14300,87342228
2026-09-12,14150,14466,14121,14320,7918039
2026-09-13,13970,14157,13900,14039,88255838
2026-09-14,14040,14185,13965,14039,10597503
2026-09-15,13650,13990,13650,13729,9653496
2026-09-16,13780,13992,13780,13929,4032356
2026-09-19,14020,14349,14020,14298,46488771
2026-09-20,14390,14599,14321,14375,23344647
