date,open,high,low,close,volume
2025-11-16,17051,17733,16605,17733,62587855
2025-11-17,17900,18038,17179,17226,61182779
2025-11-18,17230,17599,16953,16999,38265937
2025-11-19,17199,17554,16860,17268,34248173
2025-11-22,17399,17680,17025,17261,32101956
2025-11-23,17597,18134,17526,18134,52119476
2025-11-25,18669,18669,18450,18669,64702579
2025-11-26,18754,18988,18020,18501,66671153
2025-11-29,18410,19008,18300,18374,38569020
2025-11-30,18320,18928,18180,18797,40491624
2025-12-01,19150,19383,19000,19383,65587987
2025-12-02,19405,19839,19129,19386,81649836
2025-12-03,19549,19900,19458,19602,78155825
2025-12-06,19730,20458,19730,20458,132168229
2025-12-07,20670,20678,19424,19424,102347219
2025-12-08,19690,20215,19450,20089,104072059
2025-12-09,20110,20500,19739,19830,66234016
2025-12-10,19898,20800,19709,20540,83374907
2025-12-13,20700,21294,20660,21294,98037136
2025-12-14,21300,22000,20588,21770,90961065
2025-12-15,21800,22360,21575,22360,24001296
2025-12-16,23080,23083,21714,21878,172762826
2025-12-17,22200,23229,22091,23138,115288219
2025-12-20,23400,23742,23400,23742,8591798
2025-12-21,24625,24625,24625,24625,29689227
2025-12-22,25490,25610,24776,25610,139131087
2025-12-23,25620,26394,25610,26394,78041032
2025-12-24,27114,27114,27114,27114,5437845
2025-12-27,28198,28198,28198,28198,6977112
2025-12-28,29325,29325,28950,29325,32327177
2025-12-29,30483,30483,28139,28611,263140855
2025-12-30,28240,28900,28220,28220,64603895
2025-12-31,27128,29388,27128,29388,193574676
2026-01-04,29300,29511,27250,29460,126012153
2026-01-05,29879,29879,29879,29879,6056909
2026-01-06,31074,31074,31074,31074,4785445
2026-01-07,32316,32316,31710,32316,115720053
2026-01-10,30992,33120,30992,30992,160978816
2026-01-11,31600,32804,31600,32804,133998694
2026-01-12,33800,33838,33488,33838,44382902
2026-01-13,35170,35170,32466,32599,216998984
2026-01-14,32094,32094,32094,32094,12727373
2026-01-18,33360,33377,32378,33377,123662939
2026-01-19,33536,34370,31856,32090,207026450
2026-01-20,31622,32600,31360,31360,122382581
2026-01-21,30500,31460,30312,30593,141290887
2026-01-24,29287,29800,29287,29287,11106249
2026-01-25,28116,28116,28116,28116,457363
2026-01-26,26992,26992,26992,26992,209524
2026-01-27,25913,25913,25913,25913,1354279
2026-01-28,24877,24877,24877,24877,18162120
2026-01-31,24055,25243,23882,23882,64538897
2026-02-01,23500,24490,23300,24020,204908818
2026-02-02,24690,24711,24200,24711,73067814
2026-02-03,25638,25638,24460,25100,106630332
2026-02-07,26203,26203,26203,26203,1860545
2026-02-08,27251,27251,26341,27134,113399936
2026-02-09,27299,27299,26044,26044,94594885
2026-02-10,26179,27188,25908,27000,84685297
2026-02-14,27696,27696,26204,26490,126841579
2026-02-15,26900,27028,26174,26174,19568631
2026-02-16,25420,26173,25296,25619,106695698
2026-02-17,25800,26000,24603,25545,78512082
2026-02-18,25718,25718,24387,24387,24604996
2026-02-21,23815,23815,23815,23815,634685
2026-02-22,22863,22990,22863,22865,68381802
2026-02-23,23560,23690,22110,23300,44601887
2026-02-24,22688,22999,22122,22122,42233869
2026-02-25,21951,22780,21542,22516,52343079
2026-05-19,21518,21518,21518,21518,4884909
2026-05-20,20658,22378,20658,22378,130683533
2026-05-23,22235,22235,22235,22235,777779
2026-05-24,23124,23124,23124,23124,493192
2026-05-25,24048,24048,24048,24048,4624689
2026-05-26,25009,25009,25009,25009,22447887
2026-05-30,26009,26009,26009,26009,974524
2026-05-31,27049,27049,27049,27049,1377934
2026-06-01,28130,28130,28130,28130,6140244
2026-06-02,29255,29255,29255,29255,4790887
2026-06-03,30425,30425,30425,30425,14246530
2026-06-06,31642,31642,31642,31642,5594852
2026-06-07,32907,32907,32907,32907,576211
2026-06-08,33591,34223,32907,34222,250582386
2026-06-09,35350,35350,35350,35350,5528469
2026-06-10,36764,36764,36764,36764,8726034
2026-06-13,38234,38234,38234,38234,152184
2026-06-14,39763,39763,39763,39763,533792
2026-06-15,41353,41353,41353,41353,409682
2026-06-16,43007,43007,43007,43007,3043398
2026-06-17,44727,44727,44727,44727,5727820
2026-06-20,46516,46516,45810,46516,126276446
2026-06-21,48250,48259,44547,45748,314895573
2026-06-22,46000,48522,44790,48522,250070779
2026-06-23,48474,48474,47800,48474,178924935
2026-06-27,49000,49502,46487,46487,245318708
2026-06-28,45271,45271,45271,45271,2060745
2026-06-29,43461,46380,43461,44813,190940154
2026-06-30,45100,45920,43420,45100,172392332
2026-07-01,44500,46225,43470,44800,155160143
2026-07-07,46950,47034,46050,47034,57294391
2026-07-08,47000,48350,45073,45073,146164696
2026-07-11,44752,45300,44752,44752,24528326
2026-07-12,42984,42984,42984,42984,497020
2026-07-13,41265,41265,41265,41265,9871661
2026-07-14,39615,40340,39615,39615,113103220
2026-07-15,40000,41070,38088,39990,114399346
2026-07-18,38200,38938,38116,38116,16318353
2026-07-19,37500,39769,37240,39769,135757145
2026-07-20,40321,40321,39901,40321,63054675
2026-07-21,41901,41901,41901,41901,6953045
2026-07-22,43577,43577,41544,43577,134614605
2026-07-25,45106,45106,44001,45106,107576421
2026-07-26,46620,46620,46620,46620,648710
2026-07-27,48484,48484,47507,48484,139539230
2026-07-28,48484,49450,46660,47200,219127486
2026-07-29,46395,46680,46395,46395,36117321
2026-08-01,44543,45455,44543,44543,82686510
2026-08-02,46449,46449,46053,46449,96557191
2026-08-03,48287,48287,48287,48287,26385037
2026-08-05,50218,50218,50218,50218,6657949
2026-08-08,52226,52226,52226,52226,1330646
2026-08-09,54315,54315,51057,52470,252416079
2026-08-10,53000,55295,51600,55295,197733070
2026-08-11,55990,55990,53420,54800,178153586
