date,open,high,low,close,volume
2026-01-14,90070,90070,88710,88860,6943692
2026-01-18,88738,88738,87403,87787,2595559
2026-01-19,88650,89698,87814,87900,2055633
2026-01-20,88399,88853,86351,88500,76036986
2026-01-21,90120,91800,90120,91022,6703683
2026-01-24,94500,95990,93600,93885,2717508
2026-01-25,93980,94951,93022,94321,2951423
2026-01-26,96230,99451,96230,99000,11671013
2026-01-27,102450,107100,102000,106500,24060635
2026-01-28,116274,116274,109320,110870,15827493
2026-01-31,100981,110530,100981,108342,9069869
2026-02-01,107300,108690,103398,104216,3595577
2026-02-02,100000,101740,95800,97510,5681150
2026-02-03,102000,103000,101050,102208,2593630
2026-02-07,100888,103990,100010,102181,3020635
2026-02-08,103550,107100,103550,106810,2801255
2026-02-09,111266,111500,108567,109325,3776635
2026-02-10,112890,113440,109510,110700,4325578
2026-02-14,110500,110500,107510,108905,1962807
2026-02-15,108550,111400,108550,110780,2474875
2026-02-16,108720,111000,108409,108730,3056567
2026-02-17,108850,110500,106000,107560,3952761
2026-02-18,109999,111590,108409,108999,11748575
2026-02-21,112940,112940,111302,111350,6045176
2026-02-22,111898,111898,110537,111683,50145774
2026-02-23,110900,110900,109220,109430,2628972
2026-02-24,110499,110499,108501,108749,2000735
2026-02-25,111000,111000,107009,107450,5254456
2026-03-15,97915,97915,97915,97915,513847
2026-03-16,88124,91300,88124,91000,2864640
2026-03-17,88079,96954,88079,96240,9714324
2026-03-18,101186,101186,98020,101186,16416903
2026-03-25,95800,100830,95800,98103,2229166
2026-03-28,98990,99998,98104,98115,4074520
2026-03-29,98115,98116,95203,96117,1957151
2026-03-30,96998,97873,96011,96011,1370055
2026-03-31,97468,97897,97000,97490,1138215
2026-04-04,97200,102989,97200,101900,3330523
2026-04-05,101451,102983,100000,100476,4407679
2026-04-06,100610,102000,100300,101550,1234387
2026-04-07,102990,105500,102990,104994,1591158
2026-04-08,103000,104000,100500,102862,2483614
2026-04-11,100100,101285,99393,99764,2719347
2026-04-12,102170,103000,101411,101708,1025881
2026-04-13,103205,103999,102230,102978,5268077
2026-04-15,102999,102999,100103,100529,1971906
2026-04-18,98700,98850,97100,98797,2022084
2026-04-19,99310,100800,98001,98100,5679849
2026-04-20,98600,98990,97661,97671,1458754
2026-04-21,97660,98300,96965,97199,1617010
2026-04-22,98598,99599,98598,99040,1735655
2026-04-25,99065,99388,98601,98645,973649
2026-04-26,98950,99900,98200,99160,2601813
2026-04-27,99354,104900,99354,104700,7849391
2026-04-28,108125,111258,108125,111111,5339313
2026-04-29,120836,120836,115615,116580,13950185
2026-05-02,122001,123000,120415,121587,11903852
2026-05-03,123147,123880,122300,123681,4117276
2026-05-04,123970,123970,120000,121250,3610028
2026-05-05,119380,119380,114434,114989,3644983
