date,open,high,low,close,volume
2026-01-04,11000,11000,11000,11000,21818368
2026-01-05,12100,12100,12100,12100,16258567
2026-01-06,13310,13310,13310,13310,24503419
2026-01-07,12800,14630,11979,14500,826651215
2026-01-10,13950,14590,12969,14139,402729724
2026-01-11,14790,15265,14659,15265,102870463
2026-01-12,16579,16579,16579,16579,13535136
2026-01-13,17242,17242,16682,17242,174910778
2026-01-14,17886,17886,17886,17886,15751549
2026-01-18,18601,18601,18601,18601,7290150
2026-01-19,19345,19345,19345,19345,4563745
2026-01-20,20118,20118,20118,20118,81168819
2026-02-02,19314,19314,19314,19314,13427379
2026-02-03,18542,18542,18542,18542,27346613
2026-02-07,17801,17801,17801,17801,9121553
2026-02-08,17089,17089,17089,17089,13421842
2026-02-09,17655,17772,17100,17410,821131759
2026-02-10,17690,17780,16522,16810,399910720
2026-02-14,16350,16499,16085,16253,188709016
2026-02-15,16580,17175,16500,16932,131805571
2026-02-16,16724,16781,16188,16288,78313476
2026-02-17,16000,16400,15449,15700,119586090
2026-02-18,16100,16321,15750,15772,55673127
2026-02-21,16640,16700,15004,15079,325466698
2026-02-22,14900,15075,14371,14558,500039236
2026-02-23,14486,14713,14150,14559,180745824
2026-02-24,14650,14850,14420,14453,112854813
2026-02-25,14890,14915,14442,14508,112858834
2026-03-15,13215,13340,13215,13215,248860437
2026-03-16,12500,13000,12115,12206,57844785
2026-03-17,12500,13310,12489,13156,52341950
2026-03-18,13252,13688,13100,13650,43102435
2026-03-25,12900,13000,12700,12911,15868347
2026-03-28,13000,13220,12811,12829,13101458
2026-03-29,12900,12919,12211,12315,22930201
2026-03-30,12282,12450,11895,11949,22275244
2026-03-31,12150,12190,11968,11983,22184172
2026-04-04,11983,12355,11765,12220,22602676
2026-04-05,12379,12379,11901,11932,21213370
2026-04-06,12000,12074,11852,11930,15955562
2026-04-07,12089,12327,12000,12246,25248167
2026-04-08,12701,12701,12300,12519,39903335
2026-04-11,12506,12515,12070,12073,25693927
2026-04-12,12480,12480,12160,12225,19341022
2026-04-13,12359,12359,12143,12144,30024416
2026-04-15,12121,12195,11910,11919,21015229
2026-04-18,11705,11705,11480,11659,31441977
2026-04-19,11515,11696,11060,11082,117586699
2026-04-20,11110,11110,10950,10966,117624955
2026-04-21,10950,10950,10813,10902,35102328
2026-04-22,10986,11096,10934,11000,116943254
2026-04-25,11029,11091,10900,10975,155349759
2026-04-26,11118,11824,11010,11513,1112918851
2026-04-27,11983,12439,11855,12439,198181247
2026-04-28,13476,13476,13100,13476,357111392
2026-04-29,14798,14799,13750,13863,721364327
2026-05-02,14705,15300,14370,14948,578437751
2026-05-03,15700,15700,14865,15040,344908274
2026-05-04,14800,14800,14011,14245,323381785
2026-05-05,14010,14690,13922,14069,243299148
2026-05-06,14590,14788,13444,13882,424740581
2026-05-09,14620,15180,14347,15063,437723658
2026-05-10,15000,15490,14831,14916,453201362
2026-05-11,15400,15620,15135,15616,334222768
2026-05-12,15680,15770,14590,15150,1672542947
2026-05-13,14999,15688,14777,15353,514316023
2026-05-16,14699,15149,14547,14978,393964694
2026-05-17,15100,15310,14954,15048,267588684
2026-05-18,14940,14940,14510,14753,211366643
2026-05-19,14750,14750,14202,14215,141618767
2026-05-20,14313,14600,14313,14517,151555955
2026-05-23,14389,14390,13750,13860,219885670
2026-05-24,13201,13716,12985,13544,300548557
2026-05-25,13900,14077,13456,13539,147047145
2026-05-26,13590,13590,13235,13240,256258851
2026-05-30,13211,13250,12911,12951,491229566
2026-05-31,12998,13158,12950,13040,333574625
2026-06-01,13240,13422,13090,13400,824298413
2026-06-02,13450,13490,13145,13301,308086130
2026-06-03,13250,13585,13200,13421,184149232
2026-06-06,13000,13000,12596,12679,222339060
2026-06-07,12900,13180,12888,13121,126191965
2026-06-08,12900,12997,12522,12790,103720527
2026-06-09,12900,13080,12819,12820,145562242
2026-06-10,12509,12798,12504,12650,133469428
2026-06-13,12480,12480,12014,12115,195651763
2026-06-14,11750,12661,11720,12629,181569706
2026-06-15,12398,12889,11982,12516,225171282
2026-06-16,12490,12699,12150,12151,167227307
2026-06-17,12600,12822,12480,12500,151436289
2026-06-20,12850,12945,12230,12387,126624809
2026-06-21,12250,12280,11750,11831,96422356
2026-06-22,11810,12226,11701,11813,70595401
2026-06-23,11700,12025,11602,11880,86283987
2026-06-27,12098,12100,11923,11926,72202631
2026-06-28,12190,12448,12190,12317,138507762
2026-06-29,12161,12162,11822,11837,94725945
2026-06-30,12040,12040,11773,11834,99398636
2026-07-01,11960,12049,11945,11989,73480324
2026-07-07,12247,12258,12101,12183,109803375
2026-07-08,12260,12267,11835,11916,128994539
2026-07-11,11870,11900,11519,11550,92280361
2026-07-12,11800,11800,11110,11245,152067069
2026-07-13,11200,11247,11000,11095,96979950
2026-07-14,11222,11639,11160,11635,116312143
2026-07-15,11841,11998,11700,11781,462007872
2026-07-18,12025,12095,11393,11458,431017357
2026-07-19,11352,11358,11115,11130,181723538
2026-07-20,11122,11123,10880,10942,387921014
2026-07-21,11210,11535,11110,11501,686856822
2026-07-22,11701,11747,11575,11700,201062871
2026-07-25,11300,11476,11249,11300,117716776
2026-07-26,11120,11570,11101,11493,199177777
2026-07-27,11655,11699,11593,11678,122422912
2026-07-28,11613,11676,11518,11522,119819097
2026-07-29,11714,11935,11700,11749,173206195
2026-08-01,11836,11948,11789,11814,131081707
2026-08-02,11605,11808,11506,11762,134009468
2026-08-03,11809,11840,11698,11706,80265279
2026-08-05,12071,12120,11829,11899,222785866
2026-08-08,12191,12191,12110,12149,163239800
2026-08-09,12100,12251,11990,12130,125020779
2026-08-10,12210,12210,12071,12099,131291557
2026-08-11,12206,12480,12206,12451,122599389
2026-08-15,12517,12900,12500,12723,144842008
2026-08-16,12723,12898,12523,12656,106240241
2026-08-17,12850,12915,12700,12902,136890189
2026-08-18,12930,13050,12822,12840,174391830
2026-08-19,12915,12960,12740,12942,174169656
2026-08-22,13360,13699,13360,13487,296408135
2026-08-23,13840,13930,13510,13548,327937609
2026-08-24,13740,13740,13199,13248,279969758
2026-08-25,13201,13250,12558,12776,265869054
2026-08-26,12600,13333,12600,13212,333261894
2026-08-29,13158,13400,13068,13343,183382278
2026-08-31,13408,13780,13408,13655,169558195
2026-09-01,13627,13627,13236,13560,203705597
2026-09-02,13631,13769,13345,13520,151448101
2026-09-05,13700,13788,13605,13625,153610022
2026-09-06,13550,13600,13292,13305,148437931
2026-09-07,13124,13475,13124,13361,122414884
2026-09-08,13490,13592,13361,13589,697818910
2026-09-09,13780,14159,13740,13920,951847811
2026-09-12,13608,13818,13551,13635,728102737
2026-09-13,13361,13509,13340,13390,194392292
2026-09-14,13500,13550,13166,13175,193504187
