date,open,high,low,close,volume
2026-07-13,10000,10000,10000,10000,200000000
2026-07-14,10000,10000,10000,10000,200000000
2026-08-24,11000,11000,11000,11000,520295
2026-08-25,12100,12100,11747,11963,294216193
2026-08-26,11888,12264,11403,12125,101967923
2026-08-29,12100,12986,12022,12841,104562308
2026-08-31,13200,13742,12900,13652,99921507
2026-09-01,13680,13699,12713,13145,145119852
2026-09-02,13500,13698,13200,13317,94484011
2026-09-05,13400,13500,13310,13316,79557408
2026-09-06,13346,13346,13000,13082,39825861
2026-09-07,13011,13139,12799,12836,232432485
2026-09-08,12896,13033,12850,12935,69702299
2026-09-09,13101,13332,13012,13105,234769532
2026-09-12,12998,13082,12825,12867,202554073
2026-09-13,12800,12800,12611,12670,31503151
2026-09-14,12869,12869,12501,12507,41111829
2026-09-15,12640,12640,12264,12310,28576921
2026-09-16,12350,12500,12350,12399,18429440
2026-09-19,12508,12648,12508,12599,41248630
2026-09-20,12691,12779,12538,12539,28859914
