date,open,high,low,close,volume
2026-01-12,10000,10000,10000,10000,500000000
2026-02-07,13000,13520,13000,13520,206657935
2026-02-08,13600,14044,13211,14044,1004536135
2026-02-09,14392,14392,14294,14392,665848677
2026-02-10,14700,14949,14385,14538,585001483
2026-02-14,14059,14240,13610,14029,236208251
2026-02-15,14300,14587,14111,14414,250637296
2026-02-16,14290,14450,13981,13996,217626840
2026-02-17,13800,13898,13132,13302,513217195
2026-02-18,13803,13850,13371,13454,237880488
2026-02-21,14300,14300,13379,13423,405046114
2026-02-22,13399,13399,12946,13136,374270307
2026-02-23,13100,13185,12845,13062,849150881
2026-02-24,13158,13370,13039,13124,773601873
2026-02-25,13390,13460,13056,13164,379733354
2026-03-15,12033,12036,12033,12033,292276365
2026-03-16,11410,11746,10880,10940,90920286
2026-03-17,11140,11650,11135,11417,162392991
2026-03-18,11677,11893,11320,11880,129671852
2026-03-25,10905,11250,10905,11222,45326090
2026-03-28,11281,11488,11120,11139,38158594
2026-03-29,11140,11162,10732,10829,38010769
2026-03-30,10815,10960,10390,10435,69145045
2026-03-31,10585,10635,10393,10400,63083243
2026-04-04,10322,10711,10322,10615,89032988
2026-04-05,10500,10679,10210,10301,81770019
2026-04-06,10370,10390,10264,10321,82071254
2026-04-07,10393,10750,10350,10628,118854599
2026-04-08,10800,10800,10550,10695,143099833
2026-04-11,10600,10600,10300,10308,94669887
2026-04-12,10514,10550,10343,10361,67379004
2026-04-13,10544,10569,10330,10356,111863853
2026-04-15,10395,10395,10218,10245,82737946
2026-04-18,10150,10150,9970,10037,108846839
2026-04-19,10148,10160,10088,10114,132265200
2026-04-20,10165,10180,10060,10064,142101197
2026-04-21,10120,10120,10000,10017,96073135
2026-04-22,10099,10248,10055,10080,204467073
2026-04-25,10240,10240,10124,10153,159382214
2026-04-26,10238,10800,10232,10613,619861770
2026-04-27,11100,11605,11070,11605,268946119
2026-04-28,12562,12562,12208,12562,424952862
2026-04-29,13795,13795,12796,12915,872929479
2026-05-02,13574,14310,13451,14021,569901649
2026-05-03,14600,14648,13890,13988,489046650
2026-05-04,13800,13800,13118,13248,733947459
2026-05-05,12800,13494,12800,12951,446327039
2026-05-06,13424,13588,12506,13070,433210628
2026-05-09,13560,14188,13346,14060,834740087
2026-05-10,14130,14441,13868,14020,660261181
2026-05-11,14430,14700,14197,14650,557715949
2026-05-12,14670,14670,14150,14310,497771585
2026-05-13,14210,14999,14088,14514,938298490
2026-05-16,13700,14215,13650,14087,476844135
2026-05-17,14100,14300,13962,14013,269653776
2026-05-18,13990,13990,13570,13699,237377601
2026-05-19,13622,13700,13205,13207,208105008
2026-05-20,13350,13580,13300,13447,149130125
2026-05-23,13211,13360,12770,12847,189931921
2026-05-24,12100,12900,12013,12749,347998822
2026-05-25,13219,13220,12477,12630,163753252
2026-05-26,12587,12686,12465,12483,124389706
2026-05-30,12444,12500,12199,12266,167125797
2026-05-31,12271,12500,12230,12482,100639802
2026-06-01,12660,12990,12631,12963,117901757
2026-06-02,13030,13040,12800,12860,131345287
2026-06-03,12811,13050,12800,12867,106014910
2026-06-06,12480,12480,12068,12105,169813560
2026-06-07,12310,12440,12300,12404,137601669
2026-06-08,12131,12300,11763,12055,146574468
2026-06-09,12200,12220,12000,12012,87038459
2026-06-10,11857,11975,11760,11933,92914104
2026-06-13,11800,11800,11099,11207,132951596
2026-06-14,11000,11688,11000,11649,132865126
2026-06-15,11350,11648,11050,11411,121607020
2026-06-16,11350,11488,10985,10989,102444458
2026-06-17,11180,11427,11020,11044,125506189
2026-06-20,11200,11290,10851,10940,93931871
2026-06-21,10949,10949,10536,10541,63146941
2026-06-22,10700,10721,10423,10495,58306571
2026-06-23,10423,10439,10222,10372,72161590
2026-06-27,10500,10565,10328,10403,65135586
2026-06-28,10600,11020,10600,11014,80265594
2026-06-29,10950,10950,10500,10533,57922929
2026-06-30,10670,10779,10555,10667,33596619
2026-07-01,10790,10919,10751,10824,48299190
2026-07-07,11390,11390,11000,11158,70657535
2026-07-08,11290,11300,10907,10946,85017879
2026-07-11,10900,10900,10400,10441,255364457
2026-07-12,10530,10569,10179,10209,207586730
2026-07-13,10217,10217,10074,10092,133959679
2026-07-14,10180,10579,10168,10555,421625055
2026-07-15,10850,11040,10678,10934,295849102
2026-07-18,11210,11260,10545,10620,334461165
2026-07-19,10562,10599,10308,10419,204504280
2026-07-20,10387,10387,10179,10239,197321398
2026-07-21,10540,10828,10448,10824,209316795
2026-07-22,11000,11012,10834,10957,155864303
2026-07-25,10700,10750,10615,10634,88779810
2026-07-26,10460,10818,10451,10769,106293912
2026-07-27,10939,10949,10823,10889,81309396
2026-07-28,10895,10895,10769,10799,82315564
2026-07-29,10949,11108,10900,10940,120347511
2026-08-01,11014,11107,10904,10941,110898739
2026-08-02,10788,10880,10700,10868,74751456
2026-08-03,10898,10898,10751,10771,85115555
2026-08-05,11100,11107,10890,10970,145477047
2026-08-08,11179,11238,11121,11140,152825617
2026-08-09,11110,11158,11000,11078,89603330
2026-08-10,11184,11184,11000,11002,71873701
2026-08-11,11100,11315,11095,11305,125683409
2026-08-15,11359,11606,11333,11470,114817734
2026-08-16,11489,11552,11330,11400,79210528
2026-08-17,11510,11590,11430,11560,75692151
2026-08-18,11569,11610,11450,11460,114840534
2026-08-19,11525,11640,11382,11610,152742817
2026-08-22,0,12300,11977,12148,171939280
2026-08-23,12482,12482,12213,12298,255181381
2026-08-24,12430,12481,12063,12159,177551244
2026-08-25,12209,12209,11535,11698,183691620
2026-08-26,11501,12150,11500,11995,192049391
2026-08-29,11890,12180,11888,12149,149942283
2026-08-31,12202,12546,12202,12452,157685368
2026-09-01,12396,12396,12078,12249,147103373
2026-09-02,12390,12500,12160,12336,182282732
2026-09-05,12500,12555,12435,12450,164393140
2026-09-06,12430,12440,12222,12286,217705372
2026-09-07,12200,12440,12119,12392,171617458
2026-09-08,12480,12700,12430,12659,141519894
2026-09-09,12908,13227,12831,12999,198919137
2026-09-12,12986,12986,12637,12815,205050619
2026-09-13,12670,12670,12500,12521,178796055
2026-09-14,12610,12700,12405,12415,92228883
2026-09-15,12377,12377,12096,12214,87227745
2026-09-16,12261,12430,12211,12240,55798736
2026-09-19,12500,12570,12400,12525,120366543
2026-09-20,12615,12700,12440,12441,161052427
