date,open,high,low,close,volume
2026-05-11,10000,10000,10000,10000,200000000
2026-05-12,10000,10000,10000,10000,200000000
2026-06-01,10226,10377,10150,10341,314469623
2026-06-02,10400,10410,10237,10340,123106858
2026-06-03,10280,10368,10251,10309,102868268
2026-06-06,10051,10078,9775,9894,72944809
2026-06-07,9999,10022,9971,10001,72473465
2026-06-08,9980,9995,9700,9849,28575928
2026-06-09,9900,9966,9820,9820,47963082
2026-06-10,9700,9701,9551,9610,70876893
2026-06-13,9539,9539,8999,9033,54303233
2026-06-14,8990,9400,8810,9345,44237208
2026-06-15,9050,9250,8814,9073,36453831
2026-06-16,9130,9130,8560,8590,17289382
2026-06-17,8840,8928,8660,8690,21571379
2026-06-20,8810,8900,8502,8597,15230144
2026-06-21,8380,8479,8214,8229,9724269
2026-06-22,8330,8373,8194,8220,10175782
2026-06-23,8072,8155,8020,8111,9029709
2026-06-27,8249,8268,8123,8158,7217372
2026-06-28,8270,8420,8270,8410,16338383
2026-06-29,8281,8281,8020,8040,8928136
2026-06-30,8139,8180,8040,8090,9550117
2026-07-01,8153,8244,8150,8196,8317825
2026-07-07,8325,8450,8280,8425,8439040
2026-07-08,8498,8550,8300,8394,10396798
2026-07-11,8375,8375,8162,8202,5452995
2026-07-12,8297,8297,8158,8161,4005945
2026-07-13,8229,8229,8082,8139,7407885
2026-07-14,8180,8446,8088,8432,32097810
2026-07-15,8620,8720,8561,8630,40910750
2026-07-18,9000,9000,8504,8559,22947970
2026-07-19,8530,8530,8350,8383,7223813
2026-07-20,8438,8438,8132,8139,10644723
2026-07-21,8270,8582,8270,8582,58326079
2026-07-22,8767,8767,8530,8700,73172436
2026-07-25,8535,8580,8435,8460,14208873
2026-07-26,8334,8510,8242,8499,61055255
2026-07-27,8570,8631,8510,8580,11401568
2026-07-28,8508,8570,8502,8560,7232992
2026-07-29,8634,8741,8620,8620,27887851
2026-08-01,8630,8708,8588,8590,45302634
2026-08-02,8396,8559,8375,8520,56672727
2026-08-03,8550,8616,8450,8469,28401142
2026-08-05,8675,8688,8578,8623,31373852
2026-08-08,8800,8822,8731,8738,27433899
2026-08-09,8710,8792,8650,8750,16231796
2026-08-10,8790,8790,8601,8660,25783750
2026-08-11,8702,8845,8702,8844,29207500
2026-08-15,8845,9055,8845,8976,21211637
2026-08-16,9001,9001,8873,8945,10594285
2026-08-17,8991,9054,8955,9021,37696882
2026-08-18,9054,9080,9000,9009,13858976
2026-08-19,9026,9118,8930,9093,17402166
2026-08-22,9400,9804,9400,9700,31214095
2026-08-23,9950,9990,9761,9827,29086730
2026-08-24,10091,10091,9730,9737,58153620
2026-08-25,9875,9875,9200,9337,37794012
2026-08-26,9102,9647,9102,9536,47368886
2026-08-29,9482,9730,9442,9666,22875809
2026-08-31,9800,10047,9755,10007,29204185
2026-09-01,10000,10000,9753,9845,26865753
2026-09-02,9999,10039,9837,9930,16146078
2026-09-05,10075,10092,10020,10030,22299107
2026-09-06,9930,9998,9821,9870,28908410
2026-09-07,9799,9929,9755,9889,28360100
2026-09-08,9980,10079,9872,10040,36745556
2026-09-09,10112,10386,10112,10320,100746142
2026-09-12,10186,10300,10062,10163,42450420
2026-09-13,10100,10146,9955,10000,34827058
2026-09-14,10079,10079,9896,9896,32747438
2026-09-15,9915,9915,9671,9703,21721758
2026-09-16,9674,9877,9674,9772,21927264
2026-09-19,9887,9988,9887,9965,20960122
2026-09-20,10020,10179,10006,10012,253337116
