date,open,high,low,close,volume
2026-05-06,10000,10000,10000,10000,200000000
2026-05-09,10000,10000,10000,10000,200000000
2026-05-25,10500,10700,10261,10310,345850407
2026-05-26,10399,10399,10180,10197,59493557
2026-05-30,10190,10190,10021,10106,51325898
2026-05-31,10189,10260,10101,10189,42402346
2026-06-01,10231,10350,10180,10312,77255061
2026-06-02,10377,10377,10176,10201,42746023
2026-06-03,10192,10220,10121,10133,17369752
2026-06-06,9911,9970,9618,9648,29674413
2026-06-07,9712,9844,9712,9787,20086848
2026-06-08,9720,9722,9250,9500,10999270
2026-06-09,9497,9650,9425,9445,10683871
2026-06-10,9340,9340,9210,9210,13547585
2026-06-13,9258,9258,8706,8740,18320909
2026-06-14,8771,8947,8546,8809,106564730
2026-06-15,8376,8676,8376,8501,181121906
2026-06-16,8378,8395,8000,8002,173552535
2026-06-17,8147,8230,8060,8128,65625717
2026-06-20,8259,8259,7995,8077,19916534
2026-06-21,7960,7960,7770,7770,10870455
2026-06-22,7922,7924,7740,7750,19201923
2026-06-23,7708,7749,7624,7664,12424073
2026-06-27,7738,7847,7651,7676,14453692
2026-06-28,7801,8050,7801,7955,31338688
2026-06-29,7890,7890,7602,7612,12116875
2026-06-30,7815,8000,7731,7830,36411231
2026-07-01,7920,7977,7874,7895,20611606
2026-07-07,8015,8098,8011,8035,39120010
2026-07-08,8034,8099,7900,7903,25537748
2026-07-11,7930,7930,7631,7726,12233958
2026-07-12,7741,7786,7625,7631,9279897
2026-07-13,7650,7709,7604,7635,10356594
2026-07-14,7667,8064,7640,7930,55995595
2026-07-15,8100,8190,8010,8057,61288953
2026-07-18,8250,8328,8010,8054,46650432
2026-07-19,8000,8000,7803,7861,9114814
2026-07-20,7800,7800,7620,7721,8215557
2026-07-21,7919,8079,7875,8079,60758009
2026-07-22,8210,8280,8080,8138,66813967
2026-07-25,7999,7999,7894,7936,16455962
2026-07-26,7843,7999,7700,7952,51303981
2026-07-27,8078,8129,8001,8036,51948037
2026-07-28,8000,8096,8000,8022,36006157
2026-07-29,8120,8200,8079,8081,114246637
2026-08-01,8120,8161,8101,8131,43510477
2026-08-02,7987,8150,7934,8137,27773975
2026-08-03,8100,8168,8051,8055,57275498
2026-08-05,8210,8307,8185,8259,44620346
2026-08-08,8381,8548,8381,8507,21082970
2026-08-09,8520,8542,8400,8438,17376833
2026-08-10,8520,8530,8350,8369,28927564
2026-08-11,8480,8607,8400,8564,23332603
2026-08-15,8550,8840,8550,8801,20025495
2026-08-16,8762,8867,8762,8819,26600035
2026-08-17,8900,9127,8900,9036,46580920
2026-08-18,9280,9280,9037,9108,23233034
2026-08-19,9050,9195,9003,9189,28282890
2026-08-22,9405,9748,9405,9650,44946371
2026-08-23,10000,10000,9716,9721,43826926
2026-08-24,9900,9900,9450,9500,39546376
2026-08-25,9558,9558,8996,9178,29663085
2026-08-26,9200,9338,9013,9269,32547870
2026-08-29,9350,9444,9187,9396,29155954
2026-08-31,9460,9664,9417,9596,27428067
2026-09-01,9630,9630,9242,9480,30026628
2026-09-02,9519,9587,9355,9425,28314867
2026-09-05,9530,9598,9468,9474,33569215
2026-09-06,9395,9432,9284,9307,31629415
2026-09-07,9320,9367,9237,9332,29290030
2026-09-08,9435,9459,9315,9381,57181039
2026-09-09,9470,9725,9440,9600,42432230
2026-09-12,9490,9629,9375,9493,46573113
2026-09-13,9430,9453,9335,9376,29629572
2026-09-14,9475,9476,9245,9287,15538582
2026-09-15,9340,9340,9101,9106,10173770
2026-09-16,9199,9242,9100,9103,11401201
2026-09-19,9290,9317,9234,9305,16461415
2026-09-20,9340,9427,9276,9280,17900510
