date,open,high,low,close,volume
2026-04-13,10000,10000,10000,10000,300000000
2026-04-18,10000,10000,10000,10000,300000000
2026-05-06,11000,11000,10912,11000,203569865
2026-05-09,12100,12100,11653,12100,164097032
2026-05-10,12500,13075,12403,13020,315984219
2026-05-11,13521,13600,13100,13353,205503068
2026-05-12,13348,13350,12722,12906,164714393
2026-05-13,12900,13380,12710,13025,148874948
2026-05-16,12700,12700,11896,11948,721490961
2026-05-17,12003,12136,11830,11919,188717312
2026-05-18,11751,11751,11268,11401,106892424
2026-05-19,11316,11316,10974,10978,75553904
2026-05-20,11058,11281,10977,11281,56487618
2026-05-23,11198,11259,10750,10779,85376835
2026-05-24,10110,11249,10110,11118,136717274
2026-05-25,11400,11424,10860,10944,80642052
2026-05-26,10842,11049,10800,10810,42507687
2026-05-30,10900,10935,10732,10760,46949051
2026-05-31,10891,11066,10850,10927,38440131
2026-06-01,11157,11256,10927,11222,63602458
2026-06-02,11221,11250,11030,11078,38317713
2026-06-03,11135,11187,10900,11057,43335900
2026-06-06,10600,10700,10350,10422,48264546
2026-06-07,10610,10842,10590,10780,25164163
2026-06-08,10610,10611,10155,10385,30652538
2026-06-09,10545,10593,10375,10376,20786068
2026-06-10,10332,10332,10150,10210,26633646
2026-06-13,10170,10170,9567,9674,36856740
2026-06-14,9680,9990,9404,9945,38826251
2026-06-15,9730,9977,9500,9699,31089778
2026-06-16,9660,9660,9036,9080,35988216
2026-06-17,9182,9450,9130,9172,34152964
2026-06-20,9314,9469,8903,9033,25876448
2026-06-21,8874,8900,8630,8645,22290451
2026-06-22,8610,8910,8608,8613,14499617
2026-06-23,8440,8550,8380,8445,29362570
2026-06-27,8550,8600,8390,8442,24338253
2026-06-28,8680,8735,8550,8670,168819291
2026-06-29,8502,8502,8123,8190,114639783
2026-06-30,8288,8371,8214,8300,61079287
2026-07-01,8400,8487,8350,8410,37602218
2026-07-07,8551,8750,8540,8698,116134214
2026-07-08,8749,8840,8550,8637,79099652
2026-07-11,8640,8640,8370,8430,44177117
2026-07-12,8431,8536,8296,8313,115795717
2026-07-13,8300,8300,8194,8214,132840310
2026-07-14,8340,8765,8252,8749,238185435
2026-07-15,8900,9100,8845,8975,213892904
2026-07-18,9270,9280,8841,8939,161050547
2026-07-19,8886,8886,8645,8685,98438459
2026-07-20,8630,8635,8451,8532,116588937
2026-07-21,8700,9000,8700,8990,248401997
2026-07-22,9166,9168,8999,9090,157237392
2026-07-25,8850,8900,8785,8786,88838034
2026-07-26,8640,8926,8581,8921,138786596
2026-07-27,9100,9100,8950,9027,97928261
2026-07-28,8900,9050,8900,8974,81146363
2026-07-29,9100,9250,9068,9080,111952659
2026-08-01,9210,9220,9069,9095,86884137
2026-08-02,8940,9043,8883,9021,74213069
2026-08-03,9044,9079,8922,8950,69936670
2026-08-05,9150,9200,9080,9154,142100751
2026-08-08,9300,9322,9200,9208,126696371
2026-08-09,9202,9246,9130,9180,77095355
2026-08-10,9189,9189,9045,9087,91220474
2026-08-11,9179,9285,9131,9282,89156155
2026-08-15,9298,9530,9250,9435,92549322
2026-08-16,9322,9428,9320,9351,129303999
2026-08-17,9421,9453,9355,9430,142550885
2026-08-18,9430,9478,9410,9438,134863423
2026-08-19,9440,9577,9370,9565,286786878
2026-08-22,9980,10385,9850,10195,333223484
2026-08-23,10403,10570,10290,10346,345216121
2026-08-24,10596,10597,10309,10345,229009770
2026-08-25,10400,10400,9751,9890,214839003
2026-08-26,9769,10210,9750,10111,240674989
2026-08-29,10011,10318,10010,10300,249396788
2026-08-31,10376,10649,10274,10575,236641080
2026-09-01,10505,10558,10260,10395,226046276
2026-09-02,10620,10620,10350,10473,187507807
2026-09-05,10657,10700,10571,10574,185178593
2026-09-06,10595,10595,10350,10398,148962564
2026-09-07,10370,10473,10280,10448,129782600
2026-09-08,10530,10630,10472,10608,148680286
2026-09-09,10730,11040,10730,10883,156948400
2026-09-12,10800,10915,10620,10724,162930006
2026-09-13,10600,10680,10507,10610,90212406
2026-09-14,10650,10680,10450,10472,163459196
2026-09-15,10525,10525,10250,10299,60237961
2026-09-16,10390,10430,10230,10295,42679353
2026-09-19,10490,10547,10460,10544,62480631
2026-09-20,10625,10787,10500,10503,59471654
