date,open,high,low,close,volume
2026-01-14,49200,49700,48200,48299,22549963
2026-01-18,48797,49730,48797,49172,15265718
2026-01-19,49480,49480,48451,48990,33795024
2026-01-20,49050,49380,48403,49160,11922390
2026-01-21,49500,49998,49082,49850,9548502
2026-01-24,50200,50500,49605,49811,20541233
2026-01-25,49510,49900,48608,48729,19236530
2026-01-26,48660,49060,47010,47025,32918756
2026-01-27,46900,48599,46452,48390,23407044
2026-01-28,48390,50455,48390,49727,27865612
2026-01-31,49000,49500,46800,48675,22951235
2026-02-01,48050,50389,48050,50385,21023416
2026-02-02,50688,51100,49780,49950,19012849
2026-02-03,50031,50325,48700,48750,10747170
2026-02-07,49889,50798,49444,50390,12809658
2026-02-08,50590,50590,48951,49051,10695981
2026-02-09,49014,49770,49014,49088,13852011
2026-02-10,49090,49589,48660,48884,7172645
2026-02-14,48650,50200,48650,49050,7489699
2026-02-15,49000,49000,48301,48506,4587128
2026-02-16,48506,48997,48400,48797,4924815
2026-02-17,48457,48997,48410,48500,6715129
2026-02-18,48599,48797,48100,48324,5025634
2026-02-21,48325,48530,47000,47130,8467743
2026-02-22,47150,47394,46001,46001,5964608
2026-02-23,46161,46800,45801,45968,8050715
2026-02-24,45801,46208,45124,45200,7347876
2026-02-25,45130,46000,45130,45989,7050347
2026-03-15,41433,43600,41433,42323,6967028
2026-03-16,42326,44500,40996,43576,6095788
2026-03-17,43670,44700,43000,44700,5354817
2026-03-18,45109,46449,45109,46062,3264224
2026-03-25,46200,46935,44502,46475,2350275
2026-03-28,46901,47600,46502,47580,4128314
2026-03-29,47999,49500,47570,49380,8404197
2026-03-30,50014,50800,49103,49503,11970336
2026-03-31,49000,49998,48520,49556,5288482
2026-04-04,49755,50300,48430,49954,7659478
2026-04-05,50415,51199,49923,50862,8908190
2026-04-06,50310,51879,50310,50790,11282868
2026-04-07,51190,51190,49800,49960,7337091
2026-04-08,49503,51300,49500,50610,6186867
2026-04-11,50900,51250,50300,50848,8701879
2026-04-12,51021,51380,50800,50810,4292083
2026-04-13,50998,51112,50560,50600,9144139
2026-04-15,50900,50900,50000,50190,5384824
2026-04-18,50310,50497,49201,50350,4295033
2026-04-19,50800,50800,49816,50129,3258050
2026-04-20,50194,50194,49570,49652,3344883
2026-04-21,50100,50141,49400,49593,2413885
2026-04-22,49550,50457,49550,49860,6370327
2026-04-25,50306,54164,50305,54000,32101450
2026-04-26,56200,57808,55253,56090,29088332
2026-04-27,58400,60750,58010,58588,44833375
2026-04-28,60801,60801,57850,58871,34260530
2026-04-29,60300,62903,58508,58631,28977263
2026-05-02,59500,64428,59500,63000,45156759
2026-05-03,64500,68061,64500,68061,59349115
2026-05-04,69744,71100,67110,67680,91923712
2026-05-05,66560,68399,66068,66094,35489408
2026-05-06,66700,69599,64000,65336,43150634
2026-05-09,67400,68620,66511,67400,26150262
2026-05-10,67998,69989,66811,68909,44595511
2026-05-11,70302,73666,70301,72927,89303947
2026-05-12,73986,75500,73090,73920,81139080
2026-05-13,72470,74082,71872,73900,55383832
2026-05-16,74003,76035,72201,72705,39705939
2026-05-17,73700,73700,71203,71761,36351567
2026-05-18,71761,71940,66990,67794,42639752
2026-05-19,67238,70000,65664,66731,23154041
2026-05-20,67802,68300,66082,66150,14633825
2026-05-23,66320,66658,63654,64000,16516633
2026-05-24,62789,63000,59876,62789,25141875
2026-05-25,65000,66399,63303,64321,20606455
2026-05-26,65471,65600,63743,64400,13449556
2026-05-30,65678,66800,64511,65950,14237174
2026-05-31,66980,66980,65100,65266,13419056
2026-06-01,65990,66660,65358,65528,14048928
2026-06-02,65369,65844,64337,64930,9517117
2026-06-03,64400,65000,64000,64001,5850322
2026-06-06,63810,63810,62500,62520,10052874
2026-06-07,62550,64498,62550,63806,7627546
2026-06-08,63388,63700,61911,62600,7102943
2026-06-09,62555,63370,62555,62750,5175010
2026-06-10,62750,63250,61154,62300,11379367
2026-06-13,62200,63249,61525,62550,11526349
2026-06-14,62560,62599,61510,61657,7592323
2026-06-15,61010,61319,59000,59529,9531836
2026-06-16,59009,59100,57075,57120,13791775
2026-06-17,57720,59600,57100,58705,6442759
2026-06-20,60122,60500,58202,59127,4561676
2026-06-21,56998,57790,56560,56611,6158017
2026-06-22,56972,59723,56356,58470,12422443
2026-06-23,59001,61263,57502,60740,7342720
2026-06-27,61360,62190,60900,61680,6809224
2026-06-28,63670,63890,61700,62173,23854939
2026-06-29,61010,62400,61010,61610,6116574
2026-06-30,61860,64199,61860,63800,7187873
2026-07-01,64220,65650,64220,64780,7625666
2026-07-07,67010,67652,66201,67299,12907091
2026-07-08,67696,68000,64886,65903,15131223
2026-07-11,65500,66500,65201,65581,4628353
2026-07-12,66000,66389,65000,65350,5814059
2026-07-13,65222,66760,64855,64950,4856856
2026-07-14,65420,66100,64700,65264,7438626
2026-07-15,66000,67199,65108,65300,9194749
2026-07-18,66615,67999,66006,66180,13042172
2026-07-19,66006,66150,65012,65600,5922939
2026-07-20,65007,65008,63900,63938,6599190
2026-07-21,64230,65200,64230,64695,6138225
2026-07-22,65100,65499,64800,64810,5196921
2026-07-25,64444,65500,64212,64333,6227506
2026-07-26,64400,64800,63690,63690,5029635
2026-07-27,64178,65757,64178,65085,6640747
2026-07-28,65648,65648,64500,64605,2398947
2026-07-29,64801,65750,64801,65000,5992268
2026-08-01,65239,67670,65238,66330,14878268
2026-08-02,65780,65780,65050,65278,3816240
