date,open,high,low,close,volume
2026-01-14,11833,11900,11793,11800,5411876
2026-01-18,11830,11830,11516,11665,5287248
2026-01-19,11840,11880,11670,11687,4320227
2026-01-20,11690,11797,11556,11749,2854856
2026-01-21,11968,12088,11885,11990,29179319
2026-01-24,12397,12499,12307,12363,12961987
2026-01-25,12350,12525,12215,12416,11508651
2026-01-26,12751,13116,12750,13110,22455293
2026-01-27,13900,13990,13502,13938,28560311
2026-01-28,15000,15179,14520,14710,18931221
2026-01-31,13413,14540,13413,14310,35129401
2026-02-01,13760,14386,13718,13853,18032668
2026-02-02,13440,13520,12750,12990,15902428
2026-02-03,13510,13838,13500,13620,16630088
2026-02-07,13510,13750,13315,13529,7571964
2026-02-08,13602,14099,13602,14089,15344032
2026-02-09,14500,14698,14230,14439,11186357
2026-02-10,14900,14900,14458,14610,12204707
2026-02-14,14600,14600,14100,14280,4446624
2026-02-15,14500,14598,14370,14570,3251354
2026-02-16,14350,14538,14150,14332,2923767
2026-02-17,14150,14500,13844,14163,8090045
2026-02-18,14300,14600,14250,14391,2741985
2026-02-21,14700,14871,14501,14660,5254859
2026-02-22,14750,14768,14522,14768,8691039
2026-02-23,14652,14790,14400,14459,8880740
2026-02-24,14490,14632,14369,14479,4221283
2026-02-25,14600,14935,14441,14525,12829437
2026-03-15,13288,13546,13288,13289,11814595
2026-03-16,12050,12850,12050,12561,4043763
2026-03-17,12500,13447,12500,13420,2363687
2026-03-18,13740,14199,13690,14165,3136403
2026-03-25,12991,13807,12991,13550,1928962
2026-03-28,13449,13690,13351,13390,2864023
2026-03-29,13393,13401,13076,13239,1713275
2026-03-30,12860,13250,12860,13130,645764
2026-03-31,13195,13195,13120,13165,252074
2026-04-04,13000,13810,13000,13700,2657357
2026-04-05,13700,13900,13520,13569,1337687
2026-04-06,13570,13848,13570,13755,1071860
2026-04-07,13999,14238,13844,14180,792940
2026-04-08,14025,14025,13676,13976,1452781
2026-04-11,13671,13671,13350,13500,1399199
2026-04-12,13998,13998,13700,13703,1108162
2026-04-13,13850,13930,13724,13785,111225628
