date,open,high,low,close,volume
2025-11-16,12400,12400,12170,12400,504249
2025-11-17,12410,12520,12290,12400,508886
2025-11-18,12250,12490,12250,12340,827403
2025-11-19,12500,12530,12370,12380,773257
2025-11-22,12460,12580,12460,12570,444981
2025-11-23,12650,12740,12540,12700,3931364
2025-11-25,12850,12950,12700,12800,2246753
2025-11-26,12900,12900,12660,12750,455962
2025-11-29,12740,12850,12640,12660,415087
2025-11-30,12790,12820,12630,12780,307683
2025-12-01,13020,13070,12820,12900,3954505
2025-12-02,13000,13100,12910,12970,239918
2025-12-03,12980,13190,12980,13190,6370298
2025-12-06,13270,13460,13260,13440,715298
2025-12-07,13360,13570,13140,13300,126209
2025-12-08,13160,13450,13160,13340,8638952
2025-12-09,13450,13570,13300,13300,10192969
2025-12-10,13580,13660,13470,13650,10944705
2025-12-13,13780,13850,13740,13750,7904246
2025-12-14,13780,13970,13730,13950,1097553
2025-12-15,14130,14230,14110,14180,4734182
2025-12-16,14110,14510,13880,14220,2186332
2025-12-17,14280,14660,14220,14360,16036373
2025-12-20,14400,14690,14400,14690,53384190
2025-12-21,14650,14750,14510,14670,6582394
2025-12-22,14680,14870,14600,14660,2681434
2025-12-23,14780,15120,14780,15120,22959771
2025-12-24,15150,15480,15150,15450,55429090
2025-12-27,15500,15830,15500,15680,31089203
2025-12-28,15650,15750,15460,15510,12240798
2025-12-29,15480,15610,15210,15250,6163331
2025-12-30,15200,15200,14900,14900,4919711
2025-12-31,14820,15080,14570,15080,3358221
2026-01-04,15180,15180,14500,14650,17418738
2026-01-05,14700,15080,14700,15080,14865132
2026-01-06,15500,15520,15400,15520,22277187
2026-01-07,15940,15940,15160,15160,5424012
2026-01-10,15010,15290,15010,15010,5130594
2026-01-11,14600,15080,14570,14600,12908147
2026-01-12,14950,15040,14810,14920,8824899
2026-01-13,14910,15100,14470,14520,10460282
2026-01-14,14270,14320,14270,14270,6700942
2026-01-18,14620,14690,14490,14680,5944587
2026-01-19,14740,15090,14740,15030,16946457
2026-01-20,15060,15180,14700,14970,2111738
2026-01-21,15240,15360,15110,15360,13857136
2026-01-24,15160,15360,14840,14840,4522903
2026-01-25,14530,14530,14470,14470,2651170
2026-01-26,14040,14040,14040,14040,500467
2026-01-27,13620,13680,13620,13680,4117125
2026-01-28,13220,13830,13220,13240,2627424
2026-01-31,12900,13600,12900,12900,3117378
