date,open,high,low,close,volume
2025-11-16,20090,20697,20083,20425,2349416
2025-11-17,20400,20633,20350,20350,2179861
2025-11-18,20854,20854,20047,20440,5237185
2025-11-19,20450,20450,20268,20440,4037295
2025-11-22,20859,20859,20443,20549,2992793
2025-11-23,20732,20889,20659,20840,6313331
2025-11-25,20891,21249,20760,21045,4061488
2025-11-26,20890,21100,20730,20851,9593352
2025-11-29,21071,21071,20687,20691,1448856
2025-11-30,20737,21000,20720,20738,2622242
2025-12-01,20900,21150,20896,20990,3678523
2025-12-02,21190,21240,20933,21051,1138644
2025-12-03,21230,21298,21124,21240,2099639
2025-12-06,21660,21830,21506,21803,7569929
2025-12-07,21977,21977,21505,21550,6878725
2025-12-08,21692,21940,21500,21798,11442893
2025-12-09,21700,22110,21610,21700,7394728
2025-12-10,21760,22282,21760,22189,18083947
2025-12-13,22163,22801,22163,22800,22686497
2025-12-14,23393,23393,22437,23020,15274666
2025-12-15,23290,23440,22921,23440,4573871
2025-12-16,23650,23890,22852,23019,20777421
2025-12-17,24225,24225,23303,23778,19225091
2025-12-20,23900,24270,23900,24149,39533449
2025-12-21,24268,24270,23864,24006,9615685
2025-12-22,24065,24590,24065,24364,35803238
2025-12-23,24200,24700,24097,24600,6217694
2025-12-24,24784,25093,24784,25093,76925201
2025-12-27,25600,25843,25207,25579,30319085
2025-12-28,25630,26200,25441,25610,13617951
2025-12-29,25422,25940,24981,25087,15004240
2025-12-30,24906,24906,24326,24326,7340676
2025-12-31,24253,24850,23662,24632,5443510
2026-01-04,24600,24600,23467,23900,11378596
2026-01-05,24649,24654,24154,24654,16614780
2026-01-06,25122,25386,25122,25386,95850506
2026-01-07,26120,26120,25100,25150,44972504
2026-01-10,24735,24770,24735,24735,15087278
2026-01-11,23994,24550,23994,24230,39084208
2026-01-12,24443,24780,24443,24466,17925153
2026-01-13,24757,24870,23929,24257,15205923
2026-01-14,24300,24300,23671,23671,6391667
2026-01-18,24007,24457,23862,24397,24566962
2026-01-19,24550,24990,24298,24728,9333015
2026-01-20,24892,25345,24293,25310,30548286
2026-01-21,25221,25871,25221,25727,69248325
2026-01-24,25212,25300,24858,24858,5017551
2026-01-25,24178,24178,24178,24178,4138420
2026-01-26,23453,23453,23453,23453,6545406
2026-01-27,22750,22750,22750,22750,14293166
2026-01-28,22068,22479,22068,22071,23954294
2026-01-31,21670,22489,21428,21444,8613131
2026-02-01,21750,22136,21202,21644,7201095
2026-02-02,22200,22337,21985,22337,2044287
2026-02-03,22710,22930,22011,22300,9540926
2026-02-07,22939,23145,22936,23145,19491100
2026-02-08,23300,23590,22444,22461,64907976
2026-02-09,22917,22931,22299,22299,10520131
2026-02-10,22484,22750,22236,22400,7128397
2026-02-14,22540,23190,21842,21842,6103416
2026-02-15,21721,21999,21645,21646,14345707
2026-02-16,21600,22300,21582,21750,1309523
2026-02-17,21881,22040,21656,21992,3247332
2026-02-18,22409,22409,21623,21623,1456518
2026-02-21,21086,21410,21086,21086,3153290
2026-02-22,21175,21175,20550,20680,3780389
2026-02-23,20926,21281,20820,21000,29968915
2026-02-24,21056,21644,20450,20552,4439802
2026-02-25,20964,21268,20839,21140,21445857
2026-05-19,20567,21189,20567,20642,21911821
2026-05-20,20950,21214,20940,21214,48535995
2026-05-23,21848,21848,21848,21848,17484587
2026-05-24,22503,22503,22503,22503,10196288
2026-05-25,23178,23178,23178,23178,12429157
2026-05-26,23873,23873,23200,23873,81570623
2026-05-30,24462,24462,24462,24462,6445874
2026-05-31,25195,25195,25195,25195,2088771
2026-06-01,25950,25950,25950,25950,32904437
2026-06-02,26000,26728,25213,25780,100282733
2026-06-03,25363,25766,25342,25342,30587013
2026-06-06,25479,26159,25000,26159,22657068
2026-06-07,26159,26615,26159,26615,37068832
2026-06-08,25806,25806,25806,25806,5748672
2026-06-09,26580,26580,26580,26580,12967219
2026-06-10,27377,27377,26700,27377,34908678
2026-06-13,28142,28142,28142,28142,22195285
2026-06-14,28986,28986,28986,28986,7128600
2026-06-15,29855,29855,29855,29855,25139359
2026-06-16,30750,30750,29855,30254,122330748
2026-06-17,30000,30500,29681,30497,29886288
2026-06-20,30130,31000,29211,29211,41089220
2026-06-21,28783,29000,28783,28783,21234582
2026-06-22,27921,28490,27921,28000,26434252
2026-06-23,28250,28759,28020,28759,32490291
2026-06-27,29440,29470,27855,28280,22083697
2026-06-28,29219,29219,28050,28050,4934606
2026-06-29,27379,28395,27372,28070,16071852
2026-06-30,28404,28562,28304,28562,16068167
2026-07-01,29128,29393,29010,29393,19528673
2026-07-07,29976,30184,29644,30184,4993010
2026-07-08,30600,30689,29247,29247,43199269
2026-07-11,29901,29901,29316,29316,7711998
2026-07-12,28476,28476,28476,28476,4519228
2026-07-13,27622,27622,27622,27622,8677852
2026-07-14,26794,28399,26794,27504,30616845
2026-07-15,27995,28080,27263,27739,23790141
2026-07-18,27320,27444,27018,27018,6264132
2026-07-19,26312,27929,26312,27635,9939210
2026-07-20,27300,28036,27250,28036,5782137
2026-07-21,28644,28644,28500,28644,1221477
2026-07-22,29502,29502,29177,29485,10806159
2026-07-25,29530,30340,29323,29966,8931049
2026-07-26,30779,30779,30779,30779,9493191
2026-07-27,31600,31600,31025,31499,13131784
2026-07-28,31895,32296,31033,31799,10108664
2026-07-29,32334,32334,31055,31905,8569620
2026-08-01,32509,32777,31300,31999,7540205
2026-08-02,33292,33292,32553,33292,13185327
2026-08-03,33994,33994,33611,33994,9185913
2026-08-05,35004,35004,35004,35004,952086
2026-08-08,36054,36054,36054,36054,14822422
2026-08-09,36634,36634,34973,34973,32337557
2026-08-10,35488,36750,35242,36299,10372386
2026-08-11,36688,36688,35870,35871,10816782
2026-08-15,36238,36700,35580,35780,34702262
2026-08-16,36131,37210,36116,36849,37767291
2026-08-17,36576,37628,36576,37628,10969300
2026-08-18,38450,38450,37048,37048,6095287
2026-08-19,37271,38300,37178,38000,8761042
2026-08-22,37730,38686,37730,38260,5071137
2026-08-23,38355,39479,37873,37885,14297424
2026-08-24,38408,38900,38176,38557,9036530
2026-08-25,38627,39475,38626,39399,3176906
2026-08-26,39650,40416,39650,40416,2947966
2026-08-29,40830,41614,40256,41440,8302788
2026-08-31,41223,41614,39994,40010,5570829
2026-09-01,40900,41477,39245,39709,7848535
2026-09-02,39539,39539,39539,39539,5164627
2026-09-05,40430,40725,38399,40725,7861850
2026-09-06,41010,41463,40830,41463,2041386
2026-09-07,41983,42687,41983,42687,3570441
2026-09-08,43966,43966,42750,43966,25716621
2026-09-09,43146,43950,42907,43139,15469197
