date,open,high,low,close,volume
2025-11-10,10000,10000,10000,10000,356119988
2025-11-11,10000,10000,10000,10000,285185941
2025-11-12,10000,10000,10000,10000,348694071
2025-12-07,10280,10280,10077,10081,47082520
2025-12-08,10114,10173,10051,10165,71144224
2025-12-09,10165,10439,10165,10392,63524408
2025-12-10,10443,10631,10443,10631,81896253
2025-12-13,10868,10868,10750,10868,24719236
2025-12-14,11184,11184,10868,11184,89205851
2025-12-15,11485,11485,11300,11485,55926561
2025-12-16,11828,11828,11140,11140,120478794
2025-12-17,11215,11750,11215,11341,150372122
2025-12-20,11590,11686,11346,11686,120473624
2025-12-21,11792,11833,11391,11495,117433878
2025-12-22,11494,11620,11252,11332,121857540
2025-12-23,11225,11430,11225,11394,84532366
2025-12-24,11450,11695,11450,11695,147447749
2025-12-27,11910,12021,11820,11969,109987308
2025-12-28,12019,12086,11751,11929,155667218
2025-12-29,11960,11960,11555,11578,130750171
2025-12-30,11280,11290,11280,11280,20253947
2025-12-31,10942,11490,10942,11368,61448871
2026-01-04,11000,11200,10866,10900,66673081
2026-01-05,11010,11244,11010,11244,43814262
2026-01-06,11560,11560,11520,11560,42647905
2026-01-07,11899,11899,11349,11502,103091635
2026-01-10,11191,11398,11191,11191,67801687
2026-01-11,10910,11293,10910,11239,45896960
2026-01-12,11380,11471,11312,11379,35260542
2026-01-13,11429,11600,11098,11169,37635498
2026-01-14,10943,10950,10943,10943,24918404
2026-01-18,10943,11271,10943,11271,50247767
2026-01-19,11300,11489,11113,11240,31961992
2026-01-20,11280,11560,11120,11424,92428593
2026-01-21,11501,11730,11450,11730,66166475
2026-01-24,11348,11600,11305,11305,27803273
2026-01-25,11008,11114,11008,11008,14910773
2026-01-26,10678,10678,10678,10678,12320996
2026-01-27,10358,10358,10358,10358,27199211
2026-01-28,10060,10250,10048,10090,57958816
2026-01-31,10145,10218,9783,9787,38177547
2026-02-01,9680,10156,9680,10156,20214597
2026-02-02,10189,10351,10189,10351,13233687
2026-02-03,10500,10550,10200,10265,16881335
2026-02-07,10542,10631,10541,10631,30110040
2026-02-08,10900,10915,10410,10450,35970671
2026-02-09,10325,10500,10322,10322,27732538
2026-02-10,10116,10285,10116,10258,9725625
2026-02-14,10345,10498,9997,10015,11772894
2026-02-15,9935,10195,9899,9902,17832515
2026-02-16,9950,10001,9825,9999,12034561
2026-02-17,10057,10060,9987,10060,14586633
2026-02-18,10103,10185,9881,9940,8606737
2026-02-21,9715,9799,9715,9715,14886483
2026-02-22,9427,9550,9425,9503,21121480
2026-02-23,9739,9739,9501,9620,16785251
2026-02-24,9611,9686,9464,9535,8641683
2026-02-25,9469,9700,9441,9675,12395731
2026-05-19,9374,9528,9374,9470,71929999
2026-05-20,9430,9669,9430,9669,70424025
2026-05-23,9941,9941,9941,9941,17446968
2026-05-24,10239,10239,10239,10239,11331631
2026-05-25,10546,10546,10546,10546,18228210
2026-05-26,10860,10862,10630,10862,105750322
2026-05-30,11170,11170,11170,11170,31055964
2026-05-31,11505,11505,11505,11505,11005497
2026-06-01,11850,11850,11850,11850,58466777
2026-06-02,12205,12205,11769,11971,195676957
2026-06-03,11850,12080,11742,11742,118108541
2026-06-06,11840,12195,11742,12195,72001436
2026-06-07,12439,12452,12330,12452,49439685
2026-06-08,12077,12077,12077,12077,31166899
2026-06-09,12439,12439,12439,12439,24109206
2026-06-10,12812,12812,12812,12812,31356241
2026-06-13,13196,13196,13196,13196,12567068
2026-06-14,13591,13591,13591,13591,15785203
2026-06-15,13998,13998,13998,13998,10826399
2026-06-16,14417,14417,13998,14415,218802271
2026-06-17,14600,14600,13956,14400,85183385
2026-06-20,14650,14650,13861,13861,47004740
2026-06-21,13595,13598,13595,13595,17841136
2026-06-22,13188,13188,13188,13188,23136367
2026-06-23,13020,13582,13020,13385,106047288
2026-06-27,13152,13363,12893,12893,68445138
2026-06-28,12627,12629,12627,12627,18724594
2026-06-29,12249,12795,12249,12700,112443263
2026-06-30,12705,12781,12700,12781,42807222
2026-07-01,13090,13158,13000,13158,29246214
2026-07-07,13523,13523,13523,13523,13514419
2026-07-08,13200,13924,13118,13118,61918145
2026-07-11,13233,13279,13222,13222,35187229
2026-07-12,12827,12827,12827,12827,8509743
2026-07-13,12443,12599,12443,12517,78028619
2026-07-14,12107,12825,12091,12626,85416417
2026-07-15,12800,12861,12481,12750,36740744
2026-07-18,12461,12461,12420,12420,16003831
2026-07-19,12444,12817,12351,12817,38036320
2026-07-20,12990,12999,12990,12999,17701401
2026-07-21,13388,13388,13388,13388,8768796
2026-07-22,13700,13789,13388,13716,29766030
2026-07-25,13789,14085,13501,13820,31815398
2026-07-26,14238,14238,14238,14238,14081812
2026-07-27,14665,14665,14239,14479,36567887
2026-07-28,14657,14888,14293,14605,29503452
2026-07-29,14410,14857,14242,14761,27086241
2026-08-01,14651,14960,14651,14722,22852269
2026-08-02,15295,15295,14990,15295,48775857
2026-08-03,15658,15658,15658,15658,18848897
2026-08-05,16127,16127,16127,16127,12578752
2026-08-08,16610,16610,16610,16610,13138039
2026-08-09,17108,17108,16127,16387,93596479
2026-08-10,16511,16997,16430,16820,48326078
2026-08-11,16818,16921,16370,16793,45614019
2026-08-15,16796,16850,16321,16509,21542581
2026-08-16,16311,17079,16311,17079,26690887
2026-08-17,17085,17483,17085,17483,43350892
2026-08-18,17967,17967,17000,17082,67049215
2026-08-19,16807,17400,16807,17254,19516522
2026-08-22,17500,17732,17500,17732,23756550
2026-08-23,17812,18234,17812,18133,32967908
2026-08-24,18440,18500,17815,18201,20083095
2026-08-25,18350,18648,17933,18557,26524769
2026-08-26,19094,19094,18900,19094,44060958
2026-08-29,19663,19663,19119,19360,40391585
2026-08-31,18789,19200,18789,18793,79925561
2026-09-01,18844,19320,18268,18268,31425208
2026-09-02,18230,18437,18230,18230,36577746
2026-09-05,18267,18809,18267,18809,24871274
2026-09-06,19190,19243,18853,19243,29822676
2026-09-07,19667,19744,19400,19744,21496202
2026-09-08,20332,20332,20000,20332,27512049
2026-09-09,20332,20839,19992,20260,64863338
2026-09-12,20870,20916,20407,20916,42695090
2026-09-13,0,21349,20893,21224,40675620
2026-09-14,21500,21500,20659,20705,29949782
2026-09-15,20706,21370,20706,21359,19680195
2026-09-16,21796,21796,20798,21030,27715611
2026-09-19,20700,21210,20452,20452,32337826
2026-09-20,19879,20100,19879,20091,40631794
