date,open,high,low,close,volume
2026-01-14,13759,14000,13660,13722,1042378
2026-01-18,13769,13769,13455,13569,914583
2026-01-19,13799,13800,13500,13650,756215
2026-01-20,13800,13800,13370,13505,6712811
2026-01-21,13853,13996,13770,13895,16771140
2026-01-24,14242,14729,14242,14350,2350086
2026-01-25,14350,14559,14236,14406,6990272
2026-01-26,14651,15154,14651,15011,10106972
2026-01-27,15853,16305,15450,16050,15361664
2026-01-28,17270,17590,17013,17130,4998615
2026-01-31,15578,16894,15578,16560,10730859
2026-02-01,16740,16740,15578,15937,41174955
2026-02-02,15050,15578,14600,14950,13841942
2026-02-03,15685,16000,15470,15740,9405029
2026-02-07,15887,16000,15322,15800,6179768
2026-02-08,15812,16400,15812,16351,16075132
2026-02-09,17449,17449,16750,16786,5059767
2026-02-10,17110,17200,16880,16930,13113960
2026-02-14,16701,16788,16437,16552,3404632
2026-02-15,16750,16940,16626,16800,12462551
2026-02-16,16590,16785,16482,16507,2738592
2026-02-17,16690,16885,16250,16501,32008833
2026-02-18,16760,16989,16570,16600,782712
2026-02-21,17480,17480,16925,17020,21559436
2026-02-22,17001,17100,16901,17100,3297822
2026-02-23,17149,17149,16850,16940,1133490
2026-02-24,16951,17178,16950,17090,8771730
2026-02-25,17210,17330,16660,16670,1643634
2026-03-15,15345,15345,15331,15332,1349820
2026-03-16,13803,14338,13801,14199,453709
2026-03-17,14560,15200,14450,15100,1258803
2026-03-18,16060,16060,15451,15930,1704718
2026-03-25,15190,15600,15190,15400,466971
2026-03-28,15500,15600,15140,15329,706851
2026-03-29,15110,15386,14908,14910,330480
2026-03-30,14908,15365,14908,15000,225745
2026-03-31,15080,15249,15080,15100,111142
2026-04-04,15352,15829,15352,15690,2430343
2026-04-05,15673,15673,15501,15600,312463
2026-04-06,15452,15745,15452,15720,20238010
2026-04-07,16000,16290,15901,16210,698570
2026-04-08,15600,15998,15600,15880,460295
2026-04-11,15589,15600,15369,15465,908877
2026-04-12,16081,16328,15600,15600,1105618
2026-04-13,15800,16030,15800,15863,1085763
2026-04-15,15863,15863,15401,15500,10189085
2026-04-18,14901,15348,14901,15151,759947
2026-04-19,15371,15371,15130,15133,513490
2026-04-20,15590,15590,14901,15090,295384
2026-04-21,15019,15119,14960,15029,235376
2026-04-22,15300,15390,15200,15260,1100953
2026-04-25,15500,15500,15151,15230,738740
2026-04-26,15347,15639,15240,15298,2923306
2026-04-27,15350,15950,15260,15905,12820411
2026-04-28,16430,16898,16430,16840,13477207
2026-04-29,18300,18300,17500,17650,12781409
2026-05-02,18690,18789,18070,18290,7876624
2026-05-03,18610,19350,18432,18722,7053001
2026-05-04,18356,18500,18151,18196,3267702
2026-05-05,17521,17899,17170,17365,925229
2026-05-06,17491,17699,16850,17202,3144044
2026-05-09,17650,17650,17338,17345,1217611
2026-05-10,17405,17405,17195,17270,487695
2026-05-11,17569,17890,17569,17796,5463734
2026-05-12,17770,17850,17557,17612,2758403
2026-05-13,17593,17593,17317,17459,2562104
2026-05-16,17381,17381,17010,17202,1092980
2026-05-17,17202,17252,17023,17098,845285
2026-05-18,17132,17132,16610,16749,1116497
2026-05-19,16749,16817,16591,16670,32171980
2026-05-20,16701,17012,16681,16902,774022
2026-05-23,16650,16698,16400,16536,903473
2026-05-24,16012,16012,15621,15957,2776005
2026-05-25,16807,16807,15863,16000,1643741
2026-05-26,16409,16409,15772,15950,381839
2026-05-30,16141,16141,15592,15867,634538
2026-05-31,16056,16056,15850,15880,444293
2026-06-01,16075,16429,16049,16362,13381386
2026-06-02,16399,16449,16221,16239,7248116
2026-06-03,16201,16338,16107,16225,3037460
2026-06-06,15880,15999,15751,15781,1148024
2026-06-07,16001,16184,16001,16127,3498098
2026-06-08,15980,16058,15785,15910,4390444
2026-06-09,15858,15938,15780,15780,3306863
2026-06-10,15751,15849,15630,15630,1295419
2026-06-13,15169,15350,14850,14981,1353537
2026-06-14,14711,15400,14654,15136,2144947
2026-06-15,14949,14949,14655,14774,725036
2026-06-16,14601,14601,14153,14232,1877030
2026-06-17,14070,14658,14070,14280,2449375
2026-06-20,14653,14695,14360,14500,805114
2026-06-21,14329,14329,13876,13899,508828
2026-06-22,13801,14312,13801,13880,1231410
2026-06-23,13811,14106,13810,13954,618752
2026-06-27,14015,14388,14015,14181,702554
2026-06-28,14366,14885,14366,14870,7604013
2026-06-29,14700,14798,14461,14478,1775363
2026-06-30,14453,15150,14453,14887,6968447
2026-07-01,15229,15229,14890,14958,5829179
2026-07-07,15189,15497,15189,15419,3036232
2026-07-08,15498,15898,15498,15655,2430455
2026-07-11,15337,15600,15281,15402,678491
2026-07-12,15460,15893,15460,15510,904518
2026-07-13,15374,15537,15374,15445,1409196
2026-07-14,15550,15897,15550,15774,827490
2026-07-15,15999,16350,15999,16250,2676732
2026-07-18,16599,16799,16363,16630,1735267
2026-07-19,16331,16576,16320,16402,2556954
2026-07-20,16090,16090,15800,15852,4073820
2026-07-21,15904,16100,15904,16086,2129416
2026-07-22,16495,16495,16350,16430,1731415
2026-07-25,16217,16218,15993,16038,1132443
2026-07-26,15652,16084,15652,15869,1732380
2026-07-27,15997,16390,15997,16208,1372041
2026-07-28,16332,16332,16100,16120,1242873
2026-07-29,16217,16597,16217,16368,3854945
2026-08-01,16797,16797,16288,16395,3054904
2026-08-02,16201,16358,15934,16120,17822352
2026-08-03,15971,16170,15971,16074,1994928
2026-08-05,16136,16348,15950,15965,6485381
2026-08-08,16198,16429,16198,16280,2601514
2026-08-09,16476,16476,16156,16250,34899101
2026-08-10,16059,16382,16059,16150,3133326
2026-08-11,16230,16466,16210,16375,27474430
2026-08-15,16490,16650,16274,16650,13635833
2026-08-16,16569,16610,16242,16542,15452692
2026-08-17,16596,16728,16513,16728,29361043
2026-08-18,16800,16900,16726,16872,6290531
2026-08-19,17185,17380,17020,17363,18585289
2026-08-22,17805,18536,17805,18386,10152474
2026-08-23,19019,19240,18605,18950,16311396
2026-08-24,19500,19500,19047,19047,5568138
2026-08-25,19285,19285,18281,18536,10851945
2026-08-26,18039,18964,18039,18803,27494965
2026-08-29,19196,19260,18805,19212,10111236
2026-08-31,19428,19739,19141,19647,34420645
2026-09-01,19630,19649,19200,19385,18831891
2026-09-02,19801,19990,19549,19728,8440279
2026-09-05,20040,20356,20030,20213,19258783
2026-09-06,20181,20181,19850,19900,16979863
2026-09-07,19342,20082,19342,19935,16157522
2026-09-08,20089,20347,20089,20239,19323165
2026-09-09,20873,20970,20236,20620,6847659
2026-09-12,20665,20777,20282,20543,5253956
2026-09-13,20489,20489,20000,20150,13478425
2026-09-14,20690,20690,20100,20157,8406716
2026-09-15,19900,20174,19600,19830,8615724
2026-09-16,20370,20370,19700,20170,7069332
2026-09-19,20640,20779,20286,20683,31499821
2026-09-20,20999,21375,20893,20900,6999142
