date,open,high,low,close,volume
2025-11-16,9660,9850,9660,9800,2033693
2025-11-17,10100,10100,9960,9960,1246461
2025-11-18,9960,9960,9940,9940,8109
2025-11-19,9830,9890,9830,9890,1003548
2025-11-22,9970,10040,9910,10020,4051586
2025-11-23,10200,10200,10030,10030,41500
2025-11-25,10290,10420,10200,10400,7668769
2025-11-26,10350,10350,10240,10240,2653818
2025-11-29,10270,10270,10270,10270,3008
2025-11-30,10270,10330,10270,10330,1384
2025-12-01,10320,10430,10320,10430,117885
2025-12-02,10440,10500,10440,10490,61300
2025-12-03,10580,10670,10500,10670,60343
2025-12-06,10780,10870,10730,10870,261964
2025-12-07,10890,10900,10800,10820,2088191
2025-12-08,10840,10980,10840,10970,53186
2025-12-09,11050,11200,10980,11150,6850076
2025-12-10,11230,11380,11140,11380,6916946
2025-12-13,11400,11540,11400,11540,5988096
2025-12-14,11370,11630,11320,11630,3612816
2025-12-15,11700,11780,11690,11780,1858420
2025-12-16,11870,12050,11680,11680,1915373
2025-12-17,11920,11930,11820,11820,230237
2025-12-20,12070,12180,12070,12160,7543709
2025-12-21,12290,12430,12250,12430,14918267
2025-12-22,12460,12520,12190,12190,1219331
2025-12-23,12400,12470,12400,12400,1220844
2025-12-24,12650,12810,12630,12810,3435803
2025-12-27,12850,13060,12850,13060,1088103
2025-12-28,13140,13230,12950,13220,1620034
2025-12-29,13130,13280,12860,12900,5828377
2025-12-30,12810,12810,12710,12720,20213102
2025-12-31,12810,12920,12810,12910,1024827
2026-01-04,13070,13070,12710,12780,873213
2026-01-05,13090,13220,13090,13220,11835977
2026-01-06,13590,13590,13390,13590,28217699
2026-01-07,13990,13990,13500,13650,1380448
2026-01-10,13170,13620,13170,13390,3922234
2026-01-11,13420,13710,13390,13700,2013734
2026-01-12,13950,14000,13890,13990,11782010
2026-01-13,14200,14200,13720,13720,3734609
2026-01-14,13720,13720,13480,13690,4710330
2026-01-18,13920,13920,13910,13920,5090873
2026-01-19,14160,14210,13930,13930,779791
2026-01-20,14260,14260,13780,14260,224127
2026-01-21,13740,14170,13650,13650,19030
2026-01-24,13280,13780,13270,13270,5003327
2026-01-25,12880,13380,12880,13250,32218537
2026-01-26,12630,12800,12630,12630,5020136
2026-01-27,12260,12750,12260,12260,52487
2026-01-28,12130,12130,12130,12130,6002222
2026-01-31,11830,12130,11770,12130,1817700
2026-02-01,11960,11960,11770,11910,3538416
2026-02-02,12090,12100,11960,12050,3767073
2026-02-03,12230,12230,11900,11900,105160
2026-02-07,12200,12440,12200,12440,340178
2026-02-08,12510,12650,12480,12500,3704110
2026-02-09,12280,12290,12280,12280,125420
2026-02-10,12240,12240,12240,12240,500
2026-02-14,12220,12220,11880,11880,395000
2026-02-15,11770,11770,11610,11610,300173
2026-02-16,11290,11480,11290,11480,44657
2026-02-17,11610,11610,11360,11390,7339
2026-02-18,11430,11430,11160,11160,168277
2026-02-21,11240,11240,11060,11060,3209
2026-02-22,10758,10760,10758,10760,26557
2026-02-23,10950,10950,10690,10690,970
2026-02-24,10620,10870,10620,10870,23350
2026-02-25,11050,11050,11040,11040,1700
2026-05-19,10715,10715,10715,10715,1837
2026-05-20,10394,10394,10394,10394,127200
2026-05-23,10605,10705,10605,10705,135926
2026-05-24,11003,11003,11003,11003,3343407
2026-05-25,11333,11333,11290,11333,4011432
2026-05-26,11648,11670,10995,11650,4017413
2026-05-30,11800,11933,11800,11933,300000
2026-05-31,12240,12240,12240,12240,126371
2026-06-01,12607,12607,12606,12607,1147215
2026-06-02,12250,12777,12229,12441,2491846
2026-06-03,12089,12329,12086,12329,1080613
2026-06-06,11964,12450,11964,12449,1081510
2026-06-07,12420,12688,12420,12687,5208856
2026-06-08,12276,12500,12255,12255,1268070
2026-06-09,12628,12628,12626,12628,910780
2026-06-10,13006,13006,13005,13006,17203145
2026-06-13,13396,13396,13396,13396,8846550
2026-06-14,13797,13797,13797,13797,2159285
2026-06-15,14210,14210,14210,14210,24613
2026-06-16,14636,14636,14210,14410,26106594
2026-06-17,14894,14894,14894,14894,2449656
2026-06-20,15340,15340,14631,14890,3586679
2026-06-21,15200,15201,14896,14896,1842557
2026-06-22,14499,14785,14498,14498,733190
2026-06-23,14290,15172,14290,15172,5573795
2026-06-27,15055,15339,14750,15339,446619
2026-06-28,14544,14548,14544,14545,2861105
2026-06-29,14563,14849,14379,14379,11350509
2026-06-30,14933,14933,14932,14932,1698850
2026-07-01,14934,15378,14900,15378,7299565
2026-07-07,15380,15699,15380,15699,7472018
2026-07-08,15529,15740,15218,15739,5940142
2026-07-11,15070,15071,15069,15070,30114
2026-07-12,14918,14918,14617,14617,483325
2026-07-13,14219,14240,14219,14219,548137
2026-07-14,13805,14299,13805,14299,206847
2026-07-15,14514,14514,13996,14082,4882624
2026-07-18,13688,13688,13688,13688,4144
2026-07-19,13279,14098,13278,13278,1173532
2026-07-20,13529,13848,13318,13846,3018322
2026-07-21,14015,14015,13745,14014,12242334
2026-07-22,14343,14344,13546,13680,4117565
2026-07-25,13958,13958,13677,13954,575428
2026-07-26,14050,14165,13860,13950,421283
2026-07-27,13900,14150,13800,14000,438312
2026-07-28,14407,14407,14030,14360,3101273
2026-07-29,13997,14183,13997,14183,73194
2026-08-01,13730,14009,13730,14009,173317
2026-08-02,14332,14332,14041,14270,49437
2026-08-03,14296,14729,14120,14727,5607225
2026-08-05,14710,14945,14710,14945,9264822
2026-08-08,15380,15380,15118,15380,5707320
2026-08-09,15410,15426,14902,14957,6797460
2026-08-10,14902,15585,14726,15584,5279986
2026-08-11,15490,15782,15490,15779,1659026
2026-08-15,16167,16167,15525,15700,9336
2026-08-16,15410,16036,15200,15850,5928555
2026-08-17,16050,16149,16029,16029,633993
2026-08-18,16180,16180,15750,15750,112600
2026-08-19,16487,16487,15901,16000,11064600
2026-08-22,16296,16343,15850,16250,1775832
2026-08-23,16365,16592,15637,15650,1240737
2026-08-24,16069,16389,15939,16249,604906
2026-08-25,16366,16695,16366,16570,6887945
2026-08-26,17048,17056,17000,17056,7231263
2026-08-29,17560,17567,17242,17566,2418924
2026-08-31,17310,18062,17310,17740,5625411
2026-09-01,17400,18275,17211,17211,5760050
2026-09-02,17654,17654,17191,17550,2140701
2026-09-05,17811,17811,17477,17596,2176212
2026-09-06,17799,18042,17798,18042,1229163
2026-09-07,18226,18428,18201,18427,2134853
2026-09-08,18800,18965,18435,18628,928518
2026-09-09,19377,19377,18408,18999,2931808
2026-09-12,19522,19522,19110,19504,509573
2026-09-13,19677,19967,19671,19777,1848796
2026-09-14,19762,19974,19465,19800,563208
2026-09-15,20099,20340,20001,20339,304962
2026-09-16,20400,20500,19800,20090,6936653
2026-09-19,20495,20495,19725,19998,81290
2026-09-20,19760,19760,19429,19429,1907756
