date,open,high,low,close,volume
2025-11-16,15990,16100,15900,16100,1456594
2025-11-17,16130,16210,16060,16190,3954358
2025-11-18,16150,16200,16120,16180,859846
2025-11-19,16120,16180,16100,16170,1256063
2025-11-22,16200,16330,16170,16270,1726569
2025-11-23,16330,16350,16280,16350,1797306
2025-11-25,16350,16560,16350,16530,2234028
2025-11-26,16520,16600,16370,16450,1606659
2025-11-29,16470,16520,16350,16400,1720087
2025-11-30,16540,16540,16370,16470,2026055
2025-12-01,16470,16630,16470,16630,683667
2025-12-02,16660,16720,16590,16720,1483251
2025-12-03,16740,16840,16730,16840,1205616
2025-12-06,16840,16930,16840,16900,12320355
2025-12-07,17380,17380,16470,16830,13309925
2025-12-08,16790,16850,16720,16820,689472
2025-12-09,16960,16960,16830,16950,4811431
2025-12-10,17300,17300,16790,17000,1790759
2025-12-13,17120,17120,17000,17020,5517564
2025-12-14,16890,17060,16840,17000,3350051
2025-12-15,17000,17080,16870,17050,3949784
2025-12-16,17020,17190,17000,17030,2726064
2025-12-17,16990,17200,16940,17100,2652681
2025-12-20,17150,17380,17140,17310,14320547
2025-12-21,17530,17540,17230,17540,2971402
2025-12-22,17260,17470,17260,17360,1335806
2025-12-23,17310,17520,17300,17520,930822
2025-12-24,17520,17860,17350,17860,6264121
2025-12-27,17790,17900,17590,17730,6382361
2025-12-28,17620,18090,17620,17850,9063240
2025-12-29,18140,18140,17700,17760,6639747
2025-12-30,17600,17930,17320,17870,12088225
2025-12-31,17710,18040,17710,17990,8204046
2026-01-04,17990,17950,17530,17740,3648614
2026-01-05,17890,17970,17730,17850,23686206
2026-01-06,17820,18100,17810,17920,8119856
2026-01-07,17840,18070,17840,17920,4250845
2026-01-10,17890,17940,17700,17900,10662197
2026-01-11,17880,18030,17770,18020,2918110
2026-01-12,18150,18170,18000,18110,5777124
2026-01-13,18280,18280,18100,18130,3121763
2026-01-14,18130,18290,18130,18140,1926129
2026-01-18,18140,18230,18130,18220,2499033
2026-01-19,18190,18300,18180,18300,3115048
2026-01-20,18440,18440,18250,18270,3678818
