date,open,high,low,close,volume
2025-11-16,26580,26780,26150,26780,17294
2025-11-17,27000,27000,26300,26810,58138
2025-11-18,27160,27160,26300,26760,10597
2025-11-19,26360,26790,26350,26690,42155
2025-11-22,26990,26990,26400,26780,89613
2025-11-23,25970,27440,25970,27440,391553
2025-11-25,28180,28190,27410,28190,359115
2025-11-26,28990,29000,27340,28190,202404
2025-11-29,28450,28450,27000,27300,105083
2025-11-30,26690,28290,26690,28000,125406
2025-12-01,28460,28460,28200,28200,321809
2025-12-02,29270,29270,28400,28950,78302
2025-12-03,29600,29600,28700,29040,165019
2025-12-06,28900,29800,28900,29700,221361
2025-12-07,30180,30180,29250,29340,77889
2025-12-08,29570,30120,29410,29900,6769874
2025-12-09,29210,30690,29210,30690,63382
2025-12-10,29350,30890,29350,30800,181964
2025-12-13,30970,31300,30850,31220,3455327
2025-12-14,32000,32000,30700,31470,106482
2025-12-15,31930,31930,31250,31740,178370
2025-12-16,32390,32490,31000,31100,250625
2025-12-17,31900,31900,30980,31280,295713
2025-12-20,31500,32330,31500,32330,385090
2025-12-21,33270,33270,32500,33260,387676
2025-12-22,32010,33950,32010,32450,416110
2025-12-23,31770,33580,31770,33530,112426
2025-12-24,34000,34000,33700,33990,273225
2025-12-27,34220,34990,34220,34920,573649
2025-12-28,35850,35850,34920,35000,386307
2025-12-29,35980,35980,34200,34480,388407
2025-12-30,33770,35400,33750,33990,753547
2025-12-31,33990,34760,33800,34760,1234878
2026-01-04,34700,34800,33690,34730,541817
2026-01-05,34200,35070,34200,35070,894513
2026-01-06,35820,35900,35500,35900,324850
2026-01-07,36960,36960,36960,36960,805864
2026-01-10,35870,37980,35860,37660,964806
2026-01-11,37400,38090,37400,37980,591699
2026-01-12,38910,38950,38550,38950,641260
2026-01-13,39210,39840,37570,37580,285825
2026-01-14,37900,39300,37330,37330,623038
2026-01-18,37980,38530,37980,38530,459473
2026-01-19,39600,39620,38100,39100,544045
2026-01-20,38930,39870,38200,39600,304928
2026-01-21,38810,39870,38600,39040,181274
2026-01-24,38990,40100,37830,37830,287557
2026-01-25,36970,37860,36970,36970,236951
2026-01-26,38020,38020,35880,35880,501253
2026-01-27,35120,35870,35120,35120,653609
2026-01-28,34070,36000,34070,35000,892422
2026-01-31,33940,35970,33910,34760,172234
2026-02-01,34790,35320,34600,35320,409357
2026-02-02,35500,36080,35500,36080,203479
2026-02-03,37000,37100,35200,36020,315439
