date,open,high,low,close,volume
2025-11-12,6583,6693,6570,6570,436139
2025-11-15,6706,6714,6706,6714,614
2025-11-16,6784,6784,6774,6784,3292
2025-11-17,6921,6921,6887,6887,145
2025-11-18,6806,6806,6712,6712,5492
2025-11-19,6695,6805,6695,6805,240
2025-11-22,6832,6864,6806,6854,883
2025-11-23,6838,7012,6838,7012,11717
2025-11-25,7068,7103,7064,7103,100151
2025-11-26,7107,7107,7107,7107,100
2025-11-29,7078,7078,6893,6902,110050
2025-11-30,6932,7017,6932,7017,386240
2025-12-01,7124,7129,7124,7129,1035
2025-12-02,7196,7196,7082,7196,6843
2025-12-03,7172,7272,7172,7272,794
2025-12-06,7317,7418,7306,7418,219032
2025-12-07,7436,7504,7307,7307,1118
2025-12-08,7358,7526,7290,7526,583
2025-12-09,7533,7533,7436,7449,1137
2025-12-10,7516,7601,7511,7511,2395
2025-12-13,7651,7709,7554,7709,1093
2025-12-14,7752,7752,7645,7645,26182
2025-12-15,7811,7871,7803,7871,618452
2025-12-16,8003,8039,7807,7888,6787
2025-12-17,7809,7952,7809,7952,1620
2025-12-20,8032,8094,8000,8094,1897565
2025-12-21,8193,8193,8103,8193,525
2025-12-22,8187,8308,8070,8070,603911
2025-12-23,8159,8167,8159,8167,110
2025-12-24,8358,8404,8358,8404,9685
2025-12-27,8551,8640,8548,8548,103972
2025-12-28,8602,8727,8602,8662,565852
2025-12-29,8839,8839,8580,8600,745038
2025-12-30,8613,8613,8395,8516,8565
2025-12-31,8387,8630,8387,8554,7537
2026-01-04,8641,8641,8515,8515,1691
2026-01-05,8694,8805,8694,8805,21400
2026-01-06,8985,9023,8985,9023,3132
2026-01-07,9053,9146,9025,9025,86115
2026-01-10,8795,9153,8777,8885,5087
2026-01-11,8920,9113,8859,9043,8070
2026-01-12,9254,9258,9216,9216,1328
2026-01-13,9436,9436,9193,9193,3489
2026-01-14,9096,9226,9038,9129,4162
2026-01-18,9135,9322,9074,9178,109252
2026-01-19,9358,9358,9209,9209,1940
2026-01-20,9358,9358,9307,9307,7302
2026-01-21,9244,9343,9244,9244,158406
2026-01-24,9419,9419,9103,9103,382
2026-01-25,9018,9018,8997,8997,6572
2026-01-26,8727,8727,8727,8727,30641
2026-01-27,8465,8669,8465,8554,422007
2026-01-28,8645,8645,8645,8645,27375
2026-01-31,8783,8783,8504,8504,255
2026-02-01,8383,8652,8383,8652,5200
2026-02-02,8807,8807,8581,8602,96466
2026-02-03,8824,8880,8756,8756,405
2026-02-07,9029,9072,8903,9072,16254
2026-02-08,9251,9251,8843,8843,42544
2026-02-09,8939,8939,8795,8795,110
2026-02-10,8868,8868,8543,8661,65208
2026-02-14,8806,8806,8490,8490,666
2026-02-15,8436,8436,8383,8383,3937
2026-02-16,8392,8392,8282,8307,270
2026-02-17,8390,8390,8372,8390,1080
2026-02-18,8507,8507,8210,8210,16694
2026-02-21,8117,8117,8058,8058,68581
2026-02-22,8064,8064,8001,8061,150
2026-02-23,8038,8132,7924,8129,10433
2026-02-24,8103,8103,7921,8016,600
2026-02-25,8028,8161,7936,8149,18816
2026-05-19,7791,7791,7791,7791,25194
2026-05-20,7558,7558,7558,7558,4519
2026-05-23,7375,7516,7375,7516,35052
2026-05-24,7645,7688,7622,7688,137624
2026-05-25,7917,7917,7456,7855,2646284
2026-05-26,7881,7993,7824,7993,591606
2026-05-30,8108,8108,8108,8108,8865
2026-05-31,8351,8351,8351,8351,14031
2026-06-01,8382,8469,8339,8446,17134
2026-06-02,8516,8637,8490,8637,6269
2026-06-03,8777,8777,8684,8684,9188
2026-06-06,8709,8845,8694,8845,3681
2026-06-07,8907,8967,8874,8943,7198
2026-06-08,8638,8935,8638,8874,57778
2026-06-09,8948,9000,8948,9000,5107
2026-06-10,9269,9269,9269,9269,2000
2026-06-13,9547,9547,9532,9547,104024
2026-06-14,9833,9833,9833,9833,579978
2026-06-15,10128,10128,10128,10128,300000
2026-06-16,10432,10432,10128,10322,606381
2026-06-17,10612,10646,10354,10646,133969
2026-06-20,10797,10797,10581,10705,170361
2026-06-21,10741,10770,10456,10604,34742
2026-06-22,10618,10683,10301,10683,201972
2026-06-23,10757,10773,10613,10734,7925
2026-06-27,10725,10778,10684,10767,37460
2026-06-28,10737,10737,10560,10641,389049
2026-06-29,10686,10892,10637,10838,175616
2026-06-30,10812,11090,10812,10975,169352
2026-07-01,10953,11225,10953,11225,11315
2026-07-07,11225,11419,11225,11419,28621
2026-07-08,11441,11531,11261,11288,3458
2026-07-11,11276,11330,11209,11319,35637
2026-07-12,11322,11322,10975,11042,6649
2026-07-13,11048,11048,10831,10914,501750
2026-07-14,10967,10967,10716,10817,39407
2026-07-15,10825,11017,10773,10773,33045
2026-07-18,10770,10770,10570,10644,797
2026-07-19,10470,10597,10469,10469,44086
2026-07-20,10695,10740,10569,10706,219972
2026-07-21,10758,10874,10737,10846,46652
2026-07-22,10898,10903,10812,10899,40665
2026-07-25,10871,10887,10790,10838,34747
2026-07-26,10993,11038,10935,11038,38557
2026-07-27,11129,11209,11111,11129,26809
2026-07-28,11290,11303,11226,11241,48204
2026-07-29,11329,11329,11193,11193,42932
2026-08-01,11306,11306,11111,11188,77052
2026-08-02,11355,11451,11307,11322,365017
2026-08-03,11529,11652,11418,11652,61002
