date,open,high,low,close,volume
2025-11-10,247010,251940,246420,247260,17449499
2025-11-11,248500,251300,239740,239740,15569577
2025-11-12,240000,242990,237340,240110,11379700
2025-11-15,241500,246900,240460,246900,11159116
2025-11-16,247590,252450,245180,252450,16388244
2025-11-17,256900,257150,249880,249900,8901031
2025-11-18,249950,257370,247700,254000,9211140
2025-11-19,257400,258970,254270,256900,5903810
2025-11-22,261600,264130,258210,260800,11034383
2025-11-23,261960,268970,261500,266600,17744853
2025-11-25,267590,273360,263500,266380,19500820
2025-11-26,268000,268100,260100,260100,14146637
2025-11-29,255000,261640,253940,253940,8491098
2025-11-30,253750,256500,247610,255900,9956123
2025-12-01,259300,260760,254030,255940,9885776
2025-12-02,256800,258890,254000,254820,6257940
2025-12-03,255000,257490,253450,254450,8017758
2025-12-06,256100,262460,256100,262460,14259541
2025-12-07,268550,268560,258260,261100,15346011
2025-12-08,272650,272650,272650,272650,10094351
2025-12-09,276100,278000,268780,270000,15232761
2025-12-10,270100,277590,267290,273330,15483289
2025-12-13,277200,279000,274100,275670,9451221
2025-12-14,276800,277200,268540,273880,10650854
2025-12-15,274000,281940,274000,281940,13426206
2025-12-16,288530,288530,280130,283450,24159192
2025-12-17,284000,292280,284000,291780,10925718
2025-12-20,298410,298450,295170,298450,11706671
2025-12-21,300290,306200,297100,300750,16199011
2025-12-22,300500,304920,292600,293840,15020011
2025-12-23,293000,301840,292250,299960,8752769
2025-12-24,303500,306840,301010,306840,12550292
2025-12-27,314300,315350,310060,315350,15628015
2025-12-28,321000,324080,315350,324080,13104744
2025-12-29,326260,327990,313530,313530,22782950
2025-12-30,308210,310000,308210,308210,3826935
2025-12-31,302100,317480,302100,317480,13211722
2026-01-04,323000,323400,305430,323400,20004923
2026-01-05,330770,330770,330770,330770,3391426
2026-01-06,340690,340690,340690,340690,2644388
2026-01-07,350910,350910,350910,350910,7942922
2026-01-10,340390,361200,340390,340390,36607037
2026-01-11,352000,358920,350000,358920,14827209
2026-01-12,368710,368710,368710,368710,3870061
2026-01-13,379770,379770,361000,365690,22423902
2026-01-14,360840,360840,360840,360840,3887554
2026-01-18,371660,371660,368000,371660,9307177
2026-01-19,382680,382680,377040,382680,21482080
2026-01-20,390150,392800,372000,379450,23811983
2026-01-21,373600,384300,373150,373150,15663979
2026-01-24,363770,363770,363770,363770,3136884
2026-01-25,352860,352860,352860,352860,2097949
2026-01-26,342280,342280,342280,342280,2162417
2026-01-27,332020,332020,332020,332020,2153469
2026-01-28,322060,322060,322060,322060,4248323
2026-01-31,312720,320000,312400,312400,10761024
2026-02-01,304260,315390,304260,309220,26761100
2026-02-02,314290,315990,311010,315990,9440267
2026-02-03,319310,319320,305910,309370,12880290
2026-02-07,319690,319690,319690,319690,2945874
2026-02-08,329280,329280,311310,313570,13599188
2026-02-09,313500,315300,312890,312890,3004068
2026-02-10,303620,309690,303620,303690,11457031
2026-02-14,306280,312030,294890,294890,7714975
2026-02-15,291430,294890,291430,291430,4095392
2026-02-16,282700,288520,282700,286300,6347308
2026-02-17,287000,290640,281050,288280,3806389
2026-02-18,292980,292980,278040,278040,5522069
2026-02-21,272090,272090,272090,272090,2473528
2026-02-22,263928,263928,263928,263928,2664688
2026-02-23,264695,270601,261510,262220,8387502
2026-02-24,257200,260000,256553,256553,5590265
2026-02-25,252000,260680,252000,258262,5743240
2026-05-19,249945,262990,249940,249940,19852740
2026-05-20,255800,260292,250437,260292,20857686
2026-05-23,266416,266416,266416,266416,3156687
2026-05-24,274408,274408,274408,274408,2129937
2026-05-25,282640,282640,282640,282640,2475792
2026-05-26,291119,291119,291119,291119,2868368
2026-05-30,299852,299852,299852,299852,2166883
2026-05-31,308847,308847,308847,308847,2103034
2026-06-01,318112,318112,318112,318112,2314469
2026-06-02,327655,327655,327655,327655,2597008
2026-06-03,337484,337484,337484,337484,6084117
2026-06-06,347608,347608,347608,347608,2464287
2026-06-07,358036,358036,358036,358036,2248515
2026-06-08,347295,368777,347295,347295,59020679
2026-06-09,365734,365734,365734,365734,1337902
2026-06-10,376706,376706,376706,376706,1567583
2026-06-13,388007,388007,388007,388007,1108714
2026-06-14,399647,399647,399647,399647,1113452
2026-06-15,411636,411636,411636,411636,1426180
2026-06-16,423985,423985,423985,423985,1889459
2026-06-17,436704,436704,436704,436704,1861093
2026-06-22,436250,449337,423163,449337,27682022
2026-06-23,445551,445551,445551,445551,2393054
2026-06-27,458917,458917,458917,458917,1907062
2026-06-28,472684,472684,454800,472684,61227562
2026-06-29,484999,485522,471718,485522,21718311
2026-06-30,498878,498878,494803,498878,7054086
2026-07-01,500000,513648,499000,513648,14596164
2026-07-07,526536,526536,526536,526536,1589808
2026-07-08,523000,542000,510740,510740,23793741
2026-07-13,510979,510979,510979,510979,2220256
2026-07-14,495650,495650,495650,495650,2108463
2026-07-15,480781,480781,480781,480781,3108094
2026-07-18,466358,466358,466358,466358,2052366
2026-07-19,452368,452368,452368,452368,4641823
2026-07-20,452370,465939,438797,455300,51978135
2026-07-21,463515,463515,463515,463515,3912817
2026-07-22,477420,477420,455621,466560,40659362
2026-07-25,483500,484532,461971,478100,22925874
2026-07-26,489439,489439,489439,489439,4969102
2026-07-27,504122,504122,498504,504122,26291734
2026-07-28,503620,514990,495000,498898,16463569
2026-07-29,490995,490995,490995,490995,4495920
2026-08-01,476266,476266,476266,476266,2361751
2026-08-02,488357,490553,480010,490553,19197640
2026-08-03,503039,503039,500002,503039,7114976
2026-08-05,518033,518033,518033,518033,2916294
2026-08-08,533573,533573,533573,533573,1362336
2026-08-09,544900,544900,517566,517566,26108905
2026-08-10,509200,539669,508233,539669,36704244
2026-08-11,537569,537569,527029,537000,22537856
2026-08-15,527000,530000,520524,520524,10602309
2026-08-16,505392,529000,505391,523000,15613114
2026-08-17,529699,530495,524490,525001,12388229
2026-08-18,527150,527150,511339,511339,13429382
2026-08-19,500000,529000,498621,513000,22764246
2026-08-22,521600,527000,510000,512799,11559617
2026-08-23,521980,525300,502441,502511,14762264
2026-08-24,499500,523000,494959,515999,14360049
2026-08-25,521500,528388,521500,528388,6629590
2026-08-26,543545,543545,543545,543545,5177689
2026-08-29,559851,559851,543937,559851,23206485
2026-08-31,548500,572000,543152,557000,16511957
2026-09-01,571000,574971,541479,541479,18247452
2026-09-02,544383,544383,544383,544383,4385548
2026-09-05,550940,560714,534929,557500,16455109
2026-09-06,560690,564721,540000,559350,10070636
2026-09-07,569000,572316,565025,572316,11739161
2026-09-08,582500,588922,567800,583003,18885283
2026-09-09,564500,587000,564500,575000,17652451
2026-09-12,592400,592958,581332,592958,9335114
2026-09-13,608289,608289,600002,608289,15174536
2026-09-14,605000,625300,592800,612500,11532244
2026-09-15,618549,630311,613200,630311,4543951
2026-09-16,635000,647817,626966,644330,13418916
2026-09-19,648400,648990,621524,621524,8874158
2026-09-20,607037,607037,607037,607037,2416520
